,Unnamed: 0,img,difficulty_score,split,root_output_dir,img_file,meta_file,xml_file,xml_path,labels,stimulus,set_size,has_label,target_condition
0,0,2008_000003,3.682165,val,/home/bart/Documents/data/voc/VOCdevkit/VOC2012,JPEGImages/2008_000003.jpg,none,Annotations/2008_000003.xml,/home/bart/Documents/data/voc/VOCdevkit/VOC2012/Annotations/2008_000003.xml,"[18, 14]",VSD,2,False,absent
1,1,2008_000007,3.778378,train,/home/bart/Documents/data/voc/VOCdevkit/VOC2012,JPEGImages/2008_000007.jpg,none,Annotations/2008_000007.xml,/home/bart/Documents/data/voc/VOCdevkit/VOC2012/Annotations/2008_000007.xml,[3],VSD,1,False,absent
2,2,2008_000008,3.220686,train,/home/bart/Documents/data/voc/VOCdevkit/VOC2012,JPEGImages/2008_000008.jpg,none,Annotations/2008_000008.xml,/home/bart/Documents/data/voc/VOCdevkit/VOC2012/Annotations/2008_000008.xml,"[12, 14]",VSD,2,False,absent
3,3,2008_000009,4.473554,train,/home/bart/Documents/data/voc/VOCdevkit/VOC2012,JPEGImages/2008_000009.jpg,none,Annotations/2008_000009.xml,/home/bart/Documents/data/voc/VOCdevkit/VOC2012/Annotations/2008_000009.xml,"[9, 9]",VSD,2,False,absent
4,4,2008_000015,3.709118,test,/home/bart/Documents/data/voc/VOCdevkit/VOC2012,JPEGImages/2008_000015.jpg,none,Annotations/2008_000015.xml,/home/bart/Documents/data/voc/VOCdevkit/VOC2012/Annotations/2008_000015.xml,"[4, 4]",VSD,2,False,absent
5,5,2008_000016,4.000782,test,/home/bart/Documents/data/voc/VOCdevkit/VOC2012,JPEGImages/2008_000016.jpg,none,Annotations/2008_000016.xml,/home/bart/Documents/data/voc/VOCdevkit/VOC2012/Annotations/2008_000016.xml,[19],VSD,1,False,absent
6,6,2008_000019,3.207394,train,/home/bart/Documents/data/voc/VOCdevkit/VOC2012,JPEGImages/2008_000019.jpg,none,Annotations/2008_000019.xml,/home/bart/Documents/data/voc/VOCdevkit/VOC2012/Annotations/2008_000019.xml,"[11, 11, 11]",VSD,3,True,present
7,7,2008_000021,2.883764,val,/home/bart/Documents/data/voc/VOCdevkit/VOC2012,JPEGImages/2008_000021.jpg,none,Annotations/2008_000021.xml,/home/bart/Documents/data/voc/VOCdevkit/VOC2012/Annotations/2008_000021.xml,[0],VSD,1,False,absent
8,8,2008_000023,3.362935,test,/home/bart/Documents/data/voc/VOCdevkit/VOC2012,JPEGImages/2008_000023.jpg,none,Annotations/2008_000023.xml,/home/bart/Documents/data/voc/VOCdevkit/VOC2012/Annotations/2008_000023.xml,"[19, 4, 14, 14, 14]",VSD,5,False,absent
9,9,2008_000026,3.864584,val,/home/bart/Documents/data/voc/VOCdevkit/VOC2012,JPEGImages/2008_000026.jpg,none,Annotations/2008_000026.xml,/home/bart/Documents/data/voc/VOCdevkit/VOC2012/Annotations/2008_000026.xml,"[14, 11]",VSD,2,True,present
10,10,2008_000027,3.064627,val,/home/bart/Documents/data/voc/VOCdevkit/VOC2012,JPEGImages/2008_000027.jpg,none,Annotations/2008_000027.xml,/home/bart/Documents/data/voc/VOCdevkit/VOC2012/Annotations/2008_000027.xml,[6],VSD,1,False,absent
11,11,2008_000028,3.575131,train,/home/bart/Documents/data/voc/VOCdevkit/VOC2012,JPEGImages/2008_000028.jpg,none,Annotations/2008_000028.xml,/home/bart/Documents/data/voc/VOCdevkit/VOC2012/Annotations/2008_000028.xml,"[6, 6]",VSD,2,False,absent
12,12,2008_000032,4.921876999999999,train,/home/bart/Documents/data/voc/VOCdevkit/VOC2012,JPEGImages/2008_000032.jpg,none,Annotations/2008_000032.xml,/home/bart/Documents/data/voc/VOCdevkit/VOC2012/Annotations/2008_000032.xml,"[5, 14]",VSD,2,False,absent
13,13,2008_000033,3.159318,test,/home/bart/Documents/data/voc/VOCdevkit/VOC2012,JPEGImages/2008_000033.jpg,none,Annotations/2008_000033.xml,/home/bart/Documents/data/voc/VOCdevkit/VOC2012/Annotations/2008_000033.xml,[0],VSD,1,False,absent
14,14,2008_000034,3.340708,val,/home/bart/Documents/data/voc/VOCdevkit/VOC2012,JPEGImages/2008_000034.jpg,none,Annotations/2008_000034.xml,/home/bart/Documents/data/voc/VOCdevkit/VOC2012/Annotations/2008_000034.xml,"[4, 14, 14, 14]",VSD,4,False,absent
15,15,2008_000036,3.36406,test,/home/bart/Documents/data/voc/VOCdevkit/VOC2012,JPEGImages/2008_000036.jpg,none,Annotations/2008_000036.xml,/home/bart/Documents/data/voc/VOCdevkit/VOC2012/Annotations/2008_000036.xml,"[1, 1, 14, 3, 3]",VSD,5,False,absent
16,16,2008_000037,3.245931,train,/home/bart/Documents/data/voc/VOCdevkit/VOC2012,JPEGImages/2008_000037.jpg,none,Annotations/2008_000037.xml,/home/bart/Documents/data/voc/VOCdevkit/VOC2012/Annotations/2008_000037.xml,[0],VSD,1,False,absent
17,17,2008_000041,3.78975,train,/home/bart/Documents/data/voc/VOCdevkit/VOC2012,JPEGImages/2008_000041.jpg,none,Annotations/2008_000041.xml,/home/bart/Documents/data/voc/VOCdevkit/VOC2012/Annotations/2008_000041.xml,"[14, 14, 14, 14, 14, 14, 8, 8, 8, 10, 15, 14]",VSD,12,False,absent
18,18,2008_000042,3.921324,val,/home/bart/Documents/data/voc/VOCdevkit/VOC2012,JPEGImages/2008_000042.jpg,none,Annotations/2008_000042.xml,/home/bart/Documents/data/voc/VOCdevkit/VOC2012/Annotations/2008_000042.xml,[6],VSD,1,False,absent
19,19,2008_000043,3.673952,val,/home/bart/Documents/data/voc/VOCdevkit/VOC2012,JPEGImages/2008_000043.jpg,none,Annotations/2008_000043.xml,/home/bart/Documents/data/voc/VOCdevkit/VOC2012/Annotations/2008_000043.xml,"[10, 8, 8, 8, 8, 8, 8, 15]",VSD,8,False,absent
20,20,2008_000045,3.0238080000000003,train,/home/bart/Documents/data/voc/VOCdevkit/VOC2012,JPEGImages/2008_000045.jpg,none,Annotations/2008_000045.xml,/home/bart/Documents/data/voc/VOCdevkit/VOC2012/Annotations/2008_000045.xml,[18],VSD,1,False,absent
21,21,2008_000050,3.609549,train,/home/bart/Documents/data/voc/VOCdevkit/VOC2012,JPEGImages/2008_000050.jpg,none,Annotations/2008_000050.xml,/home/bart/Documents/data/voc/VOCdevkit/VOC2012/Annotations/2008_000050.xml,[6],VSD,1,False,absent
