CI95%,dof,loss_func,method,mode,net_name,power,pval,r
"[-0.97, -0.93]",87,CE-random,transfer,classify,CORnet_S,1.0,3.043366535334909e-48,-0.9563116125725133
"[-0.95, -0.89]",87,CE-random,transfer,classify,CORnet_Z,1.0,9.616970121984862e-39,-0.9267064103148472
"[-0.96, -0.92]",87,CE-random,transfer,classify,VGG16,1.0,2.252420224276044e-44,-0.9461133949341071
"[-0.96, -0.92]",87,CE-random,transfer,classify,alexnet,1.0,5.639824246084625e-44,-0.9449324344200534
"[-0.95, -0.89]",87,CE-largest,transfer,classify,CORnet_S,1.0,5.83298260174264e-38,-0.9234833712058425
"[-0.95, -0.9]",87,CE-largest,transfer,classify,CORnet_Z,1.0,4.284948467057094e-40,-0.9319414385762566
"[-0.94, -0.87]",87,CE-largest,transfer,classify,VGG16,1.0,1.5484954794792107e-35,-0.9125330573633627
"[-0.97, -0.93]",87,CE-largest,transfer,classify,alexnet,1.0,5.242821297330257e-47,-0.9532883190333633
"[-0.94, -0.86]",87,BCE,transfer,classify,CORnet_S,1.0,2.047954790053144e-34,-0.9069236747073159
"[-0.53, -0.16]",87,BCE,transfer,classify,CORnet_Z,0.940089565679251,0.0005243067343546263,-0.360275940418686
"[-0.98, -0.95]",87,BCE,transfer,classify,VGG16,1.0,9.932582790626444e-55,-0.9692011684724319
"[-0.94, -0.86]",87,BCE,transfer,classify,alexnet,1.0,8.261246796594344e-34,-0.9037377627586776
"[-0.91, -0.8]",87,CE-largest,initialize,classify,CORnet_S,1.0,2.3052604683128878e-27,-0.8616843763645203
"[-0.94, -0.88]",87,CE-largest,initialize,classify,CORnet_Z,1.0,1.6248926692080708e-36,-0.9171409207741195
"[-0.84, -0.67]",87,CE-largest,initialize,classify,VGG16,0.9999999999999847,7.808053390864795e-19,-0.7723552119061672
"[-0.89, -0.76]",87,CE-largest,initialize,classify,alexnet,1.0,1.365526583796529e-24,-0.8378433780394229
"[0.41, 0.7]",87,BCE,initialize,classify,CORnet_S,0.9999808294177699,4.355090085874424e-09,0.5731704261509415
"[0.63, 0.82]",87,BCE,initialize,classify,CORnet_Z,0.9999999999981596,7.935447114163837e-17,0.7427630323399201
"[-0.01, 0.39]",87,BCE,initialize,classify,VGG16,0.4820390948460427,0.05683829876138662,0.20264688861830174
"[-0.44, -0.05]",87,BCE,initialize,classify,alexnet,0.6864838245690993,0.015216088907786893,-0.25658631420101136
