method,mode,loss_func,net_name,replicate,vsd_score_bin,acc,n_trials,pred
initialize,classify,CE-largest,CORnet_S,1,0.0,0.5890625,640,0.5734973908470397
initialize,classify,CE-largest,CORnet_S,1,1.0,0.5102040816326531,490,0.5181558488201022
initialize,classify,CE-largest,CORnet_S,1,2.0,0.4672364672364672,351,0.4628143067931648
initialize,classify,CE-largest,CORnet_S,1,3.0,0.39543726235741444,263,0.40747276476622746
transfer,classify,CE-largest,CORnet_S,1,0.0,0.9046875,640,0.9126051606567991
transfer,classify,CE-largest,CORnet_S,1,1.0,0.8306122448979592,490,0.8380678881309374
transfer,classify,CE-largest,CORnet_S,1,2.0,0.7720797720797721,351,0.7635306156050755
transfer,classify,CE-largest,CORnet_S,1,3.0,0.6958174904942965,263,0.6889933430792137
transfer,classify,CE-random,CORnet_S,1,0.0,0.9125,640,0.8929051902135011
transfer,classify,CE-random,CORnet_S,1,1.0,0.8081632653061225,490,0.8108538372323182
transfer,classify,CE-random,CORnet_S,1,2.0,0.7008547008547008,351,0.7288024842511353
transfer,classify,CE-random,CORnet_S,1,3.0,0.6577946768060836,263,0.6467511312699523
initialize,classify,CE-largest,CORnet_S,2,0.0,0.503125,640,0.5111194565124155
initialize,classify,CE-largest,CORnet_S,2,1.0,0.4530612244897959,490,0.4557779144854781
initialize,classify,CE-largest,CORnet_S,2,2.0,0.43304843304843305,351,0.4004363724585407
initialize,classify,CE-largest,CORnet_S,2,3.0,0.3231939163498099,263,0.3450948304316033
transfer,classify,CE-largest,CORnet_S,2,0.0,0.8953125,640,0.8895515674591772
transfer,classify,CE-largest,CORnet_S,2,1.0,0.8142857142857143,490,0.8150142949333155
transfer,classify,CE-largest,CORnet_S,2,2.0,0.7435897435897436,351,0.7404770224074536
transfer,classify,CE-largest,CORnet_S,2,3.0,0.6577946768060836,263,0.6659397498815918
transfer,classify,CE-random,CORnet_S,2,0.0,0.89375,640,0.9028461160858157
transfer,classify,CE-random,CORnet_S,2,1.0,0.8163265306122449,490,0.8207947631046327
transfer,classify,CE-random,CORnet_S,2,2.0,0.7321937321937322,351,0.7387434101234498
transfer,classify,CE-random,CORnet_S,2,3.0,0.6768060836501901,263,0.6566920571422667
initialize,classify,CE-largest,CORnet_S,3,0.0,0.546875,640,0.571978922308906
initialize,classify,CE-largest,CORnet_S,3,1.0,0.5244897959183673,490,0.5166373802819687
initialize,classify,CE-largest,CORnet_S,3,2.0,0.5042735042735043,351,0.4612958382550313
initialize,classify,CE-largest,CORnet_S,3,3.0,0.38022813688212925,263,0.40595429622809387
transfer,classify,CE-largest,CORnet_S,3,0.0,0.9140625,640,0.9157309991901096
transfer,classify,CE-largest,CORnet_S,3,1.0,0.8346938775510204,490,0.8411937266642477
transfer,classify,CE-largest,CORnet_S,3,2.0,0.7749287749287749,351,0.766656454138386
transfer,classify,CE-largest,CORnet_S,3,3.0,0.6920152091254753,263,0.6921191816125243
transfer,classify,CE-random,CORnet_S,3,0.0,0.89375,640,0.9072620041790533
transfer,classify,CE-random,CORnet_S,3,1.0,0.8244897959183674,490,0.8252106511978704
transfer,classify,CE-random,CORnet_S,3,2.0,0.7378917378917379,351,0.7431592982166875
transfer,classify,CE-random,CORnet_S,3,3.0,0.6806083650190115,263,0.6611079452355044
initialize,classify,CE-largest,CORnet_S,4,0.0,0.5234375,640,0.5366745214353088
initialize,classify,CE-largest,CORnet_S,4,1.0,0.46938775510204084,490,0.4813329794083714
initialize,classify,CE-largest,CORnet_S,4,2.0,0.4415954415954416,351,0.42599143738143397
initialize,classify,CE-largest,CORnet_S,4,3.0,0.38022813688212925,263,0.3706498953544966
transfer,classify,CE-largest,CORnet_S,4,0.0,0.903125,640,0.9136492120914752
transfer,classify,CE-largest,CORnet_S,4,1.0,0.8448979591836735,490,0.8391119395656135
transfer,classify,CE-largest,CORnet_S,4,2.0,0.7635327635327636,351,0.7645746670397516
transfer,classify,CE-largest,CORnet_S,4,3.0,0.6958174904942965,263,0.6900373945138898
transfer,classify,CE-random,CORnet_S,4,0.0,0.865625,640,0.8509586681063153
transfer,classify,CE-random,CORnet_S,4,1.0,0.763265306122449,490,0.7689073151251323
transfer,classify,CE-random,CORnet_S,4,2.0,0.6666666666666666,351,0.6868559621439494
transfer,classify,CE-random,CORnet_S,4,3.0,0.6159695817490495,263,0.6048046091627663
initialize,classify,CE-largest,CORnet_S,5,0.0,0.5640625,640,0.5350662820771203
initialize,classify,CE-largest,CORnet_S,5,1.0,0.4897959183673469,490,0.47972474005018284
initialize,classify,CE-largest,CORnet_S,5,2.0,0.41595441595441596,351,0.4243831980232455
initialize,classify,CE-largest,CORnet_S,5,3.0,0.33840304182509506,263,0.36904165599630806
transfer,classify,CE-largest,CORnet_S,5,0.0,0.90625,640,0.9103535880933629
transfer,classify,CE-largest,CORnet_S,5,1.0,0.8428571428571429,490,0.835816315567501
transfer,classify,CE-largest,CORnet_S,5,2.0,0.7720797720797721,351,0.7612790430416393
transfer,classify,CE-largest,CORnet_S,5,3.0,0.6730038022813688,263,0.6867417705157774
transfer,classify,CE-random,CORnet_S,5,0.0,0.903125,640,0.8966784728378664
transfer,classify,CE-random,CORnet_S,5,1.0,0.8326530612244898,490,0.8146271198566835
transfer,classify,CE-random,CORnet_S,5,2.0,0.7236467236467237,351,0.7325757668755005
transfer,classify,CE-random,CORnet_S,5,3.0,0.6349809885931559,263,0.6505244138943176
initialize,classify,CE-largest,CORnet_S,6,0.0,0.553125,640,0.5710042744023938
initialize,classify,CE-largest,CORnet_S,6,1.0,0.47346938775510206,490,0.5156627323754563
initialize,classify,CE-largest,CORnet_S,6,2.0,0.5071225071225072,351,0.4603211903485189
initialize,classify,CE-largest,CORnet_S,6,3.0,0.41825095057034223,263,0.40497964832158156
transfer,classify,CE-largest,CORnet_S,6,0.0,0.90625,640,0.9286286967133927
transfer,classify,CE-largest,CORnet_S,6,1.0,0.8693877551020408,490,0.8540914241875308
transfer,classify,CE-largest,CORnet_S,6,2.0,0.7806267806267806,351,0.7795541516616691
transfer,classify,CE-largest,CORnet_S,6,3.0,0.7110266159695817,263,0.7050168791358074
transfer,classify,CE-random,CORnet_S,6,0.0,0.86875,640,0.8615948106336685
transfer,classify,CE-random,CORnet_S,6,1.0,0.7836734693877551,490,0.7795434576524856
transfer,classify,CE-random,CORnet_S,6,2.0,0.6666666666666666,351,0.6974921046713026
transfer,classify,CE-random,CORnet_S,6,3.0,0.6349809885931559,263,0.6154407516901197
initialize,classify,CE-largest,CORnet_S,7,0.0,0.5734375,640,0.5623310085597482
initialize,classify,CE-largest,CORnet_S,7,1.0,0.5163265306122449,490,0.5069894665328107
initialize,classify,CE-largest,CORnet_S,7,2.0,0.4586894586894587,351,0.4516479245058733
initialize,classify,CE-largest,CORnet_S,7,3.0,0.3688212927756654,263,0.3963063824789359
transfer,classify,CE-largest,CORnet_S,7,0.0,0.8984375,640,0.9052795757926818
transfer,classify,CE-largest,CORnet_S,7,1.0,0.8408163265306122,490,0.8307423032668201
transfer,classify,CE-largest,CORnet_S,7,2.0,0.7578347578347578,351,0.7562050307409582
transfer,classify,CE-largest,CORnet_S,7,3.0,0.6768060836501901,263,0.6816677582150965
transfer,classify,CE-random,CORnet_S,7,0.0,0.8640625,640,0.8667447230662652
transfer,classify,CE-random,CORnet_S,7,1.0,0.8061224489795918,490,0.7846933700850822
transfer,classify,CE-random,CORnet_S,7,2.0,0.6809116809116809,351,0.7026420171038992
transfer,classify,CE-random,CORnet_S,7,3.0,0.623574144486692,263,0.6205906641227162
initialize,classify,CE-largest,CORnet_S,8,0.0,0.571875,640,0.5676315801254694
initialize,classify,CE-largest,CORnet_S,8,1.0,0.48775510204081635,490,0.512290038098532
initialize,classify,CE-largest,CORnet_S,8,2.0,0.452991452991453,351,0.4569484960715946
initialize,classify,CE-largest,CORnet_S,8,3.0,0.42585551330798477,263,0.40160695404465724
transfer,classify,CE-largest,CORnet_S,8,0.0,0.86875,640,0.8591110686049853
transfer,classify,CE-largest,CORnet_S,8,1.0,0.7979591836734694,490,0.7845737960791235
transfer,classify,CE-largest,CORnet_S,8,2.0,0.717948717948718,351,0.7100365235532617
transfer,classify,CE-largest,CORnet_S,8,3.0,0.6045627376425855,263,0.6354992510274
transfer,classify,CE-random,CORnet_S,8,0.0,0.875,640,0.8605727254037816
transfer,classify,CE-random,CORnet_S,8,1.0,0.7714285714285715,490,0.7785213724225987
transfer,classify,CE-random,CORnet_S,8,2.0,0.6609686609686609,351,0.6964700194414157
transfer,classify,CE-random,CORnet_S,8,3.0,0.6425855513307985,263,0.6144186664602327
initialize,classify,CE-largest,CORnet_Z,1,0.0,0.5359375,640,0.5098686784057498
initialize,classify,CE-largest,CORnet_Z,1,1.0,0.4530612244897959,490,0.4502245149169429
initialize,classify,CE-largest,CORnet_Z,1,2.0,0.3732193732193732,351,0.39058035142813596
initialize,classify,CE-largest,CORnet_Z,1,3.0,0.3193916349809886,263,0.330936187939329
transfer,classify,CE-largest,CORnet_Z,1,0.0,0.678125,640,0.6618603931577682
transfer,classify,CE-largest,CORnet_Z,1,1.0,0.5755102040816327,490,0.5955092340579223
transfer,classify,CE-largest,CORnet_Z,1,2.0,0.5242165242165242,351,0.5291580749580764
transfer,classify,CE-largest,CORnet_Z,1,3.0,0.4714828897338403,263,0.4628069158582305
transfer,classify,CE-random,CORnet_Z,1,0.0,0.6703125,640,0.6603377587304465
transfer,classify,CE-random,CORnet_Z,1,1.0,0.6061224489795919,490,0.5984856926769443
transfer,classify,CE-random,CORnet_Z,1,2.0,0.5185185185185185,351,0.5366336266234419
transfer,classify,CE-random,CORnet_Z,1,3.0,0.4752851711026616,263,0.4747815605699397
initialize,classify,CE-largest,CORnet_Z,2,0.0,0.534375,640,0.5363727165714612
initialize,classify,CE-largest,CORnet_Z,2,1.0,0.48367346938775513,490,0.4767285530826543
initialize,classify,CE-largest,CORnet_Z,2,2.0,0.4045584045584046,351,0.4170843895938474
initialize,classify,CE-largest,CORnet_Z,2,3.0,0.3650190114068441,263,0.35744022610504045
transfer,classify,CE-largest,CORnet_Z,2,0.0,0.678125,640,0.6763667852306999
transfer,classify,CE-largest,CORnet_Z,2,1.0,0.6040816326530613,490,0.610015626130854
transfer,classify,CE-largest,CORnet_Z,2,2.0,0.5384615384615384,351,0.5436644670310081
transfer,classify,CE-largest,CORnet_Z,2,3.0,0.4866920152091255,263,0.4773133079311622
transfer,classify,CE-random,CORnet_Z,2,0.0,0.6640625,640,0.6730022995191383
transfer,classify,CE-random,CORnet_Z,2,1.0,0.6183673469387755,490,0.611150233465636
transfer,classify,CE-random,CORnet_Z,2,2.0,0.5327635327635327,351,0.5492981674121337
transfer,classify,CE-random,CORnet_Z,2,3.0,0.5057034220532319,263,0.4874461013586314
initialize,classify,CE-largest,CORnet_Z,3,0.0,0.5703125,640,0.5653546840568322
initialize,classify,CE-largest,CORnet_Z,3,1.0,0.5,490,0.5057105205680253
initialize,classify,CE-largest,CORnet_Z,3,2.0,0.4301994301994302,351,0.44606635707921843
initialize,classify,CE-largest,CORnet_Z,3,3.0,0.40304182509505704,263,0.3864221935904115
transfer,classify,CE-largest,CORnet_Z,3,0.0,0.65625,640,0.6489480953964581
transfer,classify,CE-largest,CORnet_Z,3,1.0,0.5571428571428572,490,0.5825969362966122
transfer,classify,CE-largest,CORnet_Z,3,2.0,0.5242165242165242,351,0.5162457771967663
transfer,classify,CE-largest,CORnet_Z,3,3.0,0.4600760456273764,263,0.44989461809692044
transfer,classify,CE-random,CORnet_Z,3,0.0,0.6796875,640,0.6640053156897775
transfer,classify,CE-random,CORnet_Z,3,1.0,0.6,490,0.6021532496362753
transfer,classify,CE-random,CORnet_Z,3,2.0,0.5071225071225072,351,0.5403011835827729
transfer,classify,CE-random,CORnet_Z,3,3.0,0.49809885931558934,263,0.47844911752927066
initialize,classify,CE-largest,CORnet_Z,4,0.0,0.5484375,640,0.5672932088188054
