method,mode,loss_func,net_name,replicate,vsd_score_bin,acc,n_trials,pred
initialize,classify,CE-largest,CORnet_S,1,0.0,0.5394277739009072,1433,0.5337844089120826
initialize,classify,CE-largest,CORnet_S,1,1.0,0.39855072463768115,276,0.42135672097656673
initialize,classify,CE-largest,CORnet_S,1,2.0,0.44,25,0.30892903304105096
initialize,classify,CE-largest,CORnet_S,1,3.0,0.16666666666666666,6,0.19650134510553519
initialize,classify,CE-largest,CORnet_S,1,4.0,0.0,4,0.08407365717001936
transfer,classify,CE-largest,CORnet_S,1,0.0,0.8534542916957432,1433,0.9296219090385023
transfer,classify,CE-largest,CORnet_S,1,1.0,0.7028985507246377,276,0.7924462387612893
transfer,classify,CE-largest,CORnet_S,1,2.0,0.72,25,0.6552705684840763
transfer,classify,CE-largest,CORnet_S,1,3.0,0.5,6,0.5180948982068632
transfer,classify,CE-largest,CORnet_S,1,4.0,0.5,4,0.38091922792965016
transfer,classify,CE-random,CORnet_S,1,0.0,0.8367062107466853,1433,0.6904367623410907
transfer,classify,CE-random,CORnet_S,1,1.0,0.6485507246376812,276,0.6367440747089822
transfer,classify,CE-random,CORnet_S,1,2.0,0.68,25,0.5830513870768737
transfer,classify,CE-random,CORnet_S,1,3.0,0.5,6,0.5293586994447652
transfer,classify,CE-random,CORnet_S,1,4.0,0.25,4,0.47566601181265666
initialize,classify,CE-largest,CORnet_S,2,0.0,0.4724354501046755,1433,0.5434584079209523
initialize,classify,CE-largest,CORnet_S,2,1.0,0.34057971014492755,276,0.4310307199854365
initialize,classify,CE-largest,CORnet_S,2,2.0,0.28,25,0.31860303204992074
initialize,classify,CE-largest,CORnet_S,2,3.0,0.5,6,0.20617534411440497
initialize,classify,CE-largest,CORnet_S,2,4.0,0.0,4,0.09374765617888914
transfer,classify,CE-largest,CORnet_S,2,0.0,0.840195394277739,1433,0.8283324483954817
transfer,classify,CE-largest,CORnet_S,2,1.0,0.6630434782608695,276,0.6911567781182687
transfer,classify,CE-largest,CORnet_S,2,2.0,0.6,25,0.5539811078410557
transfer,classify,CE-largest,CORnet_S,2,3.0,0.6666666666666666,6,0.4168054375638426
transfer,classify,CE-largest,CORnet_S,2,4.0,0.0,4,0.2796297672866296
transfer,classify,CE-random,CORnet_S,2,0.0,0.8325191905094208,1433,0.8454544307574058
transfer,classify,CE-random,CORnet_S,2,1.0,0.6811594202898551,276,0.7917617431252972
transfer,classify,CE-random,CORnet_S,2,2.0,0.76,25,0.7380690554931888
transfer,classify,CE-random,CORnet_S,2,3.0,0.6666666666666666,6,0.6843763678610802
transfer,classify,CE-random,CORnet_S,2,4.0,0.75,4,0.6306836802289717
initialize,classify,CE-largest,CORnet_S,3,0.0,0.531751570132589,1433,0.5815245304772594
initialize,classify,CE-largest,CORnet_S,3,1.0,0.39492753623188404,276,0.4690968425417436
initialize,classify,CE-largest,CORnet_S,3,2.0,0.44,25,0.35666915460622783
initialize,classify,CE-largest,CORnet_S,3,3.0,0.16666666666666666,6,0.244241466670712
initialize,classify,CE-largest,CORnet_S,3,4.0,0.25,4,0.13181377873519617
transfer,classify,CE-largest,CORnet_S,3,0.0,0.8597348220516399,1433,0.8590519281531599
transfer,classify,CE-largest,CORnet_S,3,1.0,0.7137681159420289,276,0.7218762578759468
transfer,classify,CE-largest,CORnet_S,3,2.0,0.6,25,0.5847005875987338
transfer,classify,CE-largest,CORnet_S,3,3.0,0.5,6,0.4475249173215208
transfer,classify,CE-largest,CORnet_S,3,4.0,0.25,4,0.3103492470443078
