CI95%,dof,loss_func,method,mode,net_name,power,pval,r
"[-0.74, -0.22]",31,CE-random,transfer,classify,CORnet_S,0.8997113877170791,0.001683040741659336,-0.5255953634465114
"[-0.91, -0.66]",31,CE-random,transfer,classify,CORnet_Z,0.9999950090845029,5.900839447008549e-09,-0.8185205820990354
"[-0.59, 0.04]",31,CE-random,transfer,classify,VGG16,0.42567771234046875,0.08011755774665939,-0.3090455645333385
"[-0.83, -0.45]",31,CE-random,transfer,classify,alexnet,0.9968111379923978,9.316099995756748e-06,-0.688878443748894
"[-0.94, -0.76]",31,CE-largest,transfer,classify,CORnet_S,0.9999999887322177,2.002467587283531e-11,-0.8777061343813694
"[-0.97, -0.89]",31,CE-largest,transfer,classify,CORnet_Z,0.9999999999999986,1.244530232876758e-16,-0.9452893669694963
"[-0.92, -0.71]",31,CE-largest,transfer,classify,VGG16,0.9999996247931782,4.736553223087728e-10,-0.8479111830856769
"[-0.84, -0.46]",31,CE-largest,transfer,classify,alexnet,0.9973298273655065,7.3837845634331146e-06,-0.6943625809451819
"[-0.06, 0.44]",55,BCE,transfer,classify,CORnet_S,0.320900281504565,0.1374853984939683,0.19915788039312535
"[0.55, 0.82]",55,BCE,transfer,classify,CORnet_Z,0.9999980638294894,5.76671871881921e-10,0.7109680516582033
"[-0.52, -0.04]",55,BCE,transfer,classify,VGG16,0.6317700082822443,0.02309716327019068,-0.30057428606410386
"[-0.36, 0.16]",55,BCE,transfer,classify,alexnet,0.12394710599333604,0.4305231645795191,-0.1064740362604346
"[-0.94, -0.76]",31,CE-largest,initialize,classify,CORnet_S,0.9999999821374861,2.991681989015086e-11,-0.8742982756475841
"[-0.94, -0.79]",31,CE-largest,initialize,classify,CORnet_Z,0.9999999978082352,4.961197818864329e-12,-0.8888076278049164
"[-0.92, -0.69]",31,CE-largest,initialize,classify,VGG16,0.9999987258298374,1.5248449780549604e-09,-0.8349908600163489
"[-0.95, -0.82]",31,CE-largest,initialize,classify,alexnet,0.9999999999034481,3.914402644281042e-13,-0.9063716567746313
"[0.0, 0.49]",55,BCE,initialize,classify,CORnet_S,0.5094146483677366,0.049273560663542146,0.2616716981741497
"[0.05, 0.53]",55,BCE,initialize,classify,CORnet_Z,0.6513841686496299,0.020183051651088853,0.3070096227792279
"[-0.3, 0.22]",55,BCE,initialize,classify,VGG16,0.060950506490515165,0.7556567579054343,-0.04213315828141506
"[-0.34, 0.18]",55,BCE,initialize,classify,alexnet,0.09485537308510891,0.536312658840855,-0.08361776292415887
