,net_name,method,mode,learning_rate,net_number,stimulus,set_size,target_condition,n_correct,n_trials,accuracy,hit_rate,false_alarm_rate,d_prime
875,CORnet_S,transfer,classify,0.001,1,car,1,both,1202,1233,0.9748580697485808,,,
874,CORnet_S,transfer,classify,0.001,1,car,2,both,619,655,0.9450381679389313,,,
877,CORnet_S,transfer,classify,0.001,1,car,3,both,325,355,0.9154929577464788,,,
880,CORnet_S,transfer,classify,0.001,1,car,4,both,189,211,0.8957345971563981,,,
876,CORnet_S,transfer,classify,0.001,1,car,5,both,104,127,0.8188976377952756,,,
881,CORnet_S,transfer,classify,0.001,1,car,6,both,76,84,0.9047619047619048,,,
878,CORnet_S,transfer,classify,0.001,1,car,7,both,53,56,0.9464285714285714,,,
886,CORnet_S,transfer,classify,0.001,1,car,8,both,33,43,0.7674418604651163,,,
884,CORnet_S,transfer,classify,0.001,1,car,9,both,23,27,0.8518518518518519,,,
944,CORnet_S,transfer,classify,0.001,2,car,1,both,1201,1233,0.9740470397404704,,,
943,CORnet_S,transfer,classify,0.001,2,car,2,both,616,655,0.9404580152671757,,,
946,CORnet_S,transfer,classify,0.001,2,car,3,both,327,355,0.9211267605633804,,,
949,CORnet_S,transfer,classify,0.001,2,car,4,both,191,211,0.90521327014218,,,
945,CORnet_S,transfer,classify,0.001,2,car,5,both,107,127,0.84251968503937,,,
950,CORnet_S,transfer,classify,0.001,2,car,6,both,78,84,0.9285714285714286,,,
947,CORnet_S,transfer,classify,0.001,2,car,7,both,54,56,0.9642857142857144,,,
955,CORnet_S,transfer,classify,0.001,2,car,8,both,38,43,0.8837209302325582,,,
953,CORnet_S,transfer,classify,0.001,2,car,9,both,24,27,0.8888888888888888,,,
1013,CORnet_S,transfer,classify,0.001,3,car,1,both,1201,1233,0.9740470397404704,,,
1012,CORnet_S,transfer,classify,0.001,3,car,2,both,618,655,0.9435114503816794,,,
1015,CORnet_S,transfer,classify,0.001,3,car,3,both,323,355,0.9098591549295776,,,
1018,CORnet_S,transfer,classify,0.001,3,car,4,both,189,211,0.8957345971563981,,,
1014,CORnet_S,transfer,classify,0.001,3,car,5,both,108,127,0.8503937007874016,,,
1019,CORnet_S,transfer,classify,0.001,3,car,6,both,77,84,0.9166666666666666,,,
1016,CORnet_S,transfer,classify,0.001,3,car,7,both,51,56,0.9107142857142856,,,
1024,CORnet_S,transfer,classify,0.001,3,car,8,both,37,43,0.8604651162790697,,,
1022,CORnet_S,transfer,classify,0.001,3,car,9,both,23,27,0.8518518518518519,,,
1082,CORnet_S,transfer,classify,0.001,4,car,1,both,1206,1233,0.978102189781022,,,
1081,CORnet_S,transfer,classify,0.001,4,car,2,both,617,655,0.9419847328244276,,,
1084,CORnet_S,transfer,classify,0.001,4,car,3,both,325,355,0.9154929577464788,,,
1087,CORnet_S,transfer,classify,0.001,4,car,4,both,189,211,0.8957345971563981,,,
1083,CORnet_S,transfer,classify,0.001,4,car,5,both,107,127,0.84251968503937,,,
1088,CORnet_S,transfer,classify,0.001,4,car,6,both,80,84,0.9523809523809524,,,
1085,CORnet_S,transfer,classify,0.001,4,car,7,both,52,56,0.9285714285714286,,,
1093,CORnet_S,transfer,classify,0.001,4,car,8,both,39,43,0.9069767441860463,,,
1091,CORnet_S,transfer,classify,0.001,4,car,9,both,24,27,0.8888888888888888,,,
599,CORnet_Z,transfer,classify,0.001,1,car,1,both,1170,1233,0.948905109489051,,,
598,CORnet_Z,transfer,classify,0.001,1,car,2,both,614,655,0.9374045801526718,,,
601,CORnet_Z,transfer,classify,0.001,1,car,3,both,318,355,0.895774647887324,,,
604,CORnet_Z,transfer,classify,0.001,1,car,4,both,186,211,0.8815165876777251,,,
600,CORnet_Z,transfer,classify,0.001,1,car,5,both,105,127,0.8267716535433071,,,
605,CORnet_Z,transfer,classify,0.001,1,car,6,both,75,84,0.8928571428571429,,,
602,CORnet_Z,transfer,classify,0.001,1,car,7,both,51,56,0.9107142857142856,,,
610,CORnet_Z,transfer,classify,0.001,1,car,8,both,34,43,0.7906976744186046,,,
608,CORnet_Z,transfer,classify,0.001,1,car,9,both,22,27,0.8148148148148148,,,
668,CORnet_Z,transfer,classify,0.001,2,car,1,both,1173,1233,0.951338199513382,,,
667,CORnet_Z,transfer,classify,0.001,2,car,2,both,613,655,0.9358778625954198,,,
670,CORnet_Z,transfer,classify,0.001,2,car,3,both,315,355,0.8873239436619719,,,
673,CORnet_Z,transfer,classify,0.001,2,car,4,both,187,211,0.8862559241706162,,,
669,CORnet_Z,transfer,classify,0.001,2,car,5,both,104,127,0.8188976377952756,,,
674,CORnet_Z,transfer,classify,0.001,2,car,6,both,75,84,0.8928571428571429,,,
671,CORnet_Z,transfer,classify,0.001,2,car,7,both,52,56,0.9285714285714286,,,
679,CORnet_Z,transfer,classify,0.001,2,car,8,both,34,43,0.7906976744186046,,,
677,CORnet_Z,transfer,classify,0.001,2,car,9,both,23,27,0.8518518518518519,,,
