net_name,method,mode,learning_rate,net_number,stimulus,set_size,target_condition,n_correct,n_trials,accuracy,hit_rate,false_alarm_rate,d_prime
alexnet,transfer,classify,0.001,1,VSD,2,present,34,60,0.5666666666666667,,,
alexnet,transfer,classify,0.001,1,VSD,1,present,49,73,0.6712328767123288,,,
alexnet,transfer,classify,0.001,1,VSD,5,present,11,29,0.3793103448275862,,,
alexnet,transfer,classify,0.001,1,VSD,3,present,31,54,0.5740740740740741,,,
alexnet,transfer,classify,0.001,1,VSD,7,present,5,8,0.625,,,
alexnet,transfer,classify,0.001,1,VSD,10,present,3,4,0.75,,,
alexnet,transfer,classify,0.001,1,VSD,4,present,18,36,0.5,,,
alexnet,transfer,classify,0.001,1,VSD,6,present,5,11,0.45454545454545453,,,
alexnet,transfer,classify,0.001,1,VSD,11,present,1,2,0.5,,,
alexnet,transfer,classify,0.001,1,VSD,13,present,0,0,,,,
alexnet,transfer,classify,0.001,1,VSD,9,present,5,9,0.5555555555555556,,,
alexnet,transfer,classify,0.001,1,VSD,14,present,0,3,0.0,,,
alexnet,transfer,classify,0.001,1,VSD,8,present,5,10,0.5,,,
alexnet,transfer,classify,0.001,1,VSD,20,present,0,0,,,,
alexnet,transfer,classify,0.001,1,VSD,12,present,1,4,0.25,,,
alexnet,transfer,classify,0.001,1,VSD,18,present,0,0,,,,
alexnet,transfer,classify,0.001,1,VSD,16,present,0,0,,,,
alexnet,transfer,classify,0.001,1,VSD,22,present,0,0,,,,
alexnet,transfer,classify,0.001,1,VSD,15,present,0,2,0.0,,,
alexnet,transfer,classify,0.001,1,VSD,42,present,0,0,,,,
alexnet,transfer,classify,0.001,1,VSD,21,present,0,0,,,,
alexnet,transfer,classify,0.001,1,VSD,19,present,1,1,1.0,,,
alexnet,transfer,classify,0.001,1,VSD,17,present,0,0,,,,
alexnet,transfer,classify,0.001,1,VSD,2,absent,584,595,0.9815126050420168,,,
