net_name,method,mode,learning_rate,net_number,stimulus,set_size,target_condition,n_correct,n_trials,accuracy,hit_rate,false_alarm_rate,d_prime
alexnet,transfer,classify,0.001,1,VSD,2,present,42,63,0.6666666666666666,,,
alexnet,transfer,classify,0.001,1,VSD,1,present,149,176,0.8465909090909091,,,
alexnet,transfer,classify,0.001,1,VSD,5,present,0,3,0.0,,,
alexnet,transfer,classify,0.001,1,VSD,3,present,9,21,0.42857142857142855,,,
alexnet,transfer,classify,0.001,1,VSD,7,present,0,0,,,,
alexnet,transfer,classify,0.001,1,VSD,10,present,0,0,,,,
alexnet,transfer,classify,0.001,1,VSD,4,present,1,6,0.16666666666666666,,,
alexnet,transfer,classify,0.001,1,VSD,6,present,1,1,1.0,,,
alexnet,transfer,classify,0.001,1,VSD,11,present,0,0,,,,
alexnet,transfer,classify,0.001,1,VSD,13,present,0,0,,,,
alexnet,transfer,classify,0.001,1,VSD,9,present,0,0,,,,
alexnet,transfer,classify,0.001,1,VSD,14,present,0,0,,,,
alexnet,transfer,classify,0.001,1,VSD,8,present,0,0,,,,
alexnet,transfer,classify,0.001,1,VSD,20,present,0,0,,,,
alexnet,transfer,classify,0.001,1,VSD,12,present,0,0,,,,
alexnet,transfer,classify,0.001,1,VSD,18,present,0,0,,,,
alexnet,transfer,classify,0.001,1,VSD,16,present,0,0,,,,
alexnet,transfer,classify,0.001,1,VSD,22,present,0,0,,,,
alexnet,transfer,classify,0.001,1,VSD,15,present,0,0,,,,
alexnet,transfer,classify,0.001,1,VSD,42,present,0,0,,,,
alexnet,transfer,classify,0.001,1,VSD,21,present,0,0,,,,
alexnet,transfer,classify,0.001,1,VSD,19,present,0,0,,,,
alexnet,transfer,classify,0.001,1,VSD,17,present,0,0,,,,
alexnet,transfer,classify,0.001,1,VSD,2,absent,584,592,0.9864864864864865,,,
alexnet,transfer,classify,0.001,1,VSD,1,absent,1039,1057,0.9829706717123936,,,
alexnet,transfer,classify,0.001,1,VSD,5,absent,123,124,0.9919354838709677,,,
alexnet,transfer,classify,0.001,1,VSD,3,absent,329,334,0.9850299401197605,,,
alexnet,transfer,classify,0.001,1,VSD,7,absent,56,56,1.0,,,
alexnet,transfer,classify,0.001,1,VSD,10,absent,29,29,1.0,,,
alexnet,transfer,classify,0.001,1,VSD,4,absent,204,205,0.9951219512195122,,,
alexnet,transfer,classify,0.001,1,VSD,6,absent,83,83,1.0,,,
alexnet,transfer,classify,0.001,1,VSD,11,absent,20,20,1.0,,,
alexnet,transfer,classify,0.001,1,VSD,13,absent,5,5,1.0,,,
alexnet,transfer,classify,0.001,1,VSD,9,absent,27,27,1.0,,,
alexnet,transfer,classify,0.001,1,VSD,14,absent,5,5,1.0,,,
alexnet,transfer,classify,0.001,1,VSD,8,absent,43,43,1.0,,,
alexnet,transfer,classify,0.001,1,VSD,20,absent,3,3,1.0,,,
alexnet,transfer,classify,0.001,1,VSD,12,absent,11,11,1.0,,,
alexnet,transfer,classify,0.001,1,VSD,18,absent,4,4,1.0,,,
alexnet,transfer,classify,0.001,1,VSD,16,absent,6,6,1.0,,,
alexnet,transfer,classify,0.001,1,VSD,22,absent,1,1,1.0,,,
alexnet,transfer,classify,0.001,1,VSD,15,absent,3,3,1.0,,,
