net_name,method,mode,learning_rate,net_number,stimulus,set_size,target_condition,n_correct,n_trials,accuracy,hit_rate,false_alarm_rate,d_prime
alexnet,transfer,classify,0.001,1,VSD,2,present,19,56,0.3392857142857143,,,
alexnet,transfer,classify,0.001,1,VSD,1,present,20,32,0.625,,,
alexnet,transfer,classify,0.001,1,VSD,5,present,15,35,0.42857142857142855,,,
alexnet,transfer,classify,0.001,1,VSD,3,present,19,44,0.4318181818181818,,,
alexnet,transfer,classify,0.001,1,VSD,7,present,12,19,0.631578947368421,,,
alexnet,transfer,classify,0.001,1,VSD,10,present,2,7,0.2857142857142857,,,
alexnet,transfer,classify,0.001,1,VSD,4,present,23,47,0.48936170212765956,,,
alexnet,transfer,classify,0.001,1,VSD,6,present,13,26,0.5,,,
alexnet,transfer,classify,0.001,1,VSD,11,present,4,10,0.4,,,
alexnet,transfer,classify,0.001,1,VSD,13,present,1,2,0.5,,,
alexnet,transfer,classify,0.001,1,VSD,9,present,7,8,0.875,,,
alexnet,transfer,classify,0.001,1,VSD,14,present,0,0,,,,
alexnet,transfer,classify,0.001,1,VSD,8,present,8,14,0.5714285714285714,,,
alexnet,transfer,classify,0.001,1,VSD,20,present,1,1,1.0,,,
alexnet,transfer,classify,0.001,1,VSD,12,present,2,3,0.6666666666666666,,,
alexnet,transfer,classify,0.001,1,VSD,18,present,0,2,0.0,,,
alexnet,transfer,classify,0.001,1,VSD,16,present,0,1,0.0,,,
alexnet,transfer,classify,0.001,1,VSD,22,present,0,0,,,,
alexnet,transfer,classify,0.001,1,VSD,15,present,0,1,0.0,,,
alexnet,transfer,classify,0.001,1,VSD,42,present,0,0,,,,
alexnet,transfer,classify,0.001,1,VSD,21,present,1,1,1.0,,,
alexnet,transfer,classify,0.001,1,VSD,19,present,0,1,0.0,,,
alexnet,transfer,classify,0.001,1,VSD,17,present,0,1,0.0,,,
alexnet,transfer,classify,0.001,1,VSD,2,absent,575,599,0.9599332220367279,,,
alexnet,transfer,classify,0.001,1,VSD,1,absent,1188,1201,0.9891756869275604,,,
alexnet,transfer,classify,0.001,1,VSD,5,absent,86,92,0.9347826086956522,,,
alexnet,transfer,classify,0.001,1,VSD,3,absent,299,311,0.9614147909967846,,,
alexnet,transfer,classify,0.001,1,VSD,7,absent,35,37,0.9459459459459459,,,
alexnet,transfer,classify,0.001,1,VSD,10,absent,22,22,1.0,,,
alexnet,transfer,classify,0.001,1,VSD,4,absent,160,164,0.975609756097561,,,
alexnet,transfer,classify,0.001,1,VSD,6,absent,54,58,0.9310344827586207,,,
