net_name,method,mode,learning_rate,net_number,stimulus,set_size,target_condition,n_correct,n_trials,accuracy,hit_rate,false_alarm_rate,d_prime
alexnet,transfer,classify,0.001,1,VSD,2,present,53,79,0.6708860759493671,,,
alexnet,transfer,classify,0.001,1,VSD,1,present,144,177,0.8135593220338984,,,
alexnet,transfer,classify,0.001,1,VSD,5,present,4,9,0.4444444444444444,,,
alexnet,transfer,classify,0.001,1,VSD,3,present,20,34,0.5882352941176471,,,
alexnet,transfer,classify,0.001,1,VSD,7,present,1,5,0.2,,,
alexnet,transfer,classify,0.001,1,VSD,10,present,0,1,0.0,,,
alexnet,transfer,classify,0.001,1,VSD,4,present,6,16,0.375,,,
alexnet,transfer,classify,0.001,1,VSD,6,present,1,5,0.2,,,
alexnet,transfer,classify,0.001,1,VSD,11,present,0,2,0.0,,,
alexnet,transfer,classify,0.001,1,VSD,13,present,0,0,,,,
alexnet,transfer,classify,0.001,1,VSD,9,present,1,2,0.5,,,
alexnet,transfer,classify,0.001,1,VSD,14,present,1,1,1.0,,,
alexnet,transfer,classify,0.001,1,VSD,8,present,0,1,0.0,,,
alexnet,transfer,classify,0.001,1,VSD,20,present,0,0,,,,
alexnet,transfer,classify,0.001,1,VSD,12,present,0,1,0.0,,,
alexnet,transfer,classify,0.001,1,VSD,18,present,1,1,1.0,,,
alexnet,transfer,classify,0.001,1,VSD,16,present,0,0,,,,
alexnet,transfer,classify,0.001,1,VSD,22,present,0,0,,,,
alexnet,transfer,classify,0.001,1,VSD,15,present,0,0,,,,
alexnet,transfer,classify,0.001,1,VSD,42,present,0,0,,,,
alexnet,transfer,classify,0.001,1,VSD,21,present,0,0,,,,
alexnet,transfer,classify,0.001,1,VSD,19,present,0,0,,,,
alexnet,transfer,classify,0.001,1,VSD,17,present,0,0,,,,
alexnet,transfer,classify,0.001,1,VSD,2,absent,559,576,0.9704861111111112,,,
alexnet,transfer,classify,0.001,1,VSD,1,absent,1033,1056,0.978219696969697,,,
alexnet,transfer,classify,0.001,1,VSD,5,absent,118,118,1.0,,,
alexnet,transfer,classify,0.001,1,VSD,3,absent,319,321,0.9937694704049844,,,
alexnet,transfer,classify,0.001,1,VSD,7,absent,51,51,1.0,,,
alexnet,transfer,classify,0.001,1,VSD,10,absent,28,28,1.0,,,
alexnet,transfer,classify,0.001,1,VSD,4,absent,192,195,0.9846153846153847,,,
alexnet,transfer,classify,0.001,1,VSD,6,absent,79,79,1.0,,,
alexnet,transfer,classify,0.001,1,VSD,11,absent,18,18,1.0,,,
alexnet,transfer,classify,0.001,1,VSD,13,absent,5,5,1.0,,,
alexnet,transfer,classify,0.001,1,VSD,9,absent,25,25,1.0,,,
alexnet,transfer,classify,0.001,1,VSD,14,absent,4,4,1.0,,,
alexnet,transfer,classify,0.001,1,VSD,8,absent,41,42,0.9761904761904762,,,
alexnet,transfer,classify,0.001,1,VSD,20,absent,3,3,1.0,,,
alexnet,transfer,classify,0.001,1,VSD,12,absent,10,10,1.0,,,
alexnet,transfer,classify,0.001,1,VSD,18,absent,3,3,1.0,,,
alexnet,transfer,classify,0.001,1,VSD,16,absent,6,6,1.0,,,
alexnet,transfer,classify,0.001,1,VSD,22,absent,1,1,1.0,,,
alexnet,transfer,classify,0.001,1,VSD,15,absent,3,3,1.0,,,
alexnet,transfer,classify,0.001,1,VSD,42,absent,1,1,1.0,,,
alexnet,transfer,classify,0.001,1,VSD,21,absent,1,1,1.0,,,
alexnet,transfer,classify,0.001,1,VSD,19,absent,3,3,1.0,,,
alexnet,transfer,classify,0.001,1,VSD,17,absent,1,1,1.0,,,
alexnet,transfer,classify,0.001,1,VSD,2,both,612,655,0.934351145038168,,,
alexnet,transfer,classify,0.001,1,VSD,1,both,1177,1233,0.9545823195458232,,,
alexnet,transfer,classify,0.001,1,VSD,5,both,122,127,0.9606299212598425,,,
alexnet,transfer,classify,0.001,1,VSD,3,both,339,355,0.9549295774647887,,,
alexnet,transfer,classify,0.001,1,VSD,7,both,52,56,0.9285714285714286,,,
alexnet,transfer,classify,0.001,1,VSD,10,both,28,29,0.9655172413793104,,,
alexnet,transfer,classify,0.001,1,VSD,4,both,198,211,0.9383886255924171,,,
alexnet,transfer,classify,0.001,1,VSD,6,both,80,84,0.9523809523809523,,,
alexnet,transfer,classify,0.001,1,VSD,11,both,18,20,0.9,,,
alexnet,transfer,classify,0.001,1,VSD,13,both,5,5,1.0,,,
alexnet,transfer,classify,0.001,1,VSD,9,both,26,27,0.9629629629629629,,,
alexnet,transfer,classify,0.001,1,VSD,14,both,5,5,1.0,,,
alexnet,transfer,classify,0.001,1,VSD,8,both,41,43,0.9534883720930233,,,
alexnet,transfer,classify,0.001,1,VSD,20,both,3,3,1.0,,,
alexnet,transfer,classify,0.001,1,VSD,12,both,10,11,0.9090909090909091,,,
alexnet,transfer,classify,0.001,1,VSD,18,both,4,4,1.0,,,
alexnet,transfer,classify,0.001,1,VSD,16,both,6,6,1.0,,,
alexnet,transfer,classify,0.001,1,VSD,22,both,1,1,1.0,,,
alexnet,transfer,classify,0.001,1,VSD,15,both,3,3,1.0,,,
alexnet,transfer,classify,0.001,1,VSD,42,both,1,1,1.0,,,
alexnet,transfer,classify,0.001,1,VSD,21,both,1,1,1.0,,,
alexnet,transfer,classify,0.001,1,VSD,19,both,3,3,1.0,,,
alexnet,transfer,classify,0.001,1,VSD,17,both,1,1,1.0,,,
alexnet,transfer,classify,0.001,2,VSD,2,present,51,79,0.6455696202531646,,,
alexnet,transfer,classify,0.001,2,VSD,1,present,132,177,0.7457627118644068,,,
alexnet,transfer,classify,0.001,2,VSD,5,present,4,9,0.4444444444444444,,,
alexnet,transfer,classify,0.001,2,VSD,3,present,20,34,0.5882352941176471,,,
alexnet,transfer,classify,0.001,2,VSD,7,present,1,5,0.2,,,
alexnet,transfer,classify,0.001,2,VSD,10,present,0,1,0.0,,,
alexnet,transfer,classify,0.001,2,VSD,4,present,6,16,0.375,,,
alexnet,transfer,classify,0.001,2,VSD,6,present,1,5,0.2,,,
alexnet,transfer,classify,0.001,2,VSD,11,present,0,2,0.0,,,
alexnet,transfer,classify,0.001,2,VSD,13,present,0,0,,,,
alexnet,transfer,classify,0.001,2,VSD,9,present,1,2,0.5,,,
alexnet,transfer,classify,0.001,2,VSD,14,present,1,1,1.0,,,
alexnet,transfer,classify,0.001,2,VSD,8,present,1,1,1.0,,,
alexnet,transfer,classify,0.001,2,VSD,20,present,0,0,,,,
alexnet,transfer,classify,0.001,2,VSD,12,present,0,1,0.0,,,
alexnet,transfer,classify,0.001,2,VSD,18,present,1,1,1.0,,,
alexnet,transfer,classify,0.001,2,VSD,16,present,0,0,,,,
