net_name,method,mode,learning_rate,net_number,stimulus,set_size,target_condition,n_correct,n_trials,accuracy,hit_rate,false_alarm_rate,d_prime
alexnet,transfer,classify,0.001,1,VSD,2,present,244,333,0.7327327327327328,,,
alexnet,transfer,classify,0.001,1,VSD,1,present,104,122,0.8524590163934426,,,
alexnet,transfer,classify,0.001,1,VSD,5,present,66,91,0.7252747252747253,,,
alexnet,transfer,classify,0.001,1,VSD,3,present,155,203,0.7635467980295566,,,
alexnet,transfer,classify,0.001,1,VSD,7,present,31,38,0.8157894736842105,,,
alexnet,transfer,classify,0.001,1,VSD,10,present,23,24,0.9583333333333334,,,
alexnet,transfer,classify,0.001,1,VSD,4,present,111,136,0.8161764705882353,,,
alexnet,transfer,classify,0.001,1,VSD,6,present,41,56,0.7321428571428571,,,
alexnet,transfer,classify,0.001,1,VSD,11,present,14,16,0.875,,,
alexnet,transfer,classify,0.001,1,VSD,13,present,4,4,1.0,,,
alexnet,transfer,classify,0.001,1,VSD,9,present,10,18,0.5555555555555556,,,
alexnet,transfer,classify,0.001,1,VSD,14,present,4,4,1.0,,,
alexnet,transfer,classify,0.001,1,VSD,8,present,22,26,0.8461538461538461,,,
alexnet,transfer,classify,0.001,1,VSD,20,present,2,2,1.0,,,
alexnet,transfer,classify,0.001,1,VSD,12,present,7,9,0.7777777777777778,,,
alexnet,transfer,classify,0.001,1,VSD,18,present,3,3,1.0,,,
alexnet,transfer,classify,0.001,1,VSD,16,present,4,4,1.0,,,
alexnet,transfer,classify,0.001,1,VSD,22,present,1,1,1.0,,,
alexnet,transfer,classify,0.001,1,VSD,15,present,3,3,1.0,,,
alexnet,transfer,classify,0.001,1,VSD,42,present,0,0,,,,
alexnet,transfer,classify,0.001,1,VSD,21,present,1,1,1.0,,,
alexnet,transfer,classify,0.001,1,VSD,19,present,2,3,0.6666666666666666,,,
alexnet,transfer,classify,0.001,1,VSD,17,present,1,1,1.0,,,
alexnet,transfer,classify,0.001,1,VSD,2,absent,308,322,0.9565217391304348,,,
alexnet,transfer,classify,0.001,1,VSD,1,absent,1069,1111,0.9621962196219622,,,
