step,loss/train,loss/val,f1/val,acc_largest/val,acc_random/val,replicate,net_name,method,mode,loss_func
1,0.7542476058006287,,,,,8,CORnet_S,initialize,classify,BCE
3,0.7433874011039734,,,,,8,CORnet_S,initialize,classify,BCE
4,0.7301241755485535,,,,,8,CORnet_S,initialize,classify,BCE
6,0.7085403800010681,,,,,8,CORnet_S,initialize,classify,BCE
8,0.6749252080917358,,,,,8,CORnet_S,initialize,classify,BCE
9,0.6667992472648621,,,,,8,CORnet_S,initialize,classify,BCE
11,0.6241327524185181,,,,,8,CORnet_S,initialize,classify,BCE
14,0.5726322531700134,,,,,8,CORnet_S,initialize,classify,BCE
16,0.5447114109992981,,,,,8,CORnet_S,initialize,classify,BCE
17,0.5281116366386414,,,,,8,CORnet_S,initialize,classify,BCE
18,0.5208719372749329,,,,,8,CORnet_S,initialize,classify,BCE
20,0.4840227067470551,,,,,8,CORnet_S,initialize,classify,BCE
22,0.4704420566558838,,,,,8,CORnet_S,initialize,classify,BCE
23,0.4338613450527191,,,,,8,CORnet_S,initialize,classify,BCE
24,0.4362820684909821,,,,,8,CORnet_S,initialize,classify,BCE
25,0.44097575545310974,,,,,8,CORnet_S,initialize,classify,BCE
27,0.4038254916667938,,,,,8,CORnet_S,initialize,classify,BCE
28,0.3985791802406311,,,,,8,CORnet_S,initialize,classify,BCE
29,0.3880328238010407,,,,,8,CORnet_S,initialize,classify,BCE
30,0.38932809233665466,,,,,8,CORnet_S,initialize,classify,BCE
31,0.3769534826278687,,,,,8,CORnet_S,initialize,classify,BCE
33,0.3687987923622131,,,,,8,CORnet_S,initialize,classify,BCE
36,0.34533068537712097,,,,,8,CORnet_S,initialize,classify,BCE
37,0.3293327987194061,,,,,8,CORnet_S,initialize,classify,BCE
38,0.33531859517097473,,,,,8,CORnet_S,initialize,classify,BCE
39,0.3463481962680817,,,,,8,CORnet_S,initialize,classify,BCE
40,0.3122808039188385,,,,,8,CORnet_S,initialize,classify,BCE
41,0.3317784368991852,,,,,8,CORnet_S,initialize,classify,BCE
43,0.3130488693714142,,,,,8,CORnet_S,initialize,classify,BCE
44,0.32448455691337585,,,,,8,CORnet_S,initialize,classify,BCE
45,0.306430846452713,,,,,8,CORnet_S,initialize,classify,BCE
46,0.3056711256504059,,,,,8,CORnet_S,initialize,classify,BCE
