step,loss/train,loss/val,f1/val,acc_largest/val,acc_random/val,replicate,net_name,method,mode,loss_func
1,3.1871454715728764,,,,,8,CORnet_S,initialize,classify,CE_largest
3,2.957826852798462,,,,,8,CORnet_S,initialize,classify,CE_largest
4,3.101306438446045,,,,,8,CORnet_S,initialize,classify,CE_largest
6,2.722531080245972,,,,,8,CORnet_S,initialize,classify,CE_largest
8,2.7761664390563965,,,,,8,CORnet_S,initialize,classify,CE_largest
9,2.9552123546600337,,,,,8,CORnet_S,initialize,classify,CE_largest
10,2.776461124420166,,,,,8,CORnet_S,initialize,classify,CE_largest
11,2.927440643310547,,,,,8,CORnet_S,initialize,classify,CE_largest
12,2.7650978565216064,,,,,8,CORnet_S,initialize,classify,CE_largest
13,2.812746524810791,,,,,8,CORnet_S,initialize,classify,CE_largest
14,2.667301177978516,,,,,8,CORnet_S,initialize,classify,CE_largest
15,2.3845233917236333,,,,,8,CORnet_S,initialize,classify,CE_largest
16,2.946369409561157,,,,,8,CORnet_S,initialize,classify,CE_largest
17,2.8143978118896484,,,,,8,CORnet_S,initialize,classify,CE_largest
18,2.9922707080841064,,,,,8,CORnet_S,initialize,classify,CE_largest
20,2.7920405864715576,,,,,8,CORnet_S,initialize,classify,CE_largest
21,2.574159860610962,,,,,8,CORnet_S,initialize,classify,CE_largest
22,2.871422290802002,,,,,8,CORnet_S,initialize,classify,CE_largest
23,2.743337631225586,,,,,8,CORnet_S,initialize,classify,CE_largest
24,2.569547176361084,,,,,8,CORnet_S,initialize,classify,CE_largest
25,2.903559923171997,,,,,8,CORnet_S,initialize,classify,CE_largest
27,2.905632495880127,,,,,8,CORnet_S,initialize,classify,CE_largest
28,2.5583631992340092,,,,,8,CORnet_S,initialize,classify,CE_largest
29,2.7642860412597656,,,,,8,CORnet_S,initialize,classify,CE_largest
30,3.047179698944092,,,,,8,CORnet_S,initialize,classify,CE_largest
31,2.9322845935821533,,,,,8,CORnet_S,initialize,classify,CE_largest
32,2.7411694526672363,,,,,8,CORnet_S,initialize,classify,CE_largest
33,2.8160474300384517,,,,,8,CORnet_S,initialize,classify,CE_largest
34,2.962486267089844,,,,,8,CORnet_S,initialize,classify,CE_largest
36,2.5380752086639404,,,,,8,CORnet_S,initialize,classify,CE_largest
37,2.7667078971862797,,,,,8,CORnet_S,initialize,classify,CE_largest
38,2.316466808319092,,,,,8,CORnet_S,initialize,classify,CE_largest
39,2.6990435123443604,,,,,8,CORnet_S,initialize,classify,CE_largest
40,2.6318933963775635,,,,,8,CORnet_S,initialize,classify,CE_largest
41,2.819718360900879,,,,,8,CORnet_S,initialize,classify,CE_largest
43,2.5183005332946777,,,,,8,CORnet_S,initialize,classify,CE_largest
44,3.227845907211304,,,,,8,CORnet_S,initialize,classify,CE_largest
45,2.85631799697876,,,,,8,CORnet_S,initialize,classify,CE_largest
46,3.0640711784362797,,,,,8,CORnet_S,initialize,classify,CE_largest
47,2.9196045398712163,,,,,8,CORnet_S,initialize,classify,CE_largest
48,2.9650700092315674,,,,,8,CORnet_S,initialize,classify,CE_largest
49,2.830155611038208,,,,,8,CORnet_S,initialize,classify,CE_largest
50,2.612944364547729,2.8494415283203125,0.1001044511795044,0.17859116196632385,0.17617402970790866,8,CORnet_S,initialize,classify,CE_largest
51,2.885505199432373,,,,,8,CORnet_S,initialize,classify,CE_largest
52,2.4743072986602783,,,,,8,CORnet_S,initialize,classify,CE_largest
53,2.653894424438477,,,,,8,CORnet_S,initialize,classify,CE_largest
54,2.772123098373413,,,,,8,CORnet_S,initialize,classify,CE_largest
