step,loss/train,loss/val,f1/val,acc_largest/val,acc_random/val,replicate,net_name,method,mode,loss_func
3,0.7097703814506531,,,,,8,CORnet_S,transfer,classify,BCE
6,0.6787340044975281,,,,,8,CORnet_S,transfer,classify,BCE
8,0.6395427584648132,,,,,8,CORnet_S,transfer,classify,BCE
11,0.5865784287452698,,,,,8,CORnet_S,transfer,classify,BCE
16,0.4786805808544159,,,,,8,CORnet_S,transfer,classify,BCE
17,0.4722321927547455,,,,,8,CORnet_S,transfer,classify,BCE
18,0.4451216757297516,,,,,8,CORnet_S,transfer,classify,BCE
22,0.40892544388771057,,,,,8,CORnet_S,transfer,classify,BCE
23,0.39244985580444336,,,,,8,CORnet_S,transfer,classify,BCE
24,0.3843750655651093,,,,,8,CORnet_S,transfer,classify,BCE
29,0.32934626936912537,,,,,8,CORnet_S,transfer,classify,BCE
30,0.3518252372741699,,,,,8,CORnet_S,transfer,classify,BCE
31,0.31910377740859985,,,,,8,CORnet_S,transfer,classify,BCE
33,0.3218270242214203,,,,,8,CORnet_S,transfer,classify,BCE
38,0.3037879168987274,,,,,8,CORnet_S,transfer,classify,BCE
40,0.2750253677368164,,,,,8,CORnet_S,transfer,classify,BCE
43,0.2900181710720062,,,,,8,CORnet_S,transfer,classify,BCE
50,0.2701437473297119,0.27335700392723083,0.002255646511912346,0.2113950252532959,0.237361878156662,8,CORnet_S,transfer,classify,BCE
52,0.2687854468822479,,,,,8,CORnet_S,transfer,classify,BCE
53,0.2595825791358948,,,,,8,CORnet_S,transfer,classify,BCE
57,0.2737371027469635,,,,,8,CORnet_S,transfer,classify,BCE
61,0.2521142363548279,,,,,8,CORnet_S,transfer,classify,BCE
64,0.2993086278438568,,,,,8,CORnet_S,transfer,classify,BCE
67,0.2573054730892181,,,,,8,CORnet_S,transfer,classify,BCE
68,0.2561565339565277,,,,,8,CORnet_S,transfer,classify,BCE
69,0.2984190881252289,,,,,8,CORnet_S,transfer,classify,BCE
70,0.25656816363334656,,,,,8,CORnet_S,transfer,classify,BCE
73,0.2589192092418671,,,,,8,CORnet_S,transfer,classify,BCE
79,0.2667530179023743,,,,,8,CORnet_S,transfer,classify,BCE
82,0.25050273537635803,,,,,8,CORnet_S,transfer,classify,BCE
83,0.2531495690345764,,,,,8,CORnet_S,transfer,classify,BCE
85,0.2566142678260803,,,,,8,CORnet_S,transfer,classify,BCE
86,0.2560756802558899,,,,,8,CORnet_S,transfer,classify,BCE
88,0.26481929421424866,,,,,8,CORnet_S,transfer,classify,BCE
90,0.25449422001838684,,,,,8,CORnet_S,transfer,classify,BCE
93,0.23541784286499026,,,,,8,CORnet_S,transfer,classify,BCE
95,0.25142332911491394,,,,,8,CORnet_S,transfer,classify,BCE
96,0.24000476300716397,,,,,8,CORnet_S,transfer,classify,BCE
97,0.2564244866371155,,,,,8,CORnet_S,transfer,classify,BCE
100,0.2381786108016968,0.2506297528743744,0.0038488199934363365,0.2113950252532959,0.23867402970790866,8,CORnet_S,transfer,classify,BCE
102,0.2308533638715744,,,,,8,CORnet_S,transfer,classify,BCE
104,0.2639884054660797,,,,,8,CORnet_S,transfer,classify,BCE
105,0.25594669580459595,,,,,8,CORnet_S,transfer,classify,BCE
107,0.2409065216779709,,,,,8,CORnet_S,transfer,classify,BCE
108,0.24478916823863986,,,,,8,CORnet_S,transfer,classify,BCE
112,0.25927534699439997,,,,,8,CORnet_S,transfer,classify,BCE
117,0.2617942988872528,,,,,8,CORnet_S,transfer,classify,BCE
119,0.24028562009334564,,,,,8,CORnet_S,transfer,classify,BCE
122,0.2324388027191162,,,,,8,CORnet_S,transfer,classify,BCE
123,0.248306542634964,,,,,8,CORnet_S,transfer,classify,BCE
128,0.2556423842906952,,,,,8,CORnet_S,transfer,classify,BCE
132,0.2850991785526276,,,,,8,CORnet_S,transfer,classify,BCE
133,0.233813151717186,,,,,8,CORnet_S,transfer,classify,BCE
135,0.2549351453781128,,,,,8,CORnet_S,transfer,classify,BCE
137,0.231007918715477,,,,,8,CORnet_S,transfer,classify,BCE
139,0.2602960169315338,,,,,8,CORnet_S,transfer,classify,BCE
140,0.2128540575504303,,,,,8,CORnet_S,transfer,classify,BCE
143,0.2532203793525696,,,,,8,CORnet_S,transfer,classify,BCE
146,0.2547032535076141,,,,,8,CORnet_S,transfer,classify,BCE
147,0.26102930307388306,,,,,8,CORnet_S,transfer,classify,BCE
150,0.2578113675117493,0.2467138320207596,0.005519234575331211,0.2113950252532959,0.2417817711830139,8,CORnet_S,transfer,classify,BCE
152,0.2216879427433014,,,,,8,CORnet_S,transfer,classify,BCE
153,0.19781136512756348,,,,,8,CORnet_S,transfer,classify,BCE
155,0.25156012177467346,,,,,8,CORnet_S,transfer,classify,BCE
157,0.2538520991802216,,,,,8,CORnet_S,transfer,classify,BCE
161,0.2284494936466217,,,,,8,CORnet_S,transfer,classify,BCE
162,0.2509988248348236,,,,,8,CORnet_S,transfer,classify,BCE
166,0.2629616856575012,,,,,8,CORnet_S,transfer,classify,BCE
