step,loss/train,loss/val,f1/val,acc_largest/val,acc_random/val,replicate,net_name,method,mode,loss_func
1,2.5840435028076167,,,,,8,CORnet_S,transfer,classify,CE_random
2,2.7381696701049805,,,,,8,CORnet_S,transfer,classify,CE_random
3,2.9614505767822266,,,,,8,CORnet_S,transfer,classify,CE_random
4,2.382394552230835,,,,,8,CORnet_S,transfer,classify,CE_random
5,2.480830192565918,,,,,8,CORnet_S,transfer,classify,CE_random
6,2.877747774124145,,,,,8,CORnet_S,transfer,classify,CE_random
7,2.8163051605224614,,,,,8,CORnet_S,transfer,classify,CE_random
8,3.060609579086304,,,,,8,CORnet_S,transfer,classify,CE_random
9,3.2525312900543213,,,,,8,CORnet_S,transfer,classify,CE_random
10,2.7250652313232417,,,,,8,CORnet_S,transfer,classify,CE_random
11,2.7171790599823,,,,,8,CORnet_S,transfer,classify,CE_random
12,2.7143454551696777,,,,,8,CORnet_S,transfer,classify,CE_random
13,2.8991696834564213,,,,,8,CORnet_S,transfer,classify,CE_random
14,2.551945447921753,,,,,8,CORnet_S,transfer,classify,CE_random
15,2.573049068450928,,,,,8,CORnet_S,transfer,classify,CE_random
16,3.2600514888763428,,,,,8,CORnet_S,transfer,classify,CE_random
17,2.8621752262115483,,,,,8,CORnet_S,transfer,classify,CE_random
18,2.8726167678833012,,,,,8,CORnet_S,transfer,classify,CE_random
19,2.7192533016204834,,,,,8,CORnet_S,transfer,classify,CE_random
20,2.808215618133545,,,,,8,CORnet_S,transfer,classify,CE_random
21,2.517803192138672,,,,,8,CORnet_S,transfer,classify,CE_random
22,3.194974184036255,,,,,8,CORnet_S,transfer,classify,CE_random
23,2.6548147201538086,,,,,8,CORnet_S,transfer,classify,CE_random
24,2.8433938026428223,,,,,8,CORnet_S,transfer,classify,CE_random
25,2.9772756099700928,,,,,8,CORnet_S,transfer,classify,CE_random
26,2.458695888519287,,,,,8,CORnet_S,transfer,classify,CE_random
27,2.5083692073822017,,,,,8,CORnet_S,transfer,classify,CE_random
28,2.8251302242279053,,,,,8,CORnet_S,transfer,classify,CE_random
29,3.0785744190216064,,,,,8,CORnet_S,transfer,classify,CE_random
30,2.525782823562622,,,,,8,CORnet_S,transfer,classify,CE_random
31,2.459191083908081,,,,,8,CORnet_S,transfer,classify,CE_random
32,2.6233508586883545,,,,,8,CORnet_S,transfer,classify,CE_random
33,2.7826318740844727,,,,,8,CORnet_S,transfer,classify,CE_random
34,2.8070995807647705,,,,,8,CORnet_S,transfer,classify,CE_random
35,2.615131378173828,,,,,8,CORnet_S,transfer,classify,CE_random
36,2.805484771728516,,,,,8,CORnet_S,transfer,classify,CE_random
37,2.8249528408050537,,,,,8,CORnet_S,transfer,classify,CE_random
38,2.6761488914489746,,,,,8,CORnet_S,transfer,classify,CE_random
39,2.788766384124756,,,,,8,CORnet_S,transfer,classify,CE_random
40,2.902305126190185,,,,,8,CORnet_S,transfer,classify,CE_random
41,2.561052799224853,,,,,8,CORnet_S,transfer,classify,CE_random
42,2.517395496368408,,,,,8,CORnet_S,transfer,classify,CE_random
43,2.7544925212860107,,,,,8,CORnet_S,transfer,classify,CE_random
44,2.30600905418396,,,,,8,CORnet_S,transfer,classify,CE_random
45,2.5085811614990234,,,,,8,CORnet_S,transfer,classify,CE_random
46,2.506164073944092,,,,,8,CORnet_S,transfer,classify,CE_random
47,2.5529332160949707,,,,,8,CORnet_S,transfer,classify,CE_random
48,2.4993295669555664,,,,,8,CORnet_S,transfer,classify,CE_random
49,3.0570569038391118,,,,,8,CORnet_S,transfer,classify,CE_random
50,2.385537624359131,2.6099085807800293,0.11213713884353638,0.21277624368667605,0.2439226508140564,8,CORnet_S,transfer,classify,CE_random
