step,loss/train,loss/val,f1/val,acc_largest/val,acc_random/val,replicate,net_name,method,mode,loss_func
3,2.979630470275879,,,,,8,CORnet_Z,initialize,classify,CE_largest
6,2.985491275787353,,,,,8,CORnet_Z,initialize,classify,CE_largest
8,2.982872486114502,,,,,8,CORnet_Z,initialize,classify,CE_largest
11,2.979271411895752,,,,,8,CORnet_Z,initialize,classify,CE_largest
16,2.9993157386779785,,,,,8,CORnet_Z,initialize,classify,CE_largest
17,2.99216365814209,,,,,8,CORnet_Z,initialize,classify,CE_largest
18,2.974704504013061,,,,,8,CORnet_Z,initialize,classify,CE_largest
22,2.9887537956237797,,,,,8,CORnet_Z,initialize,classify,CE_largest
23,2.9597563743591313,,,,,8,CORnet_Z,initialize,classify,CE_largest
24,2.971078634262085,,,,,8,CORnet_Z,initialize,classify,CE_largest
29,2.8798904418945312,,,,,8,CORnet_Z,initialize,classify,CE_largest
31,2.9600250720977783,,,,,8,CORnet_Z,initialize,classify,CE_largest
33,2.9180047512054443,,,,,8,CORnet_Z,initialize,classify,CE_largest
38,2.933922529220581,,,,,8,CORnet_Z,initialize,classify,CE_largest
40,2.9177634716033936,,,,,8,CORnet_Z,initialize,classify,CE_largest
43,2.895106554031372,,,,,8,CORnet_Z,initialize,classify,CE_largest
50,2.69545316696167,2.8526031970977783,0.07724950462579727,0.2113950252532959,0.2417817711830139,8,CORnet_Z,initialize,classify,CE_largest
52,2.773455619812012,,,,,8,CORnet_Z,initialize,classify,CE_largest
53,2.8416285514831543,,,,,8,CORnet_Z,initialize,classify,CE_largest
57,2.9878485202789307,,,,,8,CORnet_Z,initialize,classify,CE_largest
61,2.8784444332122803,,,,,8,CORnet_Z,initialize,classify,CE_largest
64,2.9242377281188965,,,,,8,CORnet_Z,initialize,classify,CE_largest
67,3.0423755645751958,,,,,8,CORnet_Z,initialize,classify,CE_largest
68,3.021682024002075,,,,,8,CORnet_Z,initialize,classify,CE_largest
70,2.889425039291382,,,,,8,CORnet_Z,initialize,classify,CE_largest
73,2.8101227283477783,,,,,8,CORnet_Z,initialize,classify,CE_largest
79,2.881280899047852,,,,,8,CORnet_Z,initialize,classify,CE_largest
82,2.6990137100219727,,,,,8,CORnet_Z,initialize,classify,CE_largest
83,2.9339177608489986,,,,,8,CORnet_Z,initialize,classify,CE_largest
85,2.84024977684021,,,,,8,CORnet_Z,initialize,classify,CE_largest
86,2.7599656581878658,,,,,8,CORnet_Z,initialize,classify,CE_largest
88,2.8864047527313232,,,,,8,CORnet_Z,initialize,classify,CE_largest
90,2.841222286224365,,,,,8,CORnet_Z,initialize,classify,CE_largest
93,2.743206262588501,,,,,8,CORnet_Z,initialize,classify,CE_largest
95,3.032791376113892,,,,,8,CORnet_Z,initialize,classify,CE_largest
96,2.9177374839782715,,,,,8,CORnet_Z,initialize,classify,CE_largest
97,2.354785919189453,,,,,8,CORnet_Z,initialize,classify,CE_largest
100,2.77268123626709,2.792837142944336,0.0770493671298027,0.2113950252532959,0.24323204159736636,8,CORnet_Z,initialize,classify,CE_largest
102,2.6995067596435547,,,,,8,CORnet_Z,initialize,classify,CE_largest
104,2.9592714309692383,,,,,8,CORnet_Z,initialize,classify,CE_largest
105,2.4235434532165527,,,,,8,CORnet_Z,initialize,classify,CE_largest
107,2.8707964420318604,,,,,8,CORnet_Z,initialize,classify,CE_largest
108,2.760310173034668,,,,,8,CORnet_Z,initialize,classify,CE_largest
112,2.744988441467285,,,,,8,CORnet_Z,initialize,classify,CE_largest
117,2.590893507003784,,,,,8,CORnet_Z,initialize,classify,CE_largest
119,2.8736238479614262,,,,,8,CORnet_Z,initialize,classify,CE_largest
122,2.5378451347351074,,,,,8,CORnet_Z,initialize,classify,CE_largest
123,2.4641265869140625,,,,,8,CORnet_Z,initialize,classify,CE_largest
128,2.8677608966827397,,,,,8,CORnet_Z,initialize,classify,CE_largest
132,2.7734334468841557,,,,,8,CORnet_Z,initialize,classify,CE_largest
133,3.0133862495422363,,,,,8,CORnet_Z,initialize,classify,CE_largest
135,2.777249813079834,,,,,8,CORnet_Z,initialize,classify,CE_largest
137,2.9438459873199463,,,,,8,CORnet_Z,initialize,classify,CE_largest
139,3.09673810005188,,,,,8,CORnet_Z,initialize,classify,CE_largest
140,3.150337219238281,,,,,8,CORnet_Z,initialize,classify,CE_largest
143,2.5713160037994385,,,,,8,CORnet_Z,initialize,classify,CE_largest
