step,loss/train,loss/val,f1/val,acc_largest/val,acc_random/val,replicate,net_name,method,mode,loss_func
3,1.0855282545089722,,,,,8,CORnet_Z,transfer,classify,BCE
6,0.9747280478477478,,,,,8,CORnet_Z,transfer,classify,BCE
8,0.8400651812553406,,,,,8,CORnet_Z,transfer,classify,BCE
11,0.7062975764274597,,,,,8,CORnet_Z,transfer,classify,BCE
16,0.4883053004741669,,,,,8,CORnet_Z,transfer,classify,BCE
17,0.5229859352111816,,,,,8,CORnet_Z,transfer,classify,BCE
18,0.4790683686733246,,,,,8,CORnet_Z,transfer,classify,BCE
22,0.3626182973384857,,,,,8,CORnet_Z,transfer,classify,BCE
23,0.34490978717803955,,,,,8,CORnet_Z,transfer,classify,BCE
24,0.3649984896183014,,,,,8,CORnet_Z,transfer,classify,BCE
29,0.3357469439506531,,,,,8,CORnet_Z,transfer,classify,BCE
31,0.34828513860702515,,,,,8,CORnet_Z,transfer,classify,BCE
33,0.2712046802043915,,,,,8,CORnet_Z,transfer,classify,BCE
38,0.28794655203819275,,,,,8,CORnet_Z,transfer,classify,BCE
40,0.2794982492923737,,,,,8,CORnet_Z,transfer,classify,BCE
43,0.2590391039848328,,,,,8,CORnet_Z,transfer,classify,BCE
50,0.2543683648109436,0.27453938126564026,0.014742123894393444,0.1813535839319229,0.2113950252532959,8,CORnet_Z,transfer,classify,BCE
52,0.26442286372184753,,,,,8,CORnet_Z,transfer,classify,BCE
53,0.2803042829036713,,,,,8,CORnet_Z,transfer,classify,BCE
57,0.24836502969264984,,,,,8,CORnet_Z,transfer,classify,BCE
64,0.2837301790714264,,,,,8,CORnet_Z,transfer,classify,BCE
67,0.2663266956806183,,,,,8,CORnet_Z,transfer,classify,BCE
68,0.2963515818119049,,,,,8,CORnet_Z,transfer,classify,BCE
70,0.2445631325244904,,,,,8,CORnet_Z,transfer,classify,BCE
73,0.22660665214061734,,,,,8,CORnet_Z,transfer,classify,BCE
79,0.29647430777549744,,,,,8,CORnet_Z,transfer,classify,BCE
82,0.32794690132141113,,,,,8,CORnet_Z,transfer,classify,BCE
83,0.2528239488601685,,,,,8,CORnet_Z,transfer,classify,BCE
85,0.2826903164386749,,,,,8,CORnet_Z,transfer,classify,BCE
86,0.2716681063175201,,,,,8,CORnet_Z,transfer,classify,BCE
88,0.2538342475891113,,,,,8,CORnet_Z,transfer,classify,BCE
90,0.26267632842063904,,,,,8,CORnet_Z,transfer,classify,BCE
95,0.2485238164663315,,,,,8,CORnet_Z,transfer,classify,BCE
96,0.2872515320777893,,,,,8,CORnet_Z,transfer,classify,BCE
97,0.25790929794311523,,,,,8,CORnet_Z,transfer,classify,BCE
100,0.27857470512390137,0.26678407192230225,0.012034255079925059,0.197237566113472,0.2290055304765701,8,CORnet_Z,transfer,classify,BCE
102,0.33715391159057617,,,,,8,CORnet_Z,transfer,classify,BCE
104,0.2709876596927643,,,,,8,CORnet_Z,transfer,classify,BCE
105,0.23578885197639465,,,,,8,CORnet_Z,transfer,classify,BCE
107,0.26027366518974304,,,,,8,CORnet_Z,transfer,classify,BCE
108,0.2417967170476913,,,,,8,CORnet_Z,transfer,classify,BCE
112,0.2769467830657959,,,,,8,CORnet_Z,transfer,classify,BCE
117,0.2908031046390533,,,,,8,CORnet_Z,transfer,classify,BCE
119,0.2902116179466248,,,,,8,CORnet_Z,transfer,classify,BCE
