step,loss/train,loss/val,f1/val,acc_largest/val,acc_random/val,replicate,net_name,method,mode,loss_func
1,4.1273932456970215,,,,,8,CORnet_Z,transfer,classify,CE_largest
2,4.732035636901856,,,,,8,CORnet_Z,transfer,classify,CE_largest
3,3.747816801071167,,,,,8,CORnet_Z,transfer,classify,CE_largest
4,4.2945804595947275,,,,,8,CORnet_Z,transfer,classify,CE_largest
5,3.9543492794036874,,,,,8,CORnet_Z,transfer,classify,CE_largest
6,3.2673704624176025,,,,,8,CORnet_Z,transfer,classify,CE_largest
7,3.4675617218017583,,,,,8,CORnet_Z,transfer,classify,CE_largest
8,3.227055311203003,,,,,8,CORnet_Z,transfer,classify,CE_largest
9,3.393956184387207,,,,,8,CORnet_Z,transfer,classify,CE_largest
10,3.450864553451538,,,,,8,CORnet_Z,transfer,classify,CE_largest
11,3.397585391998291,,,,,8,CORnet_Z,transfer,classify,CE_largest
12,2.215066909790039,,,,,8,CORnet_Z,transfer,classify,CE_largest
13,3.1885826587677,,,,,8,CORnet_Z,transfer,classify,CE_largest
14,3.3393471240997314,,,,,8,CORnet_Z,transfer,classify,CE_largest
15,3.3242878913879395,,,,,8,CORnet_Z,transfer,classify,CE_largest
16,2.8260416984558105,,,,,8,CORnet_Z,transfer,classify,CE_largest
17,2.9857897758483887,,,,,8,CORnet_Z,transfer,classify,CE_largest
18,3.1773293018341064,,,,,8,CORnet_Z,transfer,classify,CE_largest
19,3.383272647857666,,,,,8,CORnet_Z,transfer,classify,CE_largest
20,2.9633889198303223,,,,,8,CORnet_Z,transfer,classify,CE_largest
21,3.2953033447265625,,,,,8,CORnet_Z,transfer,classify,CE_largest
22,2.664719343185425,,,,,8,CORnet_Z,transfer,classify,CE_largest
23,3.2513742446899414,,,,,8,CORnet_Z,transfer,classify,CE_largest
24,3.5536842346191406,,,,,8,CORnet_Z,transfer,classify,CE_largest
25,3.031805992126465,,,,,8,CORnet_Z,transfer,classify,CE_largest
26,2.5433461666107178,,,,,8,CORnet_Z,transfer,classify,CE_largest
27,2.85677433013916,,,,,8,CORnet_Z,transfer,classify,CE_largest
28,3.7688140869140634,,,,,8,CORnet_Z,transfer,classify,CE_largest
29,3.755547523498535,,,,,8,CORnet_Z,transfer,classify,CE_largest
30,3.249725818634033,,,,,8,CORnet_Z,transfer,classify,CE_largest
31,2.6808648109436035,,,,,8,CORnet_Z,transfer,classify,CE_largest
32,2.57666563987732,,,,,8,CORnet_Z,transfer,classify,CE_largest
33,2.9650254249572754,,,,,8,CORnet_Z,transfer,classify,CE_largest
34,3.369434356689453,,,,,8,CORnet_Z,transfer,classify,CE_largest
35,3.1357581615448,,,,,8,CORnet_Z,transfer,classify,CE_largest
36,3.0318949222564697,,,,,8,CORnet_Z,transfer,classify,CE_largest
37,2.611156702041626,,,,,8,CORnet_Z,transfer,classify,CE_largest
38,3.2418084144592285,,,,,8,CORnet_Z,transfer,classify,CE_largest
39,3.2268917560577397,,,,,8,CORnet_Z,transfer,classify,CE_largest
40,3.135974884033203,,,,,8,CORnet_Z,transfer,classify,CE_largest
41,2.807092666625977,,,,,8,CORnet_Z,transfer,classify,CE_largest
42,2.8535339832305913,,,,,8,CORnet_Z,transfer,classify,CE_largest
43,3.0439302921295166,,,,,8,CORnet_Z,transfer,classify,CE_largest
44,3.153017520904541,,,,,8,CORnet_Z,transfer,classify,CE_largest
45,2.5923986434936523,,,,,8,CORnet_Z,transfer,classify,CE_largest
46,2.4179553985595703,,,,,8,CORnet_Z,transfer,classify,CE_largest
47,3.0062897205352783,,,,,8,CORnet_Z,transfer,classify,CE_largest
48,2.772782802581787,,,,,8,CORnet_Z,transfer,classify,CE_largest
49,2.389540195465088,,,,,8,CORnet_Z,transfer,classify,CE_largest
50,3.2362959384918213,2.671262264251709,0.1339453160762787,0.23964087665081024,0.2369475066661835,8,CORnet_Z,transfer,classify,CE_largest
51,2.728926658630371,,,,,8,CORnet_Z,transfer,classify,CE_largest
52,2.442698240280152,,,,,8,CORnet_Z,transfer,classify,CE_largest
53,2.549768447875977,,,,,8,CORnet_Z,transfer,classify,CE_largest
54,2.386897563934326,,,,,8,CORnet_Z,transfer,classify,CE_largest
55,2.10316801071167,,,,,8,CORnet_Z,transfer,classify,CE_largest
56,3.2524659633636475,,,,,8,CORnet_Z,transfer,classify,CE_largest
57,2.90447735786438,,,,,8,CORnet_Z,transfer,classify,CE_largest
58,2.627205848693848,,,,,8,CORnet_Z,transfer,classify,CE_largest
59,2.0507650375366206,,,,,8,CORnet_Z,transfer,classify,CE_largest
60,1.8784338235855105,,,,,8,CORnet_Z,transfer,classify,CE_largest
61,2.606085777282715,,,,,8,CORnet_Z,transfer,classify,CE_largest
62,2.665867805480957,,,,,8,CORnet_Z,transfer,classify,CE_largest
63,2.332813262939453,,,,,8,CORnet_Z,transfer,classify,CE_largest
64,2.100006103515625,,,,,8,CORnet_Z,transfer,classify,CE_largest
65,2.871420860290528,,,,,8,CORnet_Z,transfer,classify,CE_largest
66,2.3666234016418457,,,,,8,CORnet_Z,transfer,classify,CE_largest
67,2.851499319076538,,,,,8,CORnet_Z,transfer,classify,CE_largest
68,2.800741195678711,,,,,8,CORnet_Z,transfer,classify,CE_largest
69,2.766800880432129,,,,,8,CORnet_Z,transfer,classify,CE_largest
70,2.3905153274536133,,,,,8,CORnet_Z,transfer,classify,CE_largest
71,2.752160787582397,,,,,8,CORnet_Z,transfer,classify,CE_largest
72,2.847221851348877,,,,,8,CORnet_Z,transfer,classify,CE_largest
73,2.6755528450012207,,,,,8,CORnet_Z,transfer,classify,CE_largest
