step,loss/train,loss/val,f1/val,acc_largest/val,acc_random/val,replicate,net_name,method,mode,loss_func
1,5.897127151489258,,,,,8,CORnet_Z,transfer,classify,CE_random
2,5.457615852355957,,,,,8,CORnet_Z,transfer,classify,CE_random
3,4.833154201507568,,,,,8,CORnet_Z,transfer,classify,CE_random
4,4.412345886230469,,,,,8,CORnet_Z,transfer,classify,CE_random
5,3.3493988513946533,,,,,8,CORnet_Z,transfer,classify,CE_random
6,3.643051624298096,,,,,8,CORnet_Z,transfer,classify,CE_random
7,3.257356882095337,,,,,8,CORnet_Z,transfer,classify,CE_random
8,3.008750915527344,,,,,8,CORnet_Z,transfer,classify,CE_random
9,3.305999279022217,,,,,8,CORnet_Z,transfer,classify,CE_random
10,2.3859221935272217,,,,,8,CORnet_Z,transfer,classify,CE_random
11,3.889067888259888,,,,,8,CORnet_Z,transfer,classify,CE_random
12,3.953843832015991,,,,,8,CORnet_Z,transfer,classify,CE_random
13,4.224097728729248,,,,,8,CORnet_Z,transfer,classify,CE_random
14,3.3162224292755127,,,,,8,CORnet_Z,transfer,classify,CE_random
15,3.839056253433228,,,,,8,CORnet_Z,transfer,classify,CE_random
16,2.996611833572388,,,,,8,CORnet_Z,transfer,classify,CE_random
17,2.871699571609497,,,,,8,CORnet_Z,transfer,classify,CE_random
18,3.395289421081543,,,,,8,CORnet_Z,transfer,classify,CE_random
19,3.2536933422088623,,,,,8,CORnet_Z,transfer,classify,CE_random
20,3.651354074478149,,,,,8,CORnet_Z,transfer,classify,CE_random
21,3.216020345687866,,,,,8,CORnet_Z,transfer,classify,CE_random
22,2.558229923248291,,,,,8,CORnet_Z,transfer,classify,CE_random
23,2.729135274887085,,,,,8,CORnet_Z,transfer,classify,CE_random
24,2.6268038749694824,,,,,8,CORnet_Z,transfer,classify,CE_random
25,2.8245272636413574,,,,,8,CORnet_Z,transfer,classify,CE_random
26,3.146843910217285,,,,,8,CORnet_Z,transfer,classify,CE_random
27,3.544985294342041,,,,,8,CORnet_Z,transfer,classify,CE_random
28,3.3464877605438232,,,,,8,CORnet_Z,transfer,classify,CE_random
29,2.478740692138672,,,,,8,CORnet_Z,transfer,classify,CE_random
30,2.333465814590454,,,,,8,CORnet_Z,transfer,classify,CE_random
31,2.855541229248047,,,,,8,CORnet_Z,transfer,classify,CE_random
32,2.6149239540100098,,,,,8,CORnet_Z,transfer,classify,CE_random
