step,loss/train,loss/val,f1/val,acc_largest/val,acc_random/val,replicate,net_name,method,mode,loss_func
1,2.9867067337036133,,,,,8,VGG16,initialize,classify,CE_largest
3,2.995190143585205,,,,,8,VGG16,initialize,classify,CE_largest
4,3.007038354873657,,,,,8,VGG16,initialize,classify,CE_largest
6,2.9770302772521973,,,,,8,VGG16,initialize,classify,CE_largest
8,2.99033260345459,,,,,8,VGG16,initialize,classify,CE_largest
9,2.9881293773651123,,,,,8,VGG16,initialize,classify,CE_largest
10,2.992195606231689,,,,,8,VGG16,initialize,classify,CE_largest
11,2.9854857921600337,,,,,8,VGG16,initialize,classify,CE_largest
12,2.998249053955078,,,,,8,VGG16,initialize,classify,CE_largest
13,2.985257387161255,,,,,8,VGG16,initialize,classify,CE_largest
14,2.9704158306121826,,,,,8,VGG16,initialize,classify,CE_largest
15,2.999424457550049,,,,,8,VGG16,initialize,classify,CE_largest
16,2.9765682220458984,,,,,8,VGG16,initialize,classify,CE_largest
17,2.965319395065308,,,,,8,VGG16,initialize,classify,CE_largest
18,2.9612693786621094,,,,,8,VGG16,initialize,classify,CE_largest
20,2.9733245372772217,,,,,8,VGG16,initialize,classify,CE_largest
21,2.9723691940307617,,,,,8,VGG16,initialize,classify,CE_largest
22,2.9451072216033936,,,,,8,VGG16,initialize,classify,CE_largest
23,2.991893768310547,,,,,8,VGG16,initialize,classify,CE_largest
24,2.9600989818573,,,,,8,VGG16,initialize,classify,CE_largest
25,2.9984407424926762,,,,,8,VGG16,initialize,classify,CE_largest
27,2.9682583808898926,,,,,8,VGG16,initialize,classify,CE_largest
28,2.8747577667236333,,,,,8,VGG16,initialize,classify,CE_largest
29,2.879449844360352,,,,,8,VGG16,initialize,classify,CE_largest
30,2.9724407196044917,,,,,8,VGG16,initialize,classify,CE_largest
31,2.8684074878692627,,,,,8,VGG16,initialize,classify,CE_largest
32,2.905792236328125,,,,,8,VGG16,initialize,classify,CE_largest
33,2.994833946228028,,,,,8,VGG16,initialize,classify,CE_largest
34,2.958343505859375,,,,,8,VGG16,initialize,classify,CE_largest
36,2.92580509185791,,,,,8,VGG16,initialize,classify,CE_largest
37,2.9350664615631104,,,,,8,VGG16,initialize,classify,CE_largest
38,2.941273927688598,,,,,8,VGG16,initialize,classify,CE_largest
39,2.997514247894287,,,,,8,VGG16,initialize,classify,CE_largest
40,2.6230876445770264,,,,,8,VGG16,initialize,classify,CE_largest
41,2.7680909633636475,,,,,8,VGG16,initialize,classify,CE_largest
43,2.9717621803283687,,,,,8,VGG16,initialize,classify,CE_largest
44,2.9805350303649902,,,,,8,VGG16,initialize,classify,CE_largest
45,2.813793420791626,,,,,8,VGG16,initialize,classify,CE_largest
46,3.0276050567626958,,,,,8,VGG16,initialize,classify,CE_largest
47,3.0085699558258057,,,,,8,VGG16,initialize,classify,CE_largest
48,3.1926069259643555,,,,,8,VGG16,initialize,classify,CE_largest
49,2.8692989349365234,,,,,8,VGG16,initialize,classify,CE_largest
50,2.961642980575561,2.834932565689087,0.0688367411494255,0.2113950252532959,0.2415055185556412,8,VGG16,initialize,classify,CE_largest
51,2.8698198795318604,,,,,8,VGG16,initialize,classify,CE_largest
