step,loss/train,loss/val,f1/val,acc_largest/val,acc_random/val,replicate,net_name,method,mode,loss_func
1,0.6938043832778931,,,,,8,VGG16,transfer,classify,BCE
3,0.6878411769866943,,,,,8,VGG16,transfer,classify,BCE
4,0.6874764561653137,,,,,8,VGG16,transfer,classify,BCE
6,0.6664504408836365,,,,,8,VGG16,transfer,classify,BCE
8,0.6678550243377686,,,,,8,VGG16,transfer,classify,BCE
9,0.654319703578949,,,,,8,VGG16,transfer,classify,BCE
11,0.6373015642166138,,,,,8,VGG16,transfer,classify,BCE
14,0.5988425612449646,,,,,8,VGG16,transfer,classify,BCE
16,0.5794300436973572,,,,,8,VGG16,transfer,classify,BCE
17,0.5649620890617371,,,,,8,VGG16,transfer,classify,BCE
18,0.5762784481048584,,,,,8,VGG16,transfer,classify,BCE
20,0.5460942387580872,,,,,8,VGG16,transfer,classify,BCE
22,0.502791702747345,,,,,8,VGG16,transfer,classify,BCE
23,0.5130112767219543,,,,,8,VGG16,transfer,classify,BCE
24,0.4953857362270355,,,,,8,VGG16,transfer,classify,BCE
25,0.4819725155830383,,,,,8,VGG16,transfer,classify,BCE
27,0.4733982980251312,,,,,8,VGG16,transfer,classify,BCE
29,0.4733195900917053,,,,,8,VGG16,transfer,classify,BCE
30,0.4534168839454651,,,,,8,VGG16,transfer,classify,BCE
31,0.4317137897014618,,,,,8,VGG16,transfer,classify,BCE
33,0.44535478949546814,,,,,8,VGG16,transfer,classify,BCE
37,0.42061105370521545,,,,,8,VGG16,transfer,classify,BCE
38,0.398257315158844,,,,,8,VGG16,transfer,classify,BCE
39,0.3994928300380707,,,,,8,VGG16,transfer,classify,BCE
40,0.3940336406230927,,,,,8,VGG16,transfer,classify,BCE
41,0.3777699172496796,,,,,8,VGG16,transfer,classify,BCE
43,0.36922341585159296,,,,,8,VGG16,transfer,classify,BCE
44,0.3632396757602692,,,,,8,VGG16,transfer,classify,BCE
45,0.33757883310317993,,,,,8,VGG16,transfer,classify,BCE
46,0.3321095407009125,,,,,8,VGG16,transfer,classify,BCE
47,0.33813080191612244,,,,,8,VGG16,transfer,classify,BCE
48,0.3367737829685211,,,,,8,VGG16,transfer,classify,BCE
50,0.30850979685783386,0.3281077444553375,0.0024467429611831908,0.21174032986164093,0.23943370580673215,8,VGG16,transfer,classify,BCE
51,0.3157051205635071,,,,,8,VGG16,transfer,classify,BCE
52,0.3009192645549774,,,,,8,VGG16,transfer,classify,BCE
53,0.30583086609840393,,,,,8,VGG16,transfer,classify,BCE
54,0.3106999695301056,,,,,8,VGG16,transfer,classify,BCE
55,0.30641794204711914,,,,,8,VGG16,transfer,classify,BCE
56,0.29212623834609985,,,,,8,VGG16,transfer,classify,BCE
57,0.3091350197792053,,,,,8,VGG16,transfer,classify,BCE
