step,loss/train,loss/val,f1/val,acc_largest/val,acc_random/val,replicate,net_name,method,mode,loss_func
3,2.9953529834747314,,,,,8,alexnet,initialize,classify,CE_largest
6,2.9997594356536865,,,,,8,alexnet,initialize,classify,CE_largest
8,2.9931087493896484,,,,,8,alexnet,initialize,classify,CE_largest
11,2.9925284385681152,,,,,8,alexnet,initialize,classify,CE_largest
16,2.9932339191436768,,,,,8,alexnet,initialize,classify,CE_largest
17,2.991692066192627,,,,,8,alexnet,initialize,classify,CE_largest
18,2.9854931831359863,,,,,8,alexnet,initialize,classify,CE_largest
22,2.9877610206604004,,,,,8,alexnet,initialize,classify,CE_largest
23,2.9866313934326167,,,,,8,alexnet,initialize,classify,CE_largest
24,2.983317852020264,,,,,8,alexnet,initialize,classify,CE_largest
29,2.9921112060546875,,,,,8,alexnet,initialize,classify,CE_largest
31,2.989649772644043,,,,,8,alexnet,initialize,classify,CE_largest
33,2.993486166000366,,,,,8,alexnet,initialize,classify,CE_largest
38,2.9837157726287837,,,,,8,alexnet,initialize,classify,CE_largest
40,2.992823362350464,,,,,8,alexnet,initialize,classify,CE_largest
43,2.9907867908477783,,,,,8,alexnet,initialize,classify,CE_largest
50,2.9771976470947266,2.9785056114196777,0.07183194160461426,0.2113950252532959,0.2290745824575424,8,alexnet,initialize,classify,CE_largest
52,2.985558032989502,,,,,8,alexnet,initialize,classify,CE_largest
53,2.995203733444214,,,,,8,alexnet,initialize,classify,CE_largest
57,2.9675698280334477,,,,,8,alexnet,initialize,classify,CE_largest
61,2.9836843013763428,,,,,8,alexnet,initialize,classify,CE_largest
64,2.97647762298584,,,,,8,alexnet,initialize,classify,CE_largest
67,2.9719412326812744,,,,,8,alexnet,initialize,classify,CE_largest
68,2.9705846309661865,,,,,8,alexnet,initialize,classify,CE_largest
69,2.9686384201049805,,,,,8,alexnet,initialize,classify,CE_largest
70,2.987820863723755,,,,,8,alexnet,initialize,classify,CE_largest
73,2.9540457725524902,,,,,8,alexnet,initialize,classify,CE_largest
79,2.969031810760498,,,,,8,alexnet,initialize,classify,CE_largest
82,2.9844269752502437,,,,,8,alexnet,initialize,classify,CE_largest
83,2.9336414337158203,,,,,8,alexnet,initialize,classify,CE_largest
85,3.0005106925964355,,,,,8,alexnet,initialize,classify,CE_largest
86,2.981017589569092,,,,,8,alexnet,initialize,classify,CE_largest
88,2.96350646018982,,,,,8,alexnet,initialize,classify,CE_largest
90,2.918076515197754,,,,,8,alexnet,initialize,classify,CE_largest
93,2.9697191715240483,,,,,8,alexnet,initialize,classify,CE_largest
95,2.9696378707885738,,,,,8,alexnet,initialize,classify,CE_largest
96,2.970020532608032,,,,,8,alexnet,initialize,classify,CE_largest
97,2.928555727005005,,,,,8,alexnet,initialize,classify,CE_largest
100,2.945886373519897,2.9585204124450684,0.06256727874279022,0.2113950252532959,0.24357734620571134,8,alexnet,initialize,classify,CE_largest
102,2.9650974273681636,,,,,8,alexnet,initialize,classify,CE_largest
104,2.9790477752685547,,,,,8,alexnet,initialize,classify,CE_largest
105,2.9544873237609863,,,,,8,alexnet,initialize,classify,CE_largest
107,2.9660215377807617,,,,,8,alexnet,initialize,classify,CE_largest
108,2.9509594440460205,,,,,8,alexnet,initialize,classify,CE_largest
112,2.937275648117065,,,,,8,alexnet,initialize,classify,CE_largest
117,2.96717381477356,,,,,8,alexnet,initialize,classify,CE_largest
119,3.0029413700103764,,,,,8,alexnet,initialize,classify,CE_largest
122,2.937727212905884,,,,,8,alexnet,initialize,classify,CE_largest
123,2.948348999023437,,,,,8,alexnet,initialize,classify,CE_largest
128,2.924631834030152,,,,,8,alexnet,initialize,classify,CE_largest
132,2.9863474369049072,,,,,8,alexnet,initialize,classify,CE_largest
133,2.9010229110717773,,,,,8,alexnet,initialize,classify,CE_largest
135,2.92531156539917,,,,,8,alexnet,initialize,classify,CE_largest
137,2.95438003540039,,,,,8,alexnet,initialize,classify,CE_largest
139,2.93542742729187,,,,,8,alexnet,initialize,classify,CE_largest
140,2.935998678207397,,,,,8,alexnet,initialize,classify,CE_largest
143,2.9406661987304688,,,,,8,alexnet,initialize,classify,CE_largest
146,2.9685056209564213,,,,,8,alexnet,initialize,classify,CE_largest
147,2.8771369457244877,,,,,8,alexnet,initialize,classify,CE_largest
150,2.888779640197754,2.938695192337036,0.06256727874279022,0.2113950252532959,0.2418508231639862,8,alexnet,initialize,classify,CE_largest
152,2.968491792678833,,,,,8,alexnet,initialize,classify,CE_largest
153,2.961290121078491,,,,,8,alexnet,initialize,classify,CE_largest
155,2.912437915802002,,,,,8,alexnet,initialize,classify,CE_largest
157,2.9398190975189213,,,,,8,alexnet,initialize,classify,CE_largest
161,2.9759268760681152,,,,,8,alexnet,initialize,classify,CE_largest
162,2.9144299030303955,,,,,8,alexnet,initialize,classify,CE_largest
166,2.9307029247283936,,,,,8,alexnet,initialize,classify,CE_largest
168,2.9079809188842773,,,,,8,alexnet,initialize,classify,CE_largest
172,2.903717517852783,,,,,8,alexnet,initialize,classify,CE_largest
176,2.937396049499512,,,,,8,alexnet,initialize,classify,CE_largest
189,2.9354898929595947,,,,,8,alexnet,initialize,classify,CE_largest
191,2.96531343460083,,,,,8,alexnet,initialize,classify,CE_largest
195,2.8780994415283203,,,,,8,alexnet,initialize,classify,CE_largest
198,2.855499267578125,,,,,8,alexnet,initialize,classify,CE_largest
199,2.9932129383087163,,,,,8,alexnet,initialize,classify,CE_largest
200,,2.918983697891236,0.06856222450733185,0.2113950252532959,0.2345994412899017,8,alexnet,initialize,classify,CE_largest
202,2.944196939468384,,,,,8,alexnet,initialize,classify,CE_largest
203,2.9121081829071045,,,,,8,alexnet,initialize,classify,CE_largest
204,2.9011197090148926,,,,,8,alexnet,initialize,classify,CE_largest
206,2.9840400218963623,,,,,8,alexnet,initialize,classify,CE_largest
207,2.9247930049896236,,,,,8,alexnet,initialize,classify,CE_largest
212,2.864187479019165,,,,,8,alexnet,initialize,classify,CE_largest
213,2.887935876846313,,,,,8,alexnet,initialize,classify,CE_largest
214,2.879213571548462,,,,,8,alexnet,initialize,classify,CE_largest
215,2.9241771697998047,,,,,8,alexnet,initialize,classify,CE_largest
217,2.8975815773010254,,,,,8,alexnet,initialize,classify,CE_largest
219,2.927962303161621,,,,,8,alexnet,initialize,classify,CE_largest
220,2.9085538387298584,,,,,8,alexnet,initialize,classify,CE_largest
221,2.880866050720215,,,,,8,alexnet,initialize,classify,CE_largest
222,2.9527804851531982,,,,,8,alexnet,initialize,classify,CE_largest
