step,loss/train,loss/val,f1/val,acc_largest/val,acc_random/val,replicate,net_name,method,mode,loss_func
1,0.709003746509552,,,,,8,alexnet,transfer,classify,BCE
3,0.6866022944450378,,,,,8,alexnet,transfer,classify,BCE
4,0.6742326617240906,,,,,8,alexnet,transfer,classify,BCE
6,0.583748996257782,,,,,8,alexnet,transfer,classify,BCE
8,0.5563117265701294,,,,,8,alexnet,transfer,classify,BCE
9,0.4834945797920227,,,,,8,alexnet,transfer,classify,BCE
11,0.4145204722881317,,,,,8,alexnet,transfer,classify,BCE
14,0.3587731420993805,,,,,8,alexnet,transfer,classify,BCE
16,0.3249710500240326,,,,,8,alexnet,transfer,classify,BCE
17,0.3405677080154419,,,,,8,alexnet,transfer,classify,BCE
18,0.2975967824459076,,,,,8,alexnet,transfer,classify,BCE
20,0.27855947613716125,,,,,8,alexnet,transfer,classify,BCE
22,0.24251580238342285,,,,,8,alexnet,transfer,classify,BCE
23,0.2902449667453766,,,,,8,alexnet,transfer,classify,BCE
24,0.2612667381763458,,,,,8,alexnet,transfer,classify,BCE
25,0.2788759171962738,,,,,8,alexnet,transfer,classify,BCE
27,0.2495114356279373,,,,,8,alexnet,transfer,classify,BCE
29,0.2754639089107513,,,,,8,alexnet,transfer,classify,BCE
30,0.287198930978775,,,,,8,alexnet,transfer,classify,BCE
31,0.26542305946350103,,,,,8,alexnet,transfer,classify,BCE
33,0.28685125708580017,,,,,8,alexnet,transfer,classify,BCE
37,0.2552426755428314,,,,,8,alexnet,transfer,classify,BCE
38,0.2381335347890854,,,,,8,alexnet,transfer,classify,BCE
39,0.2632151246070862,,,,,8,alexnet,transfer,classify,BCE
40,0.27568432688713074,,,,,8,alexnet,transfer,classify,BCE
41,0.23553620278835294,,,,,8,alexnet,transfer,classify,BCE
43,0.2557452917098999,,,,,8,alexnet,transfer,classify,BCE
44,0.2563857138156891,,,,,8,alexnet,transfer,classify,BCE
45,0.3095515370368957,,,,,8,alexnet,transfer,classify,BCE
46,0.284027636051178,,,,,8,alexnet,transfer,classify,BCE
47,0.2616806030273437,,,,,8,alexnet,transfer,classify,BCE
48,0.31483015418052673,,,,,8,alexnet,transfer,classify,BCE
50,0.2545646131038666,0.24462835490703586,0.017496915534138683,0.21104972064495087,0.2372928112745285,8,alexnet,transfer,classify,BCE
51,0.20700350403785706,,,,,8,alexnet,transfer,classify,BCE
52,0.2689957320690155,,,,,8,alexnet,transfer,classify,BCE
53,0.2503576874732971,,,,,8,alexnet,transfer,classify,BCE
54,0.2407722771167755,,,,,8,alexnet,transfer,classify,BCE
55,0.2553940713405609,,,,,8,alexnet,transfer,classify,BCE
56,0.2184274643659592,,,,,8,alexnet,transfer,classify,BCE
57,0.2670263946056366,,,,,8,alexnet,transfer,classify,BCE
61,0.20772992074489596,,,,,8,alexnet,transfer,classify,BCE
62,0.26839789748191833,,,,,8,alexnet,transfer,classify,BCE
63,0.2296021282672882,,,,,8,alexnet,transfer,classify,BCE
64,0.2528203129768372,,,,,8,alexnet,transfer,classify,BCE
66,0.2925736606121063,,,,,8,alexnet,transfer,classify,BCE
67,0.2449399083852768,,,,,8,alexnet,transfer,classify,BCE
68,0.21542397141456604,,,,,8,alexnet,transfer,classify,BCE
69,0.2252059429883957,,,,,8,alexnet,transfer,classify,BCE
70,0.2342837154865265,,,,,8,alexnet,transfer,classify,BCE
72,0.22632598876953125,,,,,8,alexnet,transfer,classify,BCE
73,0.2499491274356842,,,,,8,alexnet,transfer,classify,BCE
75,0.24415794014930725,,,,,8,alexnet,transfer,classify,BCE
77,0.2202775925397873,,,,,8,alexnet,transfer,classify,BCE
78,0.2919754683971405,,,,,8,alexnet,transfer,classify,BCE
79,0.266489714384079,,,,,8,alexnet,transfer,classify,BCE
81,0.2394426912069321,,,,,8,alexnet,transfer,classify,BCE
82,0.2447609007358551,,,,,8,alexnet,transfer,classify,BCE
83,0.2480465471744537,,,,,8,alexnet,transfer,classify,BCE
84,0.2254211008548737,,,,,8,alexnet,transfer,classify,BCE
85,0.2566108703613281,,,,,8,alexnet,transfer,classify,BCE
86,0.3010945022106171,,,,,8,alexnet,transfer,classify,BCE
88,0.23481884598731995,,,,,8,alexnet,transfer,classify,BCE
90,0.2487073689699173,,,,,8,alexnet,transfer,classify,BCE
91,0.2705646157264709,,,,,8,alexnet,transfer,classify,BCE
93,0.2144509106874466,,,,,8,alexnet,transfer,classify,BCE
95,0.22054509818553925,,,,,8,alexnet,transfer,classify,BCE
96,0.21977053582668304,,,,,8,alexnet,transfer,classify,BCE
97,0.25912418961524963,,,,,8,alexnet,transfer,classify,BCE
99,0.2685074508190155,,,,,8,alexnet,transfer,classify,BCE
100,0.2314461469650269,0.2294748574495316,0.02703539654612541,0.24972376227378845,0.2857044339179993,8,alexnet,transfer,classify,BCE
101,0.2272492200136185,,,,,8,alexnet,transfer,classify,BCE
102,0.2287596315145493,,,,,8,alexnet,transfer,classify,BCE
104,0.20076151192188266,,,,,8,alexnet,transfer,classify,BCE
105,0.21453428268432614,,,,,8,alexnet,transfer,classify,BCE
106,0.258767306804657,,,,,8,alexnet,transfer,classify,BCE
107,0.2269560843706131,,,,,8,alexnet,transfer,classify,BCE
108,0.2482947409152985,,,,,8,alexnet,transfer,classify,BCE
110,0.2675806581974029,,,,,8,alexnet,transfer,classify,BCE
112,0.22715044021606445,,,,,8,alexnet,transfer,classify,BCE
113,0.23470483720302585,,,,,8,alexnet,transfer,classify,BCE
114,0.2618748247623444,,,,,8,alexnet,transfer,classify,BCE
116,0.21099455654621124,,,,,8,alexnet,transfer,classify,BCE
117,0.26477184891700745,,,,,8,alexnet,transfer,classify,BCE
119,0.20756474137306213,,,,,8,alexnet,transfer,classify,BCE
120,0.27824583649635315,,,,,8,alexnet,transfer,classify,BCE
121,0.2580239772796631,,,,,8,alexnet,transfer,classify,BCE
122,0.2450403720140457,,,,,8,alexnet,transfer,classify,BCE
123,0.26072946190834045,,,,,8,alexnet,transfer,classify,BCE
124,0.2839474976062775,,,,,8,alexnet,transfer,classify,BCE
126,0.19505663216114044,,,,,8,alexnet,transfer,classify,BCE
128,0.23219656944274905,,,,,8,alexnet,transfer,classify,BCE
129,0.2460307329893112,,,,,8,alexnet,transfer,classify,BCE
131,0.25509247183799744,,,,,8,alexnet,transfer,classify,BCE
132,0.1869145929813385,,,,,8,alexnet,transfer,classify,BCE
133,0.23634405434131625,,,,,8,alexnet,transfer,classify,BCE
135,0.2219384163618088,,,,,8,alexnet,transfer,classify,BCE
136,0.2046254724264145,,,,,8,alexnet,transfer,classify,BCE
137,0.22999440133571625,,,,,8,alexnet,transfer,classify,BCE
139,0.1800498217344284,,,,,8,alexnet,transfer,classify,BCE
140,0.24822750687599185,,,,,8,alexnet,transfer,classify,BCE
141,0.1844971626996994,,,,,8,alexnet,transfer,classify,BCE
143,0.2840470671653748,,,,,8,alexnet,transfer,classify,BCE
145,0.2191657274961472,,,,,8,alexnet,transfer,classify,BCE
146,0.214914470911026,,,,,8,alexnet,transfer,classify,BCE
147,0.20569907128810885,,,,,8,alexnet,transfer,classify,BCE
149,0.21731261909008026,,,,,8,alexnet,transfer,classify,BCE
150,0.22268222272396088,0.2191704213619232,0.029781239107251167,0.27872928977012634,0.299861878156662,8,alexnet,transfer,classify,BCE
152,0.197605773806572,,,,,8,alexnet,transfer,classify,BCE
