net_name,net_number,stimulus,set_size_1_acc,set_size_8_acc,set_size_1_err,set_size_effect,set_size_1_err_plus_effect
alexnet,1,RVvGV,100.0,100.0,0.0,0.0,0.0
alexnet,1,RVvRHGV,100.0,100.0,0.0,0.0,0.0
alexnet,1,PWVvCV,100.0,100.0,0.0,0.0,0.0
alexnet,1,PWVvPWHCV,100.0,100.0,0.0,0.0,0.0
alexnet,1,2_v_5,100.0,100.0,0.0,0.0,0.0
alexnet,1,YT_v_BTYL,100.0,100.0,0.0,0.0,0.0
alexnet,1,YT_v_BTBL,100.0,100.0,0.0,0.0,0.0
alexnet,1,Bx_v_RxBo,100.0,100.0,0.0,0.0,0.0
alexnet,1,Bx_v_RxRo,100.0,100.0,0.0,0.0,0.0
alexnet,1,TvT,100.0,100.0,0.0,0.0,0.0
alexnet,2,RVvGV,100.0,100.0,0.0,0.0,0.0
alexnet,2,RVvRHGV,100.0,100.0,0.0,0.0,0.0
alexnet,2,PWVvCV,100.0,100.0,0.0,0.0,0.0
alexnet,2,PWVvPWHCV,100.0,100.0,0.0,0.0,0.0
alexnet,2,2_v_5,100.0,99.375,0.0,0.625,0.625
alexnet,2,YT_v_BTYL,100.0,100.0,0.0,0.0,0.0
alexnet,2,YT_v_BTBL,100.0,100.0,0.0,0.0,0.0
alexnet,2,Bx_v_RxBo,100.0,100.0,0.0,0.0,0.0
alexnet,2,Bx_v_RxRo,100.0,100.0,0.0,0.0,0.0
alexnet,2,TvT,100.0,100.0,0.0,0.0,0.0
alexnet,3,RVvGV,51.87500000000001,50.625,48.12499999999999,1.250000000000007,49.375
alexnet,3,RVvRHGV,53.75,53.125,46.25,0.625,46.875
alexnet,3,PWVvCV,54.37499999999999,50.625,45.62500000000001,3.749999999999993,49.375
alexnet,3,PWVvPWHCV,50.0,50.625,50.0,-0.625,49.375
alexnet,3,2_v_5,48.75,50.0,51.25,-1.25,50.0
alexnet,3,YT_v_BTYL,64.375,48.75,35.625,15.625,51.25
alexnet,3,YT_v_BTBL,58.75,51.87500000000001,41.25,6.874999999999993,48.12499999999999
alexnet,3,Bx_v_RxBo,46.875,50.0,53.125,-3.125,50.0
alexnet,3,Bx_v_RxRo,50.0,49.375,50.0,0.625,50.625
alexnet,3,TvT,54.37499999999999,50.0,45.62500000000001,4.374999999999993,50.0
alexnet,4,RVvGV,100.0,100.0,0.0,0.0,0.0
alexnet,4,RVvRHGV,100.0,100.0,0.0,0.0,0.0
alexnet,4,PWVvCV,100.0,100.0,0.0,0.0,0.0
alexnet,4,PWVvPWHCV,100.0,100.0,0.0,0.0,0.0
alexnet,4,2_v_5,100.0,100.0,0.0,0.0,0.0
alexnet,4,YT_v_BTYL,100.0,100.0,0.0,0.0,0.0
alexnet,4,YT_v_BTBL,100.0,100.0,0.0,0.0,0.0
alexnet,4,Bx_v_RxBo,100.0,100.0,0.0,0.0,0.0
alexnet,4,Bx_v_RxRo,100.0,100.0,0.0,0.0,0.0
alexnet,4,TvT,100.0,100.0,0.0,0.0,0.0
alexnet,5,RVvGV,100.0,100.0,0.0,0.0,0.0
alexnet,5,RVvRHGV,100.0,100.0,0.0,0.0,0.0
alexnet,5,PWVvCV,100.0,100.0,0.0,0.0,0.0
alexnet,5,PWVvPWHCV,100.0,100.0,0.0,0.0,0.0
alexnet,5,2_v_5,100.0,100.0,0.0,0.0,0.0
alexnet,5,YT_v_BTYL,100.0,100.0,0.0,0.0,0.0
alexnet,5,YT_v_BTBL,100.0,100.0,0.0,0.0,0.0
alexnet,5,Bx_v_RxBo,100.0,100.0,0.0,0.0,0.0
alexnet,5,Bx_v_RxRo,100.0,100.0,0.0,0.0,0.0
alexnet,5,TvT,100.0,100.0,0.0,0.0,0.0
alexnet,6,RVvGV,100.0,100.0,0.0,0.0,0.0
alexnet,6,RVvRHGV,100.0,100.0,0.0,0.0,0.0
alexnet,6,PWVvCV,100.0,100.0,0.0,0.0,0.0
alexnet,6,PWVvPWHCV,100.0,100.0,0.0,0.0,0.0
alexnet,6,2_v_5,100.0,100.0,0.0,0.0,0.0
alexnet,6,YT_v_BTYL,100.0,100.0,0.0,0.0,0.0
alexnet,6,YT_v_BTBL,100.0,100.0,0.0,0.0,0.0
alexnet,6,Bx_v_RxBo,100.0,100.0,0.0,0.0,0.0
alexnet,6,Bx_v_RxRo,100.0,100.0,0.0,0.0,0.0
alexnet,6,TvT,100.0,100.0,0.0,0.0,0.0
alexnet,7,RVvGV,100.0,100.0,0.0,0.0,0.0
alexnet,7,RVvRHGV,100.0,100.0,0.0,0.0,0.0
alexnet,7,PWVvCV,100.0,100.0,0.0,0.0,0.0
alexnet,7,PWVvPWHCV,100.0,100.0,0.0,0.0,0.0
alexnet,7,2_v_5,100.0,100.0,0.0,0.0,0.0
alexnet,7,YT_v_BTYL,100.0,100.0,0.0,0.0,0.0
alexnet,7,YT_v_BTBL,100.0,100.0,0.0,0.0,0.0
alexnet,7,Bx_v_RxBo,100.0,100.0,0.0,0.0,0.0
alexnet,7,Bx_v_RxRo,100.0,100.0,0.0,0.0,0.0
alexnet,7,TvT,100.0,100.0,0.0,0.0,0.0
alexnet,8,RVvGV,100.0,100.0,0.0,0.0,0.0
alexnet,8,RVvRHGV,100.0,100.0,0.0,0.0,0.0
alexnet,8,PWVvCV,100.0,100.0,0.0,0.0,0.0
alexnet,8,PWVvPWHCV,100.0,100.0,0.0,0.0,0.0
alexnet,8,2_v_5,100.0,100.0,0.0,0.0,0.0
alexnet,8,YT_v_BTYL,100.0,100.0,0.0,0.0,0.0
alexnet,8,YT_v_BTBL,100.0,100.0,0.0,0.0,0.0
alexnet,8,Bx_v_RxBo,100.0,100.0,0.0,0.0,0.0
alexnet,8,Bx_v_RxRo,100.0,100.0,0.0,0.0,0.0
alexnet,8,TvT,100.0,100.0,0.0,0.0,0.0
VGG16,1,RVvGV,100.0,100.0,0.0,0.0,0.0
VGG16,1,RVvRHGV,100.0,100.0,0.0,0.0,0.0
VGG16,1,PWVvCV,100.0,100.0,0.0,0.0,0.0
VGG16,1,PWVvPWHCV,100.0,100.0,0.0,0.0,0.0
VGG16,1,2_v_5,100.0,100.0,0.0,0.0,0.0
VGG16,1,YT_v_BTYL,100.0,100.0,0.0,0.0,0.0
VGG16,1,YT_v_BTBL,100.0,100.0,0.0,0.0,0.0
VGG16,1,Bx_v_RxBo,50.0,50.0,50.0,0.0,50.0
VGG16,1,Bx_v_RxRo,50.0,50.0,50.0,0.0,50.0
VGG16,1,TvT,100.0,100.0,0.0,0.0,0.0
VGG16,2,RVvGV,100.0,100.0,0.0,0.0,0.0
VGG16,2,RVvRHGV,100.0,100.0,0.0,0.0,0.0
VGG16,2,PWVvCV,100.0,100.0,0.0,0.0,0.0
VGG16,2,PWVvPWHCV,100.0,100.0,0.0,0.0,0.0
VGG16,2,2_v_5,100.0,99.375,0.0,0.625,0.625
VGG16,2,YT_v_BTYL,100.0,100.0,0.0,0.0,0.0
VGG16,2,YT_v_BTBL,100.0,100.0,0.0,0.0,0.0
VGG16,2,Bx_v_RxBo,50.0,50.0,50.0,0.0,50.0
VGG16,2,Bx_v_RxRo,50.0,50.0,50.0,0.0,50.0
VGG16,2,TvT,100.0,100.0,0.0,0.0,0.0
VGG16,3,RVvGV,100.0,100.0,0.0,0.0,0.0
VGG16,3,RVvRHGV,100.0,100.0,0.0,0.0,0.0
VGG16,3,PWVvCV,100.0,100.0,0.0,0.0,0.0
VGG16,3,PWVvPWHCV,100.0,100.0,0.0,0.0,0.0
VGG16,3,2_v_5,100.0,100.0,0.0,0.0,0.0
VGG16,3,YT_v_BTYL,100.0,100.0,0.0,0.0,0.0
VGG16,3,YT_v_BTBL,100.0,100.0,0.0,0.0,0.0
VGG16,3,Bx_v_RxBo,100.0,100.0,0.0,0.0,0.0
VGG16,3,Bx_v_RxRo,100.0,100.0,0.0,0.0,0.0
VGG16,3,TvT,100.0,100.0,0.0,0.0,0.0
VGG16,4,RVvGV,100.0,100.0,0.0,0.0,0.0
VGG16,4,RVvRHGV,100.0,100.0,0.0,0.0,0.0
VGG16,4,PWVvCV,100.0,100.0,0.0,0.0,0.0
VGG16,4,PWVvPWHCV,100.0,100.0,0.0,0.0,0.0
VGG16,4,2_v_5,100.0,100.0,0.0,0.0,0.0
VGG16,4,YT_v_BTYL,100.0,100.0,0.0,0.0,0.0
VGG16,4,YT_v_BTBL,100.0,100.0,0.0,0.0,0.0
VGG16,4,Bx_v_RxBo,100.0,100.0,0.0,0.0,0.0
VGG16,4,Bx_v_RxRo,100.0,100.0,0.0,0.0,0.0
VGG16,4,TvT,100.0,100.0,0.0,0.0,0.0
VGG16,5,RVvGV,100.0,100.0,0.0,0.0,0.0
VGG16,5,RVvRHGV,100.0,100.0,0.0,0.0,0.0
VGG16,5,PWVvCV,100.0,100.0,0.0,0.0,0.0
VGG16,5,PWVvPWHCV,100.0,100.0,0.0,0.0,0.0
VGG16,5,2_v_5,100.0,100.0,0.0,0.0,0.0
VGG16,5,YT_v_BTYL,100.0,100.0,0.0,0.0,0.0
VGG16,5,YT_v_BTBL,100.0,100.0,0.0,0.0,0.0
VGG16,5,Bx_v_RxBo,71.875,50.0,28.125,21.875,50.0
VGG16,5,Bx_v_RxRo,99.375,50.0,0.625,49.375,50.0
VGG16,5,TvT,100.0,100.0,0.0,0.0,0.0
VGG16,6,RVvGV,100.0,100.0,0.0,0.0,0.0
VGG16,6,RVvRHGV,100.0,100.0,0.0,0.0,0.0
VGG16,6,PWVvCV,100.0,100.0,0.0,0.0,0.0
VGG16,6,PWVvPWHCV,100.0,100.0,0.0,0.0,0.0
VGG16,6,2_v_5,100.0,100.0,0.0,0.0,0.0
VGG16,6,YT_v_BTYL,100.0,100.0,0.0,0.0,0.0
VGG16,6,YT_v_BTBL,100.0,100.0,0.0,0.0,0.0
VGG16,6,Bx_v_RxBo,100.0,100.0,0.0,0.0,0.0
VGG16,6,Bx_v_RxRo,100.0,100.0,0.0,0.0,0.0
VGG16,6,TvT,100.0,100.0,0.0,0.0,0.0
VGG16,7,RVvGV,100.0,100.0,0.0,0.0,0.0
VGG16,7,RVvRHGV,100.0,100.0,0.0,0.0,0.0
VGG16,7,PWVvCV,100.0,100.0,0.0,0.0,0.0
VGG16,7,PWVvPWHCV,100.0,100.0,0.0,0.0,0.0
VGG16,7,2_v_5,100.0,100.0,0.0,0.0,0.0
VGG16,7,YT_v_BTYL,100.0,100.0,0.0,0.0,0.0
VGG16,7,YT_v_BTBL,100.0,100.0,0.0,0.0,0.0
VGG16,7,Bx_v_RxBo,70.625,50.0,29.375,20.625,50.0
VGG16,7,Bx_v_RxRo,89.375,50.625,10.625,38.75,49.375
VGG16,7,TvT,100.0,100.0,0.0,0.0,0.0
VGG16,8,RVvGV,100.0,100.0,0.0,0.0,0.0
VGG16,8,RVvRHGV,100.0,100.0,0.0,0.0,0.0
VGG16,8,PWVvCV,100.0,100.0,0.0,0.0,0.0
VGG16,8,PWVvPWHCV,100.0,100.0,0.0,0.0,0.0
VGG16,8,2_v_5,100.0,100.0,0.0,0.0,0.0
VGG16,8,YT_v_BTYL,100.0,100.0,0.0,0.0,0.0
VGG16,8,YT_v_BTBL,100.0,100.0,0.0,0.0,0.0
VGG16,8,Bx_v_RxBo,100.0,100.0,0.0,0.0,0.0
VGG16,8,Bx_v_RxRo,100.0,100.0,0.0,0.0,0.0
VGG16,8,TvT,100.0,100.0,0.0,0.0,0.0
CORnet_Z,1,RVvGV,100.0,100.0,0.0,0.0,0.0
CORnet_Z,1,RVvRHGV,100.0,100.0,0.0,0.0,0.0
CORnet_Z,1,PWVvCV,100.0,100.0,0.0,0.0,0.0
CORnet_Z,1,PWVvPWHCV,100.0,100.0,0.0,0.0,0.0
CORnet_Z,1,2_v_5,100.0,99.375,0.0,0.625,0.625
CORnet_Z,1,YT_v_BTYL,100.0,100.0,0.0,0.0,0.0
CORnet_Z,1,YT_v_BTBL,100.0,100.0,0.0,0.0,0.0
CORnet_Z,1,Bx_v_RxBo,100.0,100.0,0.0,0.0,0.0
CORnet_Z,1,Bx_v_RxRo,100.0,100.0,0.0,0.0,0.0
CORnet_Z,1,TvT,100.0,100.0,0.0,0.0,0.0
CORnet_Z,2,RVvGV,100.0,100.0,0.0,0.0,0.0
CORnet_Z,2,RVvRHGV,100.0,100.0,0.0,0.0,0.0
CORnet_Z,2,PWVvCV,100.0,100.0,0.0,0.0,0.0
CORnet_Z,2,PWVvPWHCV,100.0,100.0,0.0,0.0,0.0
CORnet_Z,2,2_v_5,100.0,100.0,0.0,0.0,0.0
CORnet_Z,2,YT_v_BTYL,100.0,100.0,0.0,0.0,0.0
CORnet_Z,2,YT_v_BTBL,100.0,100.0,0.0,0.0,0.0
CORnet_Z,2,Bx_v_RxBo,100.0,100.0,0.0,0.0,0.0
CORnet_Z,2,Bx_v_RxRo,100.0,100.0,0.0,0.0,0.0
CORnet_Z,2,TvT,100.0,100.0,0.0,0.0,0.0
CORnet_Z,3,RVvGV,100.0,100.0,0.0,0.0,0.0
CORnet_Z,3,RVvRHGV,100.0,100.0,0.0,0.0,0.0
CORnet_Z,3,PWVvCV,100.0,100.0,0.0,0.0,0.0
CORnet_Z,3,PWVvPWHCV,100.0,100.0,0.0,0.0,0.0
CORnet_Z,3,2_v_5,100.0,100.0,0.0,0.0,0.0
CORnet_Z,3,YT_v_BTYL,100.0,100.0,0.0,0.0,0.0
CORnet_Z,3,YT_v_BTBL,100.0,100.0,0.0,0.0,0.0
CORnet_Z,3,Bx_v_RxBo,100.0,100.0,0.0,0.0,0.0
