net_name,net_number,stimulus,set_size_1_acc,set_size_8_acc,set_size_1_err,set_size_effect,set_size_1_err_plus_effect
alexnet,1,RVvGV,100.0,98.125,0.0,1.875,1.875
alexnet,1,RVvRHGV,100.0,78.75,0.0,21.25,21.25
alexnet,1,PWVvCV,99.375,65.625,0.625,33.75,34.375
alexnet,1,PWVvPWHCV,99.375,62.5,0.625,36.875,37.5
alexnet,1,2_v_5,65.625,56.875,34.375,8.75,43.125
alexnet,1,YT_v_BTYL,95.625,73.75,4.375,21.875,26.25
alexnet,1,YT_v_BTBL,100.0,98.75,0.0,1.25,1.25
alexnet,1,Bx_v_RxBo,100.0,89.375,0.0,10.625,10.625
alexnet,1,Bx_v_RxRo,100.0,98.75,0.0,1.25,1.25
alexnet,1,TvT,99.375,65.0,0.625,34.375,35.0
alexnet,2,RVvGV,100.0,92.5,0.0,7.5,7.5
alexnet,2,RVvRHGV,100.0,74.375,0.0,25.625,25.625
alexnet,2,PWVvCV,99.375,58.75,0.625,40.625,41.25
alexnet,2,PWVvPWHCV,98.75,63.125,1.25,35.625,36.875
alexnet,2,2_v_5,74.375,61.25000000000001,25.625,13.124999999999993,38.74999999999999
alexnet,2,YT_v_BTYL,95.0,66.25,5.0,28.75,33.75
alexnet,2,YT_v_BTBL,100.0,98.75,0.0,1.25,1.25
alexnet,2,Bx_v_RxBo,100.0,94.375,0.0,5.625,5.625
alexnet,2,Bx_v_RxRo,100.0,99.375,0.0,0.625,0.625
alexnet,2,TvT,98.125,65.0,1.875,33.125,35.0
alexnet,3,RVvGV,100.0,91.875,0.0,8.125,8.125
alexnet,3,RVvRHGV,100.0,74.375,0.0,25.625,25.625
alexnet,3,PWVvCV,100.0,63.125,0.0,36.875,36.875
alexnet,3,PWVvPWHCV,100.0,64.375,0.0,35.625,35.625
alexnet,3,2_v_5,70.0,62.5,30.0,7.5,37.5
alexnet,3,YT_v_BTYL,95.625,70.0,4.375,25.625,30.0
alexnet,3,YT_v_BTBL,100.0,96.25,0.0,3.75,3.75
alexnet,3,Bx_v_RxBo,100.0,91.25,0.0,8.75,8.75
alexnet,3,Bx_v_RxRo,100.0,98.125,0.0,1.875,1.875
alexnet,3,TvT,99.375,54.37499999999999,0.625,45.00000000000001,45.62500000000001
alexnet,4,RVvGV,100.0,93.75,0.0,6.25,6.25
alexnet,4,RVvRHGV,100.0,79.375,0.0,20.625,20.625
alexnet,4,PWVvCV,99.375,66.25,0.625,33.125,33.75
alexnet,4,PWVvPWHCV,99.375,65.625,0.625,33.75,34.375
alexnet,4,2_v_5,76.875,56.25,23.125,20.625,43.75
alexnet,4,YT_v_BTYL,94.375,71.25,5.625,23.125,28.75
alexnet,4,YT_v_BTBL,100.0,98.125,0.0,1.875,1.875
alexnet,4,Bx_v_RxBo,100.0,90.0,0.0,10.0,10.0
alexnet,4,Bx_v_RxRo,100.0,98.125,0.0,1.875,1.875
alexnet,4,TvT,100.0,65.0,0.0,35.0,35.0
alexnet,5,RVvGV,100.0,97.5,0.0,2.5,2.5
alexnet,5,RVvRHGV,100.0,82.5,0.0,17.5,17.5
alexnet,5,PWVvCV,99.375,65.625,0.625,33.75,34.375
alexnet,5,PWVvPWHCV,98.125,61.875,1.875,36.25,38.125
alexnet,5,2_v_5,75.625,55.625,24.375,20.0,44.375
alexnet,5,YT_v_BTYL,93.125,68.125,6.875,25.0,31.875
alexnet,5,YT_v_BTBL,100.0,96.25,0.0,3.75,3.75
alexnet,5,Bx_v_RxBo,100.0,95.0,0.0,5.0,5.0
alexnet,5,Bx_v_RxRo,100.0,98.75,0.0,1.25,1.25
alexnet,5,TvT,100.0,64.375,0.0,35.625,35.625
alexnet,6,RVvGV,100.0,95.625,0.0,4.375,4.375
alexnet,6,RVvRHGV,100.0,76.25,0.0,23.75,23.75
alexnet,6,PWVvCV,96.875,68.75,3.125,28.125,31.25
