net_name,stimulus,set_size_1_acc,set_size_8_acc,acc_diff
VGG16,2_v_5,0.83828125,0.51171875,0.3265625
VGG16,Bx_v_RxBo,1.0,0.83984375,0.16015625
VGG16,Bx_v_RxRo,1.0,0.89453125,0.10546875
VGG16,PWVvCV,1.0,0.7546875000000001,0.24531249999999993
VGG16,PWVvPWHCV,1.0,0.765625,0.234375
VGG16,RVvGV,1.0,0.9539062500000001,0.04609374999999993
VGG16,RVvRHGV,1.0,0.92421875,0.07578125000000002
VGG16,TvT,1.0,0.8937499999999999,0.10625000000000007
VGG16,YT_v_BTBL,1.0,0.9617187500000001,0.03828124999999993
VGG16,YT_v_BTYL,1.0,0.7734375,0.2265625
alexnet,2_v_5,0.7546875000000001,0.52890625,0.22578125000000004
alexnet,Bx_v_RxBo,0.99765625,0.74375,0.25390625
alexnet,Bx_v_RxRo,1.0,0.92421875,0.07578125000000002
alexnet,PWVvCV,0.99765625,0.69765625,0.30000000000000004
alexnet,PWVvPWHCV,1.0,0.646875,0.353125
alexnet,RVvGV,1.0,0.9070312500000001,0.09296874999999993
alexnet,RVvRHGV,1.0,0.87734375,0.12265625000000002
alexnet,TvT,0.9984375,0.634375,0.36406249999999996
alexnet,YT_v_BTBL,1.0,0.9859375,0.014062499999999978
alexnet,YT_v_BTYL,0.9671875,0.6484375,0.31875
