net_name,method,mode,learning_rate,net_number,stimulus,set_size,target_condition,accuracy,hit_rate,false_alarm_rate,d_prime
alexnet,transfer,classify,0.001,1,RVvGV,1,present,0.3625,,,
alexnet,transfer,classify,0.001,1,RVvGV,2,present,0.8375,,,
alexnet,transfer,classify,0.001,1,RVvGV,4,present,1.0,,,
alexnet,transfer,classify,0.001,1,RVvGV,8,present,1.0,,,
alexnet,transfer,classify,0.001,1,RVvGV,1,absent,1.0,,,
alexnet,transfer,classify,0.001,1,RVvGV,2,absent,0.6,,,
alexnet,transfer,classify,0.001,1,RVvGV,4,absent,0.0125,,,
alexnet,transfer,classify,0.001,1,RVvGV,8,absent,0.0,,,
alexnet,transfer,classify,0.001,1,RVvGV,1,both,0.68125,,,
alexnet,transfer,classify,0.001,1,RVvGV,2,both,0.71875,,,
alexnet,transfer,classify,0.001,1,RVvGV,4,both,0.50625,,,
alexnet,transfer,classify,0.001,1,RVvGV,8,both,0.5,,,
alexnet,transfer,classify,0.001,1,RVvRHGV,1,present,0.35,,,
alexnet,transfer,classify,0.001,1,RVvRHGV,2,present,0.825,,,
alexnet,transfer,classify,0.001,1,RVvRHGV,4,present,1.0,,,
alexnet,transfer,classify,0.001,1,RVvRHGV,8,present,1.0,,,
alexnet,transfer,classify,0.001,1,RVvRHGV,1,absent,0.8,,,
alexnet,transfer,classify,0.001,1,RVvRHGV,2,absent,0.3625,,,
alexnet,transfer,classify,0.001,1,RVvRHGV,4,absent,0.0,,,
alexnet,transfer,classify,0.001,1,RVvRHGV,8,absent,0.0,,,
alexnet,transfer,classify,0.001,1,RVvRHGV,1,both,0.575,,,
alexnet,transfer,classify,0.001,1,RVvRHGV,2,both,0.59375,,,
alexnet,transfer,classify,0.001,1,RVvRHGV,4,both,0.5,,,
alexnet,transfer,classify,0.001,1,RVvRHGV,8,both,0.5,,,
alexnet,transfer,classify,0.001,1,PWVvCV,1,present,0.7625,,,
alexnet,transfer,classify,0.001,1,PWVvCV,2,present,1.0,,,
alexnet,transfer,classify,0.001,1,PWVvCV,4,present,1.0,,,
alexnet,transfer,classify,0.001,1,PWVvCV,8,present,1.0,,,
alexnet,transfer,classify,0.001,1,PWVvCV,1,absent,0.3125,,,
alexnet,transfer,classify,0.001,1,PWVvCV,2,absent,0.025,,,
alexnet,transfer,classify,0.001,1,PWVvCV,4,absent,0.0,,,
alexnet,transfer,classify,0.001,1,PWVvCV,8,absent,0.0,,,
alexnet,transfer,classify,0.001,1,PWVvCV,1,both,0.5375,,,
alexnet,transfer,classify,0.001,1,PWVvCV,2,both,0.5125,,,
alexnet,transfer,classify,0.001,1,PWVvCV,4,both,0.5,,,
alexnet,transfer,classify,0.001,1,PWVvCV,8,both,0.5,,,
alexnet,transfer,classify,0.001,1,PWVvPWHCV,1,present,0.6875,,,
alexnet,transfer,classify,0.001,1,PWVvPWHCV,2,present,1.0,,,
alexnet,transfer,classify,0.001,1,PWVvPWHCV,4,present,1.0,,,
alexnet,transfer,classify,0.001,1,PWVvPWHCV,8,present,1.0,,,
alexnet,transfer,classify,0.001,1,PWVvPWHCV,1,absent,0.3625,,,
alexnet,transfer,classify,0.001,1,PWVvPWHCV,2,absent,0.0,,,
alexnet,transfer,classify,0.001,1,PWVvPWHCV,4,absent,0.0,,,
alexnet,transfer,classify,0.001,1,PWVvPWHCV,8,absent,0.0,,,
alexnet,transfer,classify,0.001,1,PWVvPWHCV,1,both,0.525,,,
alexnet,transfer,classify,0.001,1,PWVvPWHCV,2,both,0.5,,,
alexnet,transfer,classify,0.001,1,PWVvPWHCV,4,both,0.5,,,
alexnet,transfer,classify,0.001,1,PWVvPWHCV,8,both,0.5,,,
alexnet,transfer,classify,0.001,1,2_v_5,1,present,0.925,,,
alexnet,transfer,classify,0.001,1,2_v_5,2,present,1.0,,,
alexnet,transfer,classify,0.001,1,2_v_5,4,present,1.0,,,
alexnet,transfer,classify,0.001,1,2_v_5,8,present,1.0,,,
alexnet,transfer,classify,0.001,1,2_v_5,1,absent,0.05,,,
alexnet,transfer,classify,0.001,1,2_v_5,2,absent,0.0,,,
alexnet,transfer,classify,0.001,1,2_v_5,4,absent,0.0,,,
alexnet,transfer,classify,0.001,1,2_v_5,8,absent,0.0,,,
alexnet,transfer,classify,0.001,1,2_v_5,1,both,0.4875,,,
alexnet,transfer,classify,0.001,1,2_v_5,2,both,0.5,,,
alexnet,transfer,classify,0.001,1,2_v_5,4,both,0.5,,,
alexnet,transfer,classify,0.001,1,2_v_5,8,both,0.5,,,
alexnet,transfer,classify,0.001,1,YT_v_BTYL,1,present,0.6875,,,
alexnet,transfer,classify,0.001,1,YT_v_BTYL,2,present,0.975,,,
alexnet,transfer,classify,0.001,1,YT_v_BTYL,4,present,1.0,,,
alexnet,transfer,classify,0.001,1,YT_v_BTYL,8,present,1.0,,,
alexnet,transfer,classify,0.001,1,YT_v_BTYL,1,absent,0.5875,,,
alexnet,transfer,classify,0.001,1,YT_v_BTYL,2,absent,0.15,,,
alexnet,transfer,classify,0.001,1,YT_v_BTYL,4,absent,0.0,,,
alexnet,transfer,classify,0.001,1,YT_v_BTYL,8,absent,0.0,,,
alexnet,transfer,classify,0.001,1,YT_v_BTYL,1,both,0.6375,,,
alexnet,transfer,classify,0.001,1,YT_v_BTYL,2,both,0.5625,,,
alexnet,transfer,classify,0.001,1,YT_v_BTYL,4,both,0.5,,,
alexnet,transfer,classify,0.001,1,YT_v_BTYL,8,both,0.5,,,
alexnet,transfer,classify,0.001,1,YT_v_BTBL,1,present,0.6125,,,
alexnet,transfer,classify,0.001,1,YT_v_BTBL,2,present,0.975,,,
alexnet,transfer,classify,0.001,1,YT_v_BTBL,4,present,1.0,,,
alexnet,transfer,classify,0.001,1,YT_v_BTBL,8,present,1.0,,,
alexnet,transfer,classify,0.001,1,YT_v_BTBL,1,absent,0.7875,,,
alexnet,transfer,classify,0.001,1,YT_v_BTBL,2,absent,0.225,,,
alexnet,transfer,classify,0.001,1,YT_v_BTBL,4,absent,0.0,,,
alexnet,transfer,classify,0.001,1,YT_v_BTBL,8,absent,0.0,,,
alexnet,transfer,classify,0.001,1,YT_v_BTBL,1,both,0.7,,,
alexnet,transfer,classify,0.001,1,YT_v_BTBL,2,both,0.6,,,
alexnet,transfer,classify,0.001,1,YT_v_BTBL,4,both,0.5,,,
alexnet,transfer,classify,0.001,1,YT_v_BTBL,8,both,0.5,,,
alexnet,transfer,classify,0.001,1,Bx_v_RxBo,1,present,0.2375,,,
alexnet,transfer,classify,0.001,1,Bx_v_RxBo,2,present,0.925,,,
alexnet,transfer,classify,0.001,1,Bx_v_RxBo,4,present,1.0,,,
alexnet,transfer,classify,0.001,1,Bx_v_RxBo,8,present,1.0,,,
alexnet,transfer,classify,0.001,1,Bx_v_RxBo,1,absent,0.575,,,
alexnet,transfer,classify,0.001,1,Bx_v_RxBo,2,absent,0.1125,,,
alexnet,transfer,classify,0.001,1,Bx_v_RxBo,4,absent,0.0,,,
alexnet,transfer,classify,0.001,1,Bx_v_RxBo,8,absent,0.0,,,
alexnet,transfer,classify,0.001,1,Bx_v_RxBo,1,both,0.40625,,,
alexnet,transfer,classify,0.001,1,Bx_v_RxBo,2,both,0.51875,,,
alexnet,transfer,classify,0.001,1,Bx_v_RxBo,4,both,0.5,,,
alexnet,transfer,classify,0.001,1,Bx_v_RxBo,8,both,0.5,,,
alexnet,transfer,classify,0.001,1,Bx_v_RxRo,1,present,0.25,,,
alexnet,transfer,classify,0.001,1,Bx_v_RxRo,2,present,0.925,,,
alexnet,transfer,classify,0.001,1,Bx_v_RxRo,4,present,1.0,,,
alexnet,transfer,classify,0.001,1,Bx_v_RxRo,8,present,1.0,,,
alexnet,transfer,classify,0.001,1,Bx_v_RxRo,1,absent,0.6875,,,
alexnet,transfer,classify,0.001,1,Bx_v_RxRo,2,absent,0.05,,,
alexnet,transfer,classify,0.001,1,Bx_v_RxRo,4,absent,0.0,,,
alexnet,transfer,classify,0.001,1,Bx_v_RxRo,8,absent,0.0,,,
alexnet,transfer,classify,0.001,1,Bx_v_RxRo,1,both,0.46875,,,
alexnet,transfer,classify,0.001,1,Bx_v_RxRo,2,both,0.4875,,,
alexnet,transfer,classify,0.001,1,Bx_v_RxRo,4,both,0.5,,,
alexnet,transfer,classify,0.001,1,Bx_v_RxRo,8,both,0.5,,,
alexnet,transfer,classify,0.001,1,TvT,1,present,0.9125,,,
alexnet,transfer,classify,0.001,1,TvT,2,present,1.0,,,
alexnet,transfer,classify,0.001,1,TvT,4,present,1.0,,,
alexnet,transfer,classify,0.001,1,TvT,8,present,1.0,,,
alexnet,transfer,classify,0.001,1,TvT,1,absent,0.1125,,,
