net_name,stimulus,set_size_1_acc,set_size_8_acc,acc_diff
VGG16,2_v_5,1.0,1.0,0.0
VGG16,Bx_v_RxBo,1.0,1.0,0.0
VGG16,Bx_v_RxRo,1.0,1.0,0.0
VGG16,PWVvCV,1.0,1.0,0.0
VGG16,PWVvPWHCV,1.0,1.0,0.0
VGG16,RVvGV,1.0,1.0,0.0
VGG16,RVvRHGV,1.0,1.0,0.0
VGG16,TvT,1.0,1.0,0.0
VGG16,YT_v_BTBL,1.0,1.0,0.0
VGG16,YT_v_BTYL,1.0,1.0,0.0
alexnet,2_v_5,0.821875,0.5265624999999999,0.2953125000000001
alexnet,Bx_v_RxBo,1.0,1.0,0.0
alexnet,Bx_v_RxRo,1.0,1.0,0.0
alexnet,PWVvCV,1.0,1.0,0.0
alexnet,PWVvPWHCV,1.0,1.0,0.0
alexnet,RVvGV,1.0,1.0,0.0
alexnet,RVvRHGV,1.0,1.0,0.0
alexnet,TvT,1.0,1.0,0.0
alexnet,YT_v_BTBL,1.0,1.0,0.0
alexnet,YT_v_BTYL,1.0,1.0,0.0
