net_name,stimulus,set_size_1_acc,set_size_8_acc,acc_diff
alexnet,2_v_5,0.70703125,0.5351562499999999,0.1718750000000001
alexnet,Bx_v_RxBo,1.0,0.88046875,0.11953124999999998
alexnet,Bx_v_RxRo,1.0,0.9984375,0.0015625000000000222
alexnet,PWVvCV,1.0,0.8656250000000001,0.1343749999999999
alexnet,PWVvPWHCV,1.0,0.8562500000000002,0.14374999999999982
alexnet,RVvGV,1.0,0.9820312499999999,0.01796875000000009
alexnet,RVvRHGV,1.0,0.9,0.09999999999999998
alexnet,TvT,0.9976562499999999,0.7390625000000001,0.25859374999999984
alexnet,YT_v_BTBL,1.0,0.9585937500000002,0.041406249999999756
alexnet,YT_v_BTYL,0.9500000000000001,0.66328125,0.28671875
