net_name,method,mode,learning_rate,net_number,stimulus,set_size,target_condition,n_correct,n_trials,accuracy,hit_rate,false_alarm_rate,d_prime
alexnet,transfer,classify,0.001,1,RVvGV,1,present,266,266,1.0,,,
alexnet,transfer,classify,0.001,1,RVvGV,2,present,266,266,1.0,,,
alexnet,transfer,classify,0.001,1,RVvGV,4,present,266,266,1.0,,,
alexnet,transfer,classify,0.001,1,RVvGV,8,present,265,266,0.9962406015037594,,,
alexnet,transfer,classify,0.001,1,RVvGV,1,absent,266,266,1.0,,,
alexnet,transfer,classify,0.001,1,RVvGV,2,absent,266,266,1.0,,,
alexnet,transfer,classify,0.001,1,RVvGV,4,absent,265,266,0.9962406015037594,,,
alexnet,transfer,classify,0.001,1,RVvGV,8,absent,264,266,0.9924812030075187,,,
alexnet,transfer,classify,0.001,1,RVvGV,1,both,532,532,1.0,,,
alexnet,transfer,classify,0.001,1,RVvGV,2,both,532,532,1.0,,,
alexnet,transfer,classify,0.001,1,RVvGV,4,both,531,532,0.9981203007518797,,,
alexnet,transfer,classify,0.001,1,RVvGV,8,both,529,532,0.9943609022556391,,,
alexnet,transfer,classify,0.001,1,RVvRHGV,1,present,266,266,1.0,,,
alexnet,transfer,classify,0.001,1,RVvRHGV,2,present,266,266,1.0,,,
alexnet,transfer,classify,0.001,1,RVvRHGV,4,present,264,266,0.9924812030075187,,,
alexnet,transfer,classify,0.001,1,RVvRHGV,8,present,240,266,0.9022556390977443,,,
alexnet,transfer,classify,0.001,1,RVvRHGV,1,absent,266,266,1.0,,,
alexnet,transfer,classify,0.001,1,RVvRHGV,2,absent,266,266,1.0,,,
alexnet,transfer,classify,0.001,1,RVvRHGV,4,absent,255,266,0.9586466165413534,,,
alexnet,transfer,classify,0.001,1,RVvRHGV,8,absent,224,266,0.8421052631578947,,,
alexnet,transfer,classify,0.001,1,RVvRHGV,1,both,532,532,1.0,,,
alexnet,transfer,classify,0.001,1,RVvRHGV,2,both,532,532,1.0,,,
alexnet,transfer,classify,0.001,1,RVvRHGV,4,both,519,532,0.9755639097744361,,,
alexnet,transfer,classify,0.001,1,RVvRHGV,8,both,464,532,0.8721804511278195,,,
alexnet,transfer,classify,0.001,1,2_v_5,1,present,237,266,0.8909774436090225,,,
alexnet,transfer,classify,0.001,1,2_v_5,2,present,171,266,0.6428571428571429,,,
alexnet,transfer,classify,0.001,1,2_v_5,4,present,109,266,0.40977443609022557,,,
alexnet,transfer,classify,0.001,1,2_v_5,8,present,115,266,0.4323308270676692,,,
alexnet,transfer,classify,0.001,1,2_v_5,1,absent,226,266,0.849624060150376,,,
alexnet,transfer,classify,0.001,1,2_v_5,2,absent,224,266,0.8421052631578947,,,
alexnet,transfer,classify,0.001,1,2_v_5,4,absent,199,266,0.7481203007518797,,,
alexnet,transfer,classify,0.001,1,2_v_5,8,absent,183,266,0.6879699248120301,,,
alexnet,transfer,classify,0.001,1,2_v_5,1,both,463,532,0.8703007518796992,,,
alexnet,transfer,classify,0.001,1,2_v_5,2,both,395,532,0.7424812030075187,,,
alexnet,transfer,classify,0.001,1,2_v_5,4,both,308,532,0.5789473684210527,,,
alexnet,transfer,classify,0.001,1,2_v_5,8,both,298,532,0.5601503759398496,,,
alexnet,transfer,classify,0.001,2,RVvGV,1,present,266,266,1.0,,,
alexnet,transfer,classify,0.001,2,RVvGV,2,present,266,266,1.0,,,
alexnet,transfer,classify,0.001,2,RVvGV,4,present,262,266,0.9849624060150376,,,
alexnet,transfer,classify,0.001,2,RVvGV,8,present,255,266,0.9586466165413534,,,
alexnet,transfer,classify,0.001,2,RVvGV,1,absent,266,266,1.0,,,
alexnet,transfer,classify,0.001,2,RVvGV,2,absent,266,266,1.0,,,
alexnet,transfer,classify,0.001,2,RVvGV,4,absent,266,266,1.0,,,
alexnet,transfer,classify,0.001,2,RVvGV,8,absent,265,266,0.9962406015037594,,,
alexnet,transfer,classify,0.001,2,RVvGV,1,both,532,532,1.0,,,
alexnet,transfer,classify,0.001,2,RVvGV,2,both,532,532,1.0,,,
alexnet,transfer,classify,0.001,2,RVvGV,4,both,528,532,0.9924812030075187,,,
alexnet,transfer,classify,0.001,2,RVvGV,8,both,520,532,0.9774436090225563,,,
alexnet,transfer,classify,0.001,2,RVvRHGV,1,present,266,266,1.0,,,
alexnet,transfer,classify,0.001,2,RVvRHGV,2,present,266,266,1.0,,,
alexnet,transfer,classify,0.001,2,RVvRHGV,4,present,264,266,0.9924812030075187,,,
alexnet,transfer,classify,0.001,2,RVvRHGV,8,present,246,266,0.924812030075188,,,
alexnet,transfer,classify,0.001,2,RVvRHGV,1,absent,266,266,1.0,,,
alexnet,transfer,classify,0.001,2,RVvRHGV,2,absent,266,266,1.0,,,
alexnet,transfer,classify,0.001,2,RVvRHGV,4,absent,255,266,0.9586466165413534,,,
alexnet,transfer,classify,0.001,2,RVvRHGV,8,absent,210,266,0.7894736842105263,,,
alexnet,transfer,classify,0.001,2,RVvRHGV,1,both,532,532,1.0,,,
alexnet,transfer,classify,0.001,2,RVvRHGV,2,both,532,532,1.0,,,
alexnet,transfer,classify,0.001,2,RVvRHGV,4,both,519,532,0.9755639097744361,,,
alexnet,transfer,classify,0.001,2,RVvRHGV,8,both,456,532,0.8571428571428571,,,
alexnet,transfer,classify,0.001,2,2_v_5,1,present,243,266,0.9135338345864662,,,
alexnet,transfer,classify,0.001,2,2_v_5,2,present,182,266,0.6842105263157895,,,
alexnet,transfer,classify,0.001,2,2_v_5,4,present,118,266,0.44360902255639095,,,
alexnet,transfer,classify,0.001,2,2_v_5,8,present,162,266,0.6090225563909775,,,
alexnet,transfer,classify,0.001,2,2_v_5,1,absent,200,266,0.7518796992481203,,,
alexnet,transfer,classify,0.001,2,2_v_5,2,absent,202,266,0.7593984962406015,,,
alexnet,transfer,classify,0.001,2,2_v_5,4,absent,181,266,0.6804511278195489,,,
alexnet,transfer,classify,0.001,2,2_v_5,8,absent,139,266,0.5225563909774437,,,
alexnet,transfer,classify,0.001,2,2_v_5,1,both,443,532,0.8327067669172933,,,
alexnet,transfer,classify,0.001,2,2_v_5,2,both,384,532,0.7218045112781954,,,
alexnet,transfer,classify,0.001,2,2_v_5,4,both,299,532,0.5620300751879699,,,
alexnet,transfer,classify,0.001,2,2_v_5,8,both,301,532,0.5657894736842105,,,
alexnet,transfer,classify,0.001,3,RVvGV,1,present,266,266,1.0,,,
alexnet,transfer,classify,0.001,3,RVvGV,2,present,266,266,1.0,,,
alexnet,transfer,classify,0.001,3,RVvGV,4,present,265,266,0.9962406015037594,,,
alexnet,transfer,classify,0.001,3,RVvGV,8,present,261,266,0.981203007518797,,,
alexnet,transfer,classify,0.001,3,RVvGV,1,absent,266,266,1.0,,,
alexnet,transfer,classify,0.001,3,RVvGV,2,absent,266,266,1.0,,,
alexnet,transfer,classify,0.001,3,RVvGV,4,absent,266,266,1.0,,,
alexnet,transfer,classify,0.001,3,RVvGV,8,absent,262,266,0.9849624060150376,,,
alexnet,transfer,classify,0.001,3,RVvGV,1,both,532,532,1.0,,,
alexnet,transfer,classify,0.001,3,RVvGV,2,both,532,532,1.0,,,
alexnet,transfer,classify,0.001,3,RVvGV,4,both,531,532,0.9981203007518797,,,
alexnet,transfer,classify,0.001,3,RVvGV,8,both,523,532,0.9830827067669173,,,
alexnet,transfer,classify,0.001,3,RVvRHGV,1,present,266,266,1.0,,,
alexnet,transfer,classify,0.001,3,RVvRHGV,2,present,266,266,1.0,,,
alexnet,transfer,classify,0.001,3,RVvRHGV,4,present,263,266,0.9887218045112782,,,
alexnet,transfer,classify,0.001,3,RVvRHGV,8,present,211,266,0.793233082706767,,,
alexnet,transfer,classify,0.001,3,RVvRHGV,1,absent,266,266,1.0,,,
alexnet,transfer,classify,0.001,3,RVvRHGV,2,absent,266,266,1.0,,,
alexnet,transfer,classify,0.001,3,RVvRHGV,4,absent,258,266,0.9699248120300752,,,
alexnet,transfer,classify,0.001,3,RVvRHGV,8,absent,251,266,0.943609022556391,,,
alexnet,transfer,classify,0.001,3,RVvRHGV,1,both,532,532,1.0,,,
alexnet,transfer,classify,0.001,3,RVvRHGV,2,both,532,532,1.0,,,
alexnet,transfer,classify,0.001,3,RVvRHGV,4,both,521,532,0.9793233082706767,,,
alexnet,transfer,classify,0.001,3,RVvRHGV,8,both,462,532,0.868421052631579,,,
alexnet,transfer,classify,0.001,3,2_v_5,1,present,262,266,0.9849624060150376,,,
alexnet,transfer,classify,0.001,3,2_v_5,2,present,190,266,0.7142857142857143,,,
alexnet,transfer,classify,0.001,3,2_v_5,4,present,113,266,0.424812030075188,,,
alexnet,transfer,classify,0.001,3,2_v_5,8,present,109,266,0.40977443609022557,,,
alexnet,transfer,classify,0.001,3,2_v_5,1,absent,175,266,0.6578947368421053,,,
alexnet,transfer,classify,0.001,3,2_v_5,2,absent,213,266,0.8007518796992481,,,
alexnet,transfer,classify,0.001,3,2_v_5,4,absent,196,266,0.7368421052631579,,,
alexnet,transfer,classify,0.001,3,2_v_5,8,absent,193,266,0.7255639097744361,,,
alexnet,transfer,classify,0.001,3,2_v_5,1,both,437,532,0.8214285714285714,,,
alexnet,transfer,classify,0.001,3,2_v_5,2,both,403,532,0.7575187969924813,,,
alexnet,transfer,classify,0.001,3,2_v_5,4,both,309,532,0.5808270676691729,,,
alexnet,transfer,classify,0.001,3,2_v_5,8,both,302,532,0.5676691729323309,,,
alexnet,transfer,classify,0.001,4,RVvGV,1,present,266,266,1.0,,,
