net_name,stimulus,set_size_1_acc,set_size_8_acc,acc_diff
CORnet_S,2_v_5,0.5093984962406015,0.5587406015037594,-0.049342105263157854
CORnet_S,RVvGV,0.9757988721804511,0.8538533834586466,0.12194548872180455
CORnet_S,RVvRHGV,0.9290413533834586,0.7257988721804511,0.20324248120300747
CORnet_Z,2_v_5,0.5098684210526315,0.5608552631578948,-0.050986842105263275
CORnet_Z,RVvGV,1.0,0.90578007518797,0.09421992481203001
CORnet_Z,RVvRHGV,0.9487781954887219,0.7666823308270677,0.18209586466165417
VGG16,2_v_5,0.6304041353383458,0.5206766917293233,0.10972744360902253
VGG16,RVvGV,1.0,0.9269266917293234,0.0730733082706766
VGG16,RVvRHGV,0.9992951127819549,0.7826597744360902,0.21663533834586468
alexnet,2_v_5,0.8110902255639098,0.5580357142857143,0.25305451127819545
alexnet,RVvGV,1.0,0.8794642857142857,0.1205357142857143
alexnet,RVvRHGV,0.9997650375939849,0.8167293233082707,0.1830357142857142
