net_name,method,mode,learning_rate,net_number,stimulus,set_size,target_condition,n_correct,n_trials,accuracy,hit_rate,false_alarm_rate,d_prime
alexnet,transfer,classify,0.001,1,RVvGV,1,present,266,266,1.0,,,
alexnet,transfer,classify,0.001,1,RVvGV,2,present,263,266,0.9887218045112782,,,
alexnet,transfer,classify,0.001,1,RVvGV,4,present,248,266,0.9323308270676691,,,
alexnet,transfer,classify,0.001,1,RVvGV,8,present,221,266,0.8308270676691729,,,
alexnet,transfer,classify,0.001,1,RVvGV,1,absent,266,266,1.0,,,
alexnet,transfer,classify,0.001,1,RVvGV,2,absent,266,266,1.0,,,
alexnet,transfer,classify,0.001,1,RVvGV,4,absent,262,266,0.9849624060150376,,,
alexnet,transfer,classify,0.001,1,RVvGV,8,absent,259,266,0.9736842105263158,,,
alexnet,transfer,classify,0.001,1,RVvGV,1,both,532,532,1.0,,,
alexnet,transfer,classify,0.001,1,RVvGV,2,both,529,532,0.9943609022556391,,,
alexnet,transfer,classify,0.001,1,RVvGV,4,both,510,532,0.9586466165413534,,,
alexnet,transfer,classify,0.001,1,RVvGV,8,both,480,532,0.9022556390977443,,,
alexnet,transfer,classify,0.001,1,RVvRHGV,1,present,266,266,1.0,,,
alexnet,transfer,classify,0.001,1,RVvRHGV,2,present,263,266,0.9887218045112782,,,
alexnet,transfer,classify,0.001,1,RVvRHGV,4,present,249,266,0.9360902255639098,,,
alexnet,transfer,classify,0.001,1,RVvRHGV,8,present,213,266,0.8007518796992481,,,
alexnet,transfer,classify,0.001,1,RVvRHGV,1,absent,266,266,1.0,,,
alexnet,transfer,classify,0.001,1,RVvRHGV,2,absent,266,266,1.0,,,
alexnet,transfer,classify,0.001,1,RVvRHGV,4,absent,252,266,0.9473684210526315,,,
alexnet,transfer,classify,0.001,1,RVvRHGV,8,absent,217,266,0.8157894736842105,,,
alexnet,transfer,classify,0.001,1,RVvRHGV,1,both,532,532,1.0,,,
alexnet,transfer,classify,0.001,1,RVvRHGV,2,both,529,532,0.9943609022556391,,,
alexnet,transfer,classify,0.001,1,RVvRHGV,4,both,501,532,0.9417293233082706,,,
alexnet,transfer,classify,0.001,1,RVvRHGV,8,both,430,532,0.8082706766917294,,,
alexnet,transfer,classify,0.001,1,2_v_5,1,present,204,266,0.7669172932330827,,,
alexnet,transfer,classify,0.001,1,2_v_5,2,present,175,266,0.6578947368421053,,,
alexnet,transfer,classify,0.001,1,2_v_5,4,present,119,266,0.4473684210526316,,,
alexnet,transfer,classify,0.001,1,2_v_5,8,present,111,266,0.41729323308270677,,,
alexnet,transfer,classify,0.001,1,2_v_5,1,absent,219,266,0.8233082706766918,,,
alexnet,transfer,classify,0.001,1,2_v_5,2,absent,187,266,0.7030075187969925,,,
alexnet,transfer,classify,0.001,1,2_v_5,4,absent,183,266,0.6879699248120301,,,
alexnet,transfer,classify,0.001,1,2_v_5,8,absent,191,266,0.7180451127819549,,,
