net_name,net_number,stimulus,set_size_1_acc,set_size_8_acc,acc_diff
alexnet,1,RVvGV,1.0,0.9022556390977443,0.09774436090225569
alexnet,1,RVvRHGV,1.0,0.8082706766917294,0.19172932330827064
alexnet,1,2_v_5,0.7951127819548872,0.5676691729323309,0.22744360902255634
alexnet,2,RVvGV,1.0,0.8796992481203008,0.12030075187969924
alexnet,2,RVvRHGV,1.0,0.8214285714285714,0.1785714285714286
alexnet,2,2_v_5,0.793233082706767,0.5488721804511278,0.2443609022556391
alexnet,3,RVvGV,1.0,0.9154135338345865,0.08458646616541354
alexnet,3,RVvRHGV,1.0,0.8402255639097744,0.15977443609022557
alexnet,3,2_v_5,0.8759398496240601,0.5864661654135338,0.2894736842105263
alexnet,4,RVvGV,1.0,0.8740601503759399,0.12593984962406013
alexnet,4,RVvRHGV,1.0,0.8157894736842105,0.1842105263157895
alexnet,4,2_v_5,0.8214285714285714,0.5639097744360902,0.25751879699248115
alexnet,5,RVvGV,1.0,0.8477443609022557,0.1522556390977443
alexnet,5,RVvRHGV,1.0,0.8327067669172933,0.16729323308270672
alexnet,5,2_v_5,0.8007518796992481,0.5507518796992481,0.25
alexnet,6,RVvGV,1.0,0.8778195488721805,0.1221804511278195
alexnet,6,RVvRHGV,1.0,0.8214285714285714,0.1785714285714286
alexnet,6,2_v_5,0.8176691729323309,0.5657894736842105,0.25187969924812037
alexnet,7,RVvGV,1.0,0.8533834586466166,0.14661654135338342
alexnet,7,RVvRHGV,0.9981203007518797,0.7593984962406015,0.23872180451127822
alexnet,7,2_v_5,0.7669172932330827,0.5263157894736842,0.24060150375939848
alexnet,8,RVvGV,1.0,0.8853383458646616,0.11466165413533835
alexnet,8,RVvRHGV,1.0,0.8345864661654135,0.16541353383458646
alexnet,8,2_v_5,0.8176691729323309,0.5545112781954887,0.26315789473684215
VGG16,1,RVvGV,1.0,0.9398496240601504,0.06015037593984962
VGG16,1,RVvRHGV,1.0,0.7988721804511278,0.20112781954887216
VGG16,1,2_v_5,0.6710526315789473,0.5112781954887218,0.15977443609022557
VGG16,2,RVvGV,1.0,0.9154135338345865,0.08458646616541354
VGG16,2,RVvRHGV,1.0,0.7781954887218046,0.22180451127819545
VGG16,2,2_v_5,0.5939849624060151,0.543233082706767,0.050751879699248104
VGG16,3,RVvGV,1.0,0.9285714285714286,0.0714285714285714
VGG16,3,RVvRHGV,1.0,0.7894736842105263,0.21052631578947367
VGG16,3,2_v_5,0.6447368421052632,0.5244360902255639,0.12030075187969924
VGG16,4,RVvGV,1.0,0.924812030075188,0.07518796992481203
VGG16,4,RVvRHGV,1.0,0.7875939849624061,0.21240601503759393
VGG16,4,2_v_5,0.6240601503759399,0.5244360902255639,0.09962406015037595
VGG16,5,RVvGV,1.0,0.9097744360902256,0.09022556390977443
VGG16,5,RVvRHGV,0.9943609022556391,0.7650375939849624,0.2293233082706767
VGG16,5,2_v_5,0.5958646616541353,0.5018796992481203,0.09398496240601506
VGG16,6,RVvGV,1.0,0.9154135338345865,0.08458646616541354
VGG16,6,RVvRHGV,1.0,0.7612781954887218,0.23872180451127822
VGG16,6,2_v_5,0.6278195488721805,0.518796992481203,0.10902255639097747
VGG16,7,RVvGV,1.0,0.9304511278195489,0.06954887218045114
VGG16,7,RVvRHGV,1.0,0.7744360902255639,0.22556390977443608
VGG16,7,2_v_5,0.6278195488721805,0.5263157894736842,0.10150375939849632
VGG16,8,RVvGV,1.0,0.9511278195488722,0.048872180451127845
VGG16,8,RVvRHGV,1.0,0.806390977443609,0.193609022556391
VGG16,8,2_v_5,0.6578947368421053,0.5150375939849624,0.1428571428571429
CORnet_Z,1,RVvGV,1.0,0.9078947368421053,0.09210526315789469
CORnet_Z,1,RVvRHGV,0.9511278195488722,0.7763157894736842,0.17481203007518797
CORnet_Z,1,2_v_5,0.5093984962406015,0.5639097744360902,-0.05451127819548873
CORnet_Z,2,RVvGV,1.0,0.8909774436090225,0.10902255639097747
CORnet_Z,2,RVvRHGV,0.9473684210526315,0.7631578947368421,0.18421052631578938
