net_name,net_number,stimulus,set_size_1_acc,set_size_8_acc,set_size_1_err,set_size_effect,set_size_1_err_plus_effect
alexnet,1,RVvGV,100.0,90.22556390977444,0.0,9.774436090225564,9.774436090225564
alexnet,1,RVvRHGV,100.0,80.82706766917293,0.0,19.172932330827066,19.172932330827066
alexnet,1,2_v_5,79.51127819548873,56.766917293233085,20.488721804511272,22.744360902255643,43.233082706766915
alexnet,2,RVvGV,100.0,87.96992481203007,0.0,12.030075187969928,12.030075187969928
alexnet,2,RVvRHGV,100.0,82.14285714285714,0.0,17.85714285714286,17.85714285714286
alexnet,2,2_v_5,79.32330827067669,54.88721804511278,20.67669172932331,24.43609022556391,45.11278195488722
alexnet,3,RVvGV,100.0,91.54135338345864,0.0,8.458646616541358,8.458646616541358
alexnet,3,RVvRHGV,100.0,84.02255639097744,0.0,15.977443609022558,15.977443609022558
alexnet,3,2_v_5,87.59398496240601,58.64661654135338,12.406015037593988,28.94736842105263,41.35338345864662
alexnet,4,RVvGV,100.0,87.40601503759399,0.0,12.593984962406012,12.593984962406012
alexnet,4,RVvRHGV,100.0,81.57894736842105,0.0,18.421052631578945,18.421052631578945
alexnet,4,2_v_5,82.14285714285714,56.390977443609025,17.85714285714286,25.751879699248114,43.609022556390975
alexnet,5,RVvGV,100.0,84.77443609022556,0.0,15.225563909774436,15.225563909774436
alexnet,5,RVvRHGV,100.0,83.27067669172934,0.0,16.729323308270665,16.729323308270665
alexnet,5,2_v_5,80.07518796992481,55.07518796992481,19.924812030075188,25.0,44.92481203007519
alexnet,6,RVvGV,100.0,87.78195488721805,0.0,12.218045112781951,12.218045112781951
alexnet,6,RVvRHGV,100.0,82.14285714285714,0.0,17.85714285714286,17.85714285714286
alexnet,6,2_v_5,81.76691729323309,56.57894736842105,18.233082706766908,25.187969924812045,43.42105263157895
alexnet,7,RVvGV,100.0,85.33834586466166,0.0,14.661654135338338,14.661654135338338
alexnet,7,RVvRHGV,99.81203007518798,75.93984962406014,0.18796992481202324,23.872180451127832,24.060150375939855
alexnet,7,2_v_5,76.69172932330827,52.63157894736842,23.308270676691734,24.06015037593985,47.36842105263158
alexnet,8,RVvGV,100.0,88.53383458646617,0.0,11.46616541353383,11.46616541353383
alexnet,8,RVvRHGV,100.0,83.45864661654136,0.0,16.54135338345864,16.54135338345864
alexnet,8,2_v_5,81.76691729323309,55.45112781954887,18.233082706766908,26.31578947368422,44.54887218045113
VGG16,1,RVvGV,100.0,93.98496240601504,0.0,6.015037593984957,6.015037593984957
VGG16,1,RVvRHGV,100.0,79.88721804511279,0.0,20.11278195488721,20.11278195488721
VGG16,1,2_v_5,67.10526315789474,51.127819548872175,32.89473684210526,15.977443609022565,48.872180451127825
VGG16,2,RVvGV,100.0,91.54135338345864,0.0,8.458646616541358,8.458646616541358
VGG16,2,RVvRHGV,100.0,77.81954887218046,0.0,22.180451127819538,22.180451127819538
VGG16,2,2_v_5,59.3984962406015,54.3233082706767,40.6015037593985,5.075187969924805,45.6766917293233
VGG16,3,RVvGV,100.0,92.85714285714286,0.0,7.142857142857139,7.142857142857139
VGG16,3,RVvRHGV,100.0,78.94736842105263,0.0,21.05263157894737,21.05263157894737
VGG16,3,2_v_5,64.47368421052632,52.443609022556394,35.526315789473685,12.03007518796992,47.556390977443606
VGG16,4,RVvGV,100.0,92.4812030075188,0.0,7.5187969924811995,7.5187969924811995
VGG16,4,RVvRHGV,100.0,78.7593984962406,0.0,21.240601503759393,21.240601503759393
VGG16,4,2_v_5,62.40601503759399,52.443609022556394,37.59398496240601,9.962406015037594,47.556390977443606
VGG16,5,RVvGV,100.0,90.97744360902256,0.0,9.022556390977442,9.022556390977442
VGG16,5,RVvRHGV,99.43609022556392,76.50375939849624,0.5639097744360839,22.932330827067673,23.496240601503757
VGG16,5,2_v_5,59.58646616541353,50.18796992481202,40.41353383458647,9.39849624060151,49.81203007518798
VGG16,6,RVvGV,100.0,91.54135338345864,0.0,8.458646616541358,8.458646616541358
VGG16,6,RVvRHGV,100.0,76.12781954887218,0.0,23.872180451127818,23.872180451127818
VGG16,6,2_v_5,62.78195488721805,51.8796992481203,37.21804511278195,10.902255639097746,48.1203007518797
VGG16,7,RVvGV,100.0,93.04511278195488,0.0,6.954887218045116,6.954887218045116
VGG16,7,RVvRHGV,100.0,77.44360902255639,0.0,22.556390977443613,22.556390977443613
VGG16,7,2_v_5,62.78195488721805,52.63157894736842,37.21804511278195,10.150375939849631,47.36842105263158
VGG16,8,RVvGV,100.0,95.11278195488721,0.0,4.887218045112789,4.887218045112789
VGG16,8,RVvRHGV,100.0,80.6390977443609,0.0,19.360902255639104,19.360902255639104
VGG16,8,2_v_5,65.78947368421053,51.50375939849624,34.210526315789465,14.285714285714292,48.49624060150376
CORnet_Z,1,RVvGV,100.0,90.78947368421053,0.0,9.210526315789465,9.210526315789465
CORnet_Z,1,RVvRHGV,95.11278195488721,77.63157894736842,4.887218045112789,17.481203007518786,22.368421052631575
CORnet_Z,1,2_v_5,50.93984962406015,56.390977443609025,49.06015037593985,-5.451127819548873,43.609022556390975
CORnet_Z,2,RVvGV,100.0,89.09774436090225,0.0,10.902255639097746,10.902255639097746
CORnet_Z,2,RVvRHGV,94.73684210526315,76.31578947368422,5.26315789473685,18.42105263157893,23.68421052631578
CORnet_Z,2,2_v_5,50.75187969924813,56.20300751879699,49.24812030075187,-5.451127819548859,43.79699248120301
CORnet_Z,3,RVvGV,100.0,91.35338345864662,0.0,8.646616541353382,8.646616541353382
CORnet_Z,3,RVvRHGV,94.92481203007519,75.56390977443608,5.075187969924812,19.360902255639104,24.436090225563916
CORnet_Z,3,2_v_5,50.93984962406015,55.639097744360896,49.06015037593985,-4.699248120300744,44.360902255639104
CORnet_Z,4,RVvGV,100.0,92.10526315789474,0.0,7.89473684210526,7.89473684210526
CORnet_Z,4,RVvRHGV,96.2406015037594,78.57142857142857,3.759398496240607,17.669172932330824,21.42857142857143
CORnet_Z,4,2_v_5,51.50375939849624,56.954887218045116,48.49624060150376,-5.451127819548873,43.045112781954884
CORnet_Z,5,RVvGV,100.0,91.9172932330827,0.0,8.082706766917298,8.082706766917298
CORnet_Z,5,RVvRHGV,95.48872180451127,78.19548872180451,4.511278195488728,17.293233082706763,21.80451127819549
CORnet_Z,5,2_v_5,51.50375939849624,56.766917293233085,48.49624060150376,-5.2631578947368425,43.233082706766915
CORnet_Z,6,RVvGV,100.0,92.10526315789474,0.0,7.89473684210526,7.89473684210526
CORnet_Z,6,RVvRHGV,94.3609022556391,75.75187969924812,5.639097744360896,18.609022556390983,24.24812030075188
CORnet_Z,6,2_v_5,50.93984962406015,56.015037593984964,49.06015037593985,-5.075187969924812,43.984962406015036
CORnet_Z,7,RVvGV,100.0,86.2781954887218,0.0,13.721804511278194,13.721804511278194
CORnet_Z,7,RVvRHGV,93.04511278195488,74.06015037593986,6.954887218045116,18.98496240601503,25.939849624060145
CORnet_Z,7,2_v_5,50.37593984962406,54.88721804511278,49.62406015037594,-4.511278195488721,45.11278195488722
CORnet_Z,8,RVvGV,100.0,90.97744360902256,0.0,9.022556390977442,9.022556390977442
CORnet_Z,8,RVvRHGV,95.11278195488721,77.25563909774436,4.887218045112789,17.857142857142847,22.744360902255636
CORnet_Z,8,2_v_5,50.93984962406015,55.82706766917293,49.06015037593985,-4.887218045112782,44.17293233082707
CORnet_S,1,RVvGV,98.87218045112782,86.8421052631579,1.127819548872182,12.030075187969913,13.157894736842096
CORnet_S,1,RVvRHGV,95.48872180451127,75.18796992481202,4.511278195488728,20.30075187969925,24.812030075187977
CORnet_S,1,2_v_5,51.31578947368421,55.26315789473685,48.68421052631579,-3.947368421052637,44.73684210526315
CORnet_S,2,RVvGV,92.85714285714286,79.88721804511279,7.142857142857139,12.969924812030072,20.11278195488721
CORnet_S,2,RVvRHGV,89.09774436090225,70.48872180451127,10.902255639097746,18.609022556390983,29.511278195488728
CORnet_S,2,2_v_5,51.691729323308266,55.82706766917293,48.308270676691734,-4.1353383458646675,44.17293233082707
CORnet_S,3,RVvGV,95.86466165413535,81.203007518797,4.135338345864653,14.661654135338352,18.796992481203006
