net_name,method,mode,learning_rate,net_number,stimulus,set_size,target_condition,n_correct,n_trials,accuracy,hit_rate,false_alarm_rate,d_prime
alexnet,transfer,classify,0.001,1,RVvGV,1,present,266,266,1.0,,,
alexnet,transfer,classify,0.001,1,RVvGV,2,present,263,266,0.9887218045112782,,,
alexnet,transfer,classify,0.001,1,RVvGV,4,present,265,266,0.9962406015037594,,,
alexnet,transfer,classify,0.001,1,RVvGV,8,present,266,266,1.0,,,
alexnet,transfer,classify,0.001,1,RVvGV,1,absent,266,266,1.0,,,
alexnet,transfer,classify,0.001,1,RVvGV,2,absent,266,266,1.0,,,
alexnet,transfer,classify,0.001,1,RVvGV,4,absent,266,266,1.0,,,
alexnet,transfer,classify,0.001,1,RVvGV,8,absent,266,266,1.0,,,
alexnet,transfer,classify,0.001,1,RVvGV,1,both,532,532,1.0,,,
alexnet,transfer,classify,0.001,1,RVvGV,2,both,529,532,0.9943609022556391,,,
alexnet,transfer,classify,0.001,1,RVvGV,4,both,531,532,0.9981203007518797,,,
alexnet,transfer,classify,0.001,1,RVvGV,8,both,532,532,1.0,,,
alexnet,transfer,classify,0.001,1,RVvRHGV,1,present,266,266,1.0,,,
alexnet,transfer,classify,0.001,1,RVvRHGV,2,present,263,266,0.9887218045112782,,,
alexnet,transfer,classify,0.001,1,RVvRHGV,4,present,209,266,0.7857142857142857,,,
alexnet,transfer,classify,0.001,1,RVvRHGV,8,present,115,266,0.4323308270676692,,,
alexnet,transfer,classify,0.001,1,RVvRHGV,1,absent,264,266,0.9924812030075187,,,
alexnet,transfer,classify,0.001,1,RVvRHGV,2,absent,260,266,0.9774436090225563,,,
alexnet,transfer,classify,0.001,1,RVvRHGV,4,absent,253,266,0.9511278195488722,,,
alexnet,transfer,classify,0.001,1,RVvRHGV,8,absent,241,266,0.9060150375939849,,,
alexnet,transfer,classify,0.001,1,RVvRHGV,1,both,530,532,0.9962406015037594,,,
alexnet,transfer,classify,0.001,1,RVvRHGV,2,both,523,532,0.9830827067669173,,,
alexnet,transfer,classify,0.001,1,RVvRHGV,4,both,462,532,0.868421052631579,,,
alexnet,transfer,classify,0.001,1,RVvRHGV,8,both,356,532,0.6691729323308271,,,
alexnet,transfer,classify,0.001,1,2_v_5,1,present,190,266,0.7142857142857143,,,
alexnet,transfer,classify,0.001,1,2_v_5,2,present,175,266,0.6578947368421053,,,
alexnet,transfer,classify,0.001,1,2_v_5,4,present,158,266,0.5939849624060151,,,
alexnet,transfer,classify,0.001,1,2_v_5,8,present,130,266,0.48872180451127817,,,
alexnet,transfer,classify,0.001,1,2_v_5,1,absent,157,266,0.5902255639097744,,,
alexnet,transfer,classify,0.001,1,2_v_5,2,absent,144,266,0.5413533834586466,,,
alexnet,transfer,classify,0.001,1,2_v_5,4,absent,138,266,0.518796992481203,,,
alexnet,transfer,classify,0.001,1,2_v_5,8,absent,165,266,0.6203007518796992,,,
alexnet,transfer,classify,0.001,1,2_v_5,1,both,347,532,0.6522556390977443,,,
