net_name,method,mode,learning_rate,net_number,stimulus,set_size,target_condition,accuracy,hit_rate,false_alarm_rate,d_prime
alexnet,transfer,classify,0.001,1,RVvGV,1,present,1.0,,,
alexnet,transfer,classify,0.001,1,RVvGV,2,present,1.0,,,
alexnet,transfer,classify,0.001,1,RVvGV,4,present,0.981203007518797,,,
alexnet,transfer,classify,0.001,1,RVvGV,8,present,0.9323308270676691,,,
alexnet,transfer,classify,0.001,1,RVvGV,1,absent,1.0,,,
alexnet,transfer,classify,0.001,1,RVvGV,2,absent,1.0,,,
alexnet,transfer,classify,0.001,1,RVvGV,4,absent,0.9962406015037594,,,
alexnet,transfer,classify,0.001,1,RVvGV,8,absent,0.9699248120300752,,,
alexnet,transfer,classify,0.001,1,RVvGV,1,both,1.0,,,
alexnet,transfer,classify,0.001,1,RVvGV,2,both,1.0,,,
alexnet,transfer,classify,0.001,1,RVvGV,4,both,0.9887218045112782,,,
alexnet,transfer,classify,0.001,1,RVvGV,8,both,0.9511278195488722,,,
alexnet,transfer,classify,0.001,1,RVvRHGV,1,present,1.0,,,
alexnet,transfer,classify,0.001,1,RVvRHGV,2,present,1.0,,,
alexnet,transfer,classify,0.001,1,RVvRHGV,4,present,0.9849624060150376,,,
alexnet,transfer,classify,0.001,1,RVvRHGV,8,present,0.9097744360902256,,,
alexnet,transfer,classify,0.001,1,RVvRHGV,1,absent,1.0,,,
alexnet,transfer,classify,0.001,1,RVvRHGV,2,absent,1.0,,,
alexnet,transfer,classify,0.001,1,RVvRHGV,4,absent,0.9924812030075187,,,
alexnet,transfer,classify,0.001,1,RVvRHGV,8,absent,0.9473684210526315,,,
alexnet,transfer,classify,0.001,1,RVvRHGV,1,both,1.0,,,
alexnet,transfer,classify,0.001,1,RVvRHGV,2,both,1.0,,,
alexnet,transfer,classify,0.001,1,RVvRHGV,4,both,0.9887218045112782,,,
alexnet,transfer,classify,0.001,1,RVvRHGV,8,both,0.9285714285714286,,,
alexnet,transfer,classify,0.001,1,2_v_5,1,present,0.8270676691729323,,,
alexnet,transfer,classify,0.001,1,2_v_5,2,present,0.6691729323308271,,,
alexnet,transfer,classify,0.001,1,2_v_5,4,present,0.3458646616541353,,,
alexnet,transfer,classify,0.001,1,2_v_5,8,present,0.19172932330827067,,,
