net_name,method,mode,learning_rate,net_number,stimulus,set_size,target_condition,n_correct,n_trials,accuracy,hit_rate,false_alarm_rate,d_prime
alexnet,initialize,classify,0.001,1,2_v_5,1,present,266,266,1.0,,,
alexnet,initialize,classify,0.001,1,2_v_5,2,present,266,266,1.0,,,
alexnet,initialize,classify,0.001,1,2_v_5,4,present,266,266,1.0,,,
alexnet,initialize,classify,0.001,1,2_v_5,6,present,266,266,1.0,,,
alexnet,initialize,classify,0.001,1,2_v_5,8,present,265,266,0.9962406015037594,,,
alexnet,initialize,classify,0.001,1,2_v_5,12,present,266,266,1.0,,,
alexnet,initialize,classify,0.001,1,2_v_5,18,present,265,266,0.9962406015037594,,,
alexnet,initialize,classify,0.001,1,2_v_5,1,absent,266,266,1.0,,,
alexnet,initialize,classify,0.001,1,2_v_5,2,absent,266,266,1.0,,,
alexnet,initialize,classify,0.001,1,2_v_5,4,absent,266,266,1.0,,,
alexnet,initialize,classify,0.001,1,2_v_5,6,absent,266,266,1.0,,,
alexnet,initialize,classify,0.001,1,2_v_5,8,absent,266,266,1.0,,,
alexnet,initialize,classify,0.001,1,2_v_5,12,absent,266,266,1.0,,,
alexnet,initialize,classify,0.001,1,2_v_5,18,absent,266,266,1.0,,,
alexnet,initialize,classify,0.001,1,2_v_5,1,both,532,532,1.0,,,
alexnet,initialize,classify,0.001,1,2_v_5,2,both,532,532,1.0,,,
alexnet,initialize,classify,0.001,1,2_v_5,4,both,532,532,1.0,,,
alexnet,initialize,classify,0.001,1,2_v_5,6,both,532,532,1.0,,,
alexnet,initialize,classify,0.001,1,2_v_5,8,both,531,532,0.9981203007518797,,,
alexnet,initialize,classify,0.001,1,2_v_5,12,both,532,532,1.0,,,
alexnet,initialize,classify,0.001,1,2_v_5,18,both,531,532,0.9981203007518797,,,
alexnet,initialize,classify,0.001,1,RVvGV,1,present,266,266,1.0,,,
alexnet,initialize,classify,0.001,1,RVvGV,2,present,266,266,1.0,,,
alexnet,initialize,classify,0.001,1,RVvGV,4,present,266,266,1.0,,,
alexnet,initialize,classify,0.001,1,RVvGV,6,present,266,266,1.0,,,
alexnet,initialize,classify,0.001,1,RVvGV,8,present,266,266,1.0,,,
alexnet,initialize,classify,0.001,1,RVvGV,12,present,266,266,1.0,,,
alexnet,initialize,classify,0.001,1,RVvGV,18,present,266,266,1.0,,,
alexnet,initialize,classify,0.001,1,RVvGV,1,absent,266,266,1.0,,,
alexnet,initialize,classify,0.001,1,RVvGV,2,absent,266,266,1.0,,,
alexnet,initialize,classify,0.001,1,RVvGV,4,absent,266,266,1.0,,,
alexnet,initialize,classify,0.001,1,RVvGV,6,absent,266,266,1.0,,,
alexnet,initialize,classify,0.001,1,RVvGV,8,absent,266,266,1.0,,,
alexnet,initialize,classify,0.001,1,RVvGV,12,absent,266,266,1.0,,,
alexnet,initialize,classify,0.001,1,RVvGV,18,absent,266,266,1.0,,,
alexnet,initialize,classify,0.001,1,RVvGV,1,both,532,532,1.0,,,
alexnet,initialize,classify,0.001,1,RVvGV,2,both,532,532,1.0,,,
alexnet,initialize,classify,0.001,1,RVvGV,4,both,532,532,1.0,,,
alexnet,initialize,classify,0.001,1,RVvGV,6,both,532,532,1.0,,,
alexnet,initialize,classify,0.001,1,RVvGV,8,both,532,532,1.0,,,
alexnet,initialize,classify,0.001,1,RVvGV,12,both,532,532,1.0,,,
alexnet,initialize,classify,0.001,1,RVvGV,18,both,532,532,1.0,,,
alexnet,initialize,classify,0.001,1,RVvRHGV,1,present,266,266,1.0,,,
alexnet,initialize,classify,0.001,1,RVvRHGV,2,present,266,266,1.0,,,
alexnet,initialize,classify,0.001,1,RVvRHGV,4,present,266,266,1.0,,,
alexnet,initialize,classify,0.001,1,RVvRHGV,6,present,266,266,1.0,,,
alexnet,initialize,classify,0.001,1,RVvRHGV,8,present,266,266,1.0,,,
alexnet,initialize,classify,0.001,1,RVvRHGV,12,present,266,266,1.0,,,
alexnet,initialize,classify,0.001,1,RVvRHGV,18,present,266,266,1.0,,,
alexnet,initialize,classify,0.001,1,RVvRHGV,1,absent,266,266,1.0,,,
alexnet,initialize,classify,0.001,1,RVvRHGV,2,absent,266,266,1.0,,,
alexnet,initialize,classify,0.001,1,RVvRHGV,4,absent,266,266,1.0,,,
alexnet,initialize,classify,0.001,1,RVvRHGV,6,absent,266,266,1.0,,,
alexnet,initialize,classify,0.001,1,RVvRHGV,8,absent,266,266,1.0,,,
alexnet,initialize,classify,0.001,1,RVvRHGV,12,absent,266,266,1.0,,,
alexnet,initialize,classify,0.001,1,RVvRHGV,18,absent,266,266,1.0,,,
alexnet,initialize,classify,0.001,1,RVvRHGV,1,both,532,532,1.0,,,
alexnet,initialize,classify,0.001,1,RVvRHGV,2,both,532,532,1.0,,,
alexnet,initialize,classify,0.001,1,RVvRHGV,4,both,532,532,1.0,,,
alexnet,initialize,classify,0.001,1,RVvRHGV,6,both,532,532,1.0,,,
alexnet,initialize,classify,0.001,1,RVvRHGV,8,both,532,532,1.0,,,
alexnet,initialize,classify,0.001,1,RVvRHGV,12,both,532,532,1.0,,,
alexnet,initialize,classify,0.001,1,RVvRHGV,18,both,532,532,1.0,,,
alexnet,initialize,classify,0.001,2,2_v_5,1,present,266,266,1.0,,,
alexnet,initialize,classify,0.001,2,2_v_5,2,present,266,266,1.0,,,
alexnet,initialize,classify,0.001,2,2_v_5,4,present,266,266,1.0,,,
alexnet,initialize,classify,0.001,2,2_v_5,6,present,266,266,1.0,,,
alexnet,initialize,classify,0.001,2,2_v_5,8,present,266,266,1.0,,,
alexnet,initialize,classify,0.001,2,2_v_5,12,present,265,266,0.9962406015037594,,,
alexnet,initialize,classify,0.001,2,2_v_5,18,present,266,266,1.0,,,
alexnet,initialize,classify,0.001,2,2_v_5,1,absent,266,266,1.0,,,
alexnet,initialize,classify,0.001,2,2_v_5,2,absent,266,266,1.0,,,
alexnet,initialize,classify,0.001,2,2_v_5,4,absent,266,266,1.0,,,
alexnet,initialize,classify,0.001,2,2_v_5,6,absent,266,266,1.0,,,
alexnet,initialize,classify,0.001,2,2_v_5,8,absent,266,266,1.0,,,
alexnet,initialize,classify,0.001,2,2_v_5,12,absent,266,266,1.0,,,
alexnet,initialize,classify,0.001,2,2_v_5,18,absent,266,266,1.0,,,
alexnet,initialize,classify,0.001,2,2_v_5,1,both,532,532,1.0,,,
alexnet,initialize,classify,0.001,2,2_v_5,2,both,532,532,1.0,,,
alexnet,initialize,classify,0.001,2,2_v_5,4,both,532,532,1.0,,,
alexnet,initialize,classify,0.001,2,2_v_5,6,both,532,532,1.0,,,
alexnet,initialize,classify,0.001,2,2_v_5,8,both,532,532,1.0,,,
alexnet,initialize,classify,0.001,2,2_v_5,12,both,531,532,0.9981203007518797,,,
alexnet,initialize,classify,0.001,2,2_v_5,18,both,532,532,1.0,,,
alexnet,initialize,classify,0.001,2,RVvGV,1,present,266,266,1.0,,,
alexnet,initialize,classify,0.001,2,RVvGV,2,present,266,266,1.0,,,
alexnet,initialize,classify,0.001,2,RVvGV,4,present,266,266,1.0,,,
alexnet,initialize,classify,0.001,2,RVvGV,6,present,266,266,1.0,,,
alexnet,initialize,classify,0.001,2,RVvGV,8,present,266,266,1.0,,,
alexnet,initialize,classify,0.001,2,RVvGV,12,present,266,266,1.0,,,
alexnet,initialize,classify,0.001,2,RVvGV,18,present,266,266,1.0,,,
alexnet,initialize,classify,0.001,2,RVvGV,1,absent,266,266,1.0,,,
alexnet,initialize,classify,0.001,2,RVvGV,2,absent,266,266,1.0,,,
alexnet,initialize,classify,0.001,2,RVvGV,4,absent,266,266,1.0,,,
alexnet,initialize,classify,0.001,2,RVvGV,6,absent,266,266,1.0,,,
alexnet,initialize,classify,0.001,2,RVvGV,8,absent,266,266,1.0,,,
alexnet,initialize,classify,0.001,2,RVvGV,12,absent,266,266,1.0,,,
alexnet,initialize,classify,0.001,2,RVvGV,18,absent,266,266,1.0,,,
alexnet,initialize,classify,0.001,2,RVvGV,1,both,532,532,1.0,,,
alexnet,initialize,classify,0.001,2,RVvGV,2,both,532,532,1.0,,,
alexnet,initialize,classify,0.001,2,RVvGV,4,both,532,532,1.0,,,
alexnet,initialize,classify,0.001,2,RVvGV,6,both,532,532,1.0,,,
alexnet,initialize,classify,0.001,2,RVvGV,8,both,532,532,1.0,,,
