net_name,net_number,stimulus,set_size_1_acc,set_size_8_acc,acc_diff
alexnet,1,2_v_5,1.0,0.9981203007518797,0.001879699248120259
alexnet,1,RVvGV,1.0,1.0,0.0
alexnet,1,RVvRHGV,1.0,1.0,0.0
alexnet,2,2_v_5,1.0,1.0,0.0
alexnet,2,RVvGV,1.0,1.0,0.0
alexnet,2,RVvRHGV,1.0,1.0,0.0
alexnet,3,2_v_5,1.0,1.0,0.0
alexnet,3,RVvGV,1.0,1.0,0.0
alexnet,3,RVvRHGV,1.0,1.0,0.0
alexnet,4,2_v_5,1.0,1.0,0.0
alexnet,4,RVvGV,1.0,1.0,0.0
alexnet,4,RVvRHGV,1.0,1.0,0.0
alexnet,5,2_v_5,1.0,1.0,0.0
alexnet,5,RVvGV,1.0,1.0,0.0
alexnet,5,RVvRHGV,1.0,1.0,0.0
alexnet,6,2_v_5,1.0,0.9981203007518797,0.001879699248120259
alexnet,6,RVvGV,1.0,1.0,0.0
alexnet,6,RVvRHGV,1.0,1.0,0.0
alexnet,7,2_v_5,1.0,1.0,0.0
alexnet,7,RVvGV,1.0,1.0,0.0
alexnet,7,RVvRHGV,1.0,1.0,0.0
alexnet,8,2_v_5,1.0,1.0,0.0
alexnet,8,RVvGV,1.0,1.0,0.0
alexnet,8,RVvRHGV,1.0,1.0,0.0
VGG16,1,2_v_5,1.0,1.0,0.0
VGG16,1,RVvGV,1.0,1.0,0.0
VGG16,1,RVvRHGV,1.0,1.0,0.0
VGG16,2,2_v_5,1.0,1.0,0.0
VGG16,2,RVvGV,1.0,1.0,0.0
VGG16,2,RVvRHGV,1.0,1.0,0.0
VGG16,3,2_v_5,0.5018796992481203,0.6954887218045113,-0.193609022556391
VGG16,3,RVvGV,1.0,1.0,0.0
VGG16,3,RVvRHGV,1.0,1.0,0.0
VGG16,4,2_v_5,1.0,0.9981203007518797,0.001879699248120259
VGG16,4,RVvGV,1.0,1.0,0.0
VGG16,4,RVvRHGV,1.0,1.0,0.0
VGG16,5,2_v_5,1.0,1.0,0.0
VGG16,5,RVvGV,1.0,1.0,0.0
VGG16,5,RVvRHGV,1.0,1.0,0.0
VGG16,6,2_v_5,1.0,1.0,0.0
VGG16,6,RVvGV,1.0,1.0,0.0
VGG16,6,RVvRHGV,1.0,1.0,0.0
VGG16,7,2_v_5,1.0,0.9943609022556391,0.005639097744360888
VGG16,7,RVvGV,1.0,1.0,0.0
VGG16,7,RVvRHGV,1.0,1.0,0.0
VGG16,8,2_v_5,1.0,1.0,0.0
VGG16,8,RVvGV,1.0,1.0,0.0
VGG16,8,RVvRHGV,1.0,1.0,0.0
