net_name,net_number,stimulus,set_size_1_acc,set_size_8_acc,set_size_1_err,set_size_effect,set_size_1_err_plus_effect
alexnet,1,2_v_5,100.0,99.81203007518798,0.0,0.18796992481202324,0.18796992481202324
alexnet,1,RVvGV,100.0,100.0,0.0,0.0,0.0
alexnet,1,RVvRHGV,100.0,100.0,0.0,0.0,0.0
alexnet,2,2_v_5,100.0,100.0,0.0,0.0,0.0
alexnet,2,RVvGV,100.0,100.0,0.0,0.0,0.0
alexnet,2,RVvRHGV,100.0,100.0,0.0,0.0,0.0
alexnet,3,2_v_5,100.0,100.0,0.0,0.0,0.0
alexnet,3,RVvGV,100.0,100.0,0.0,0.0,0.0
alexnet,3,RVvRHGV,100.0,100.0,0.0,0.0,0.0
alexnet,4,2_v_5,100.0,100.0,0.0,0.0,0.0
alexnet,4,RVvGV,100.0,100.0,0.0,0.0,0.0
alexnet,4,RVvRHGV,100.0,100.0,0.0,0.0,0.0
alexnet,5,2_v_5,100.0,100.0,0.0,0.0,0.0
alexnet,5,RVvGV,100.0,100.0,0.0,0.0,0.0
alexnet,5,RVvRHGV,100.0,100.0,0.0,0.0,0.0
alexnet,6,2_v_5,100.0,99.81203007518798,0.0,0.18796992481202324,0.18796992481202324
alexnet,6,RVvGV,100.0,100.0,0.0,0.0,0.0
alexnet,6,RVvRHGV,100.0,100.0,0.0,0.0,0.0
alexnet,7,2_v_5,100.0,100.0,0.0,0.0,0.0
alexnet,7,RVvGV,100.0,100.0,0.0,0.0,0.0
alexnet,7,RVvRHGV,100.0,100.0,0.0,0.0,0.0
alexnet,8,2_v_5,100.0,100.0,0.0,0.0,0.0
alexnet,8,RVvGV,100.0,100.0,0.0,0.0,0.0
alexnet,8,RVvRHGV,100.0,100.0,0.0,0.0,0.0
VGG16,1,2_v_5,100.0,100.0,0.0,0.0,0.0
VGG16,1,RVvGV,100.0,100.0,0.0,0.0,0.0
VGG16,1,RVvRHGV,100.0,100.0,0.0,0.0,0.0
VGG16,2,2_v_5,100.0,100.0,0.0,0.0,0.0
VGG16,2,RVvGV,100.0,100.0,0.0,0.0,0.0
VGG16,2,RVvRHGV,100.0,100.0,0.0,0.0,0.0
VGG16,3,2_v_5,50.18796992481202,69.54887218045113,49.81203007518798,-19.360902255639104,30.451127819548873
VGG16,3,RVvGV,100.0,100.0,0.0,0.0,0.0
VGG16,3,RVvRHGV,100.0,100.0,0.0,0.0,0.0
VGG16,4,2_v_5,100.0,99.81203007518798,0.0,0.18796992481202324,0.18796992481202324
VGG16,4,RVvGV,100.0,100.0,0.0,0.0,0.0
VGG16,4,RVvRHGV,100.0,100.0,0.0,0.0,0.0
VGG16,5,2_v_5,100.0,100.0,0.0,0.0,0.0
VGG16,5,RVvGV,100.0,100.0,0.0,0.0,0.0
VGG16,5,RVvRHGV,100.0,100.0,0.0,0.0,0.0
VGG16,6,2_v_5,100.0,100.0,0.0,0.0,0.0
VGG16,6,RVvGV,100.0,100.0,0.0,0.0,0.0
VGG16,6,RVvRHGV,100.0,100.0,0.0,0.0,0.0
VGG16,7,2_v_5,100.0,99.43609022556392,0.0,0.5639097744360839,0.5639097744360839
VGG16,7,RVvGV,100.0,100.0,0.0,0.0,0.0
VGG16,7,RVvRHGV,100.0,100.0,0.0,0.0,0.0
VGG16,8,2_v_5,100.0,100.0,0.0,0.0,0.0
VGG16,8,RVvGV,100.0,100.0,0.0,0.0,0.0
VGG16,8,RVvRHGV,100.0,100.0,0.0,0.0,0.0
