net_name,stimulus,set_size_1_acc,set_size_8_acc,acc_diff
CORnet_S,2_v_5,0.5406484962406015,0.5460526315789473,-0.005404135338345828
CORnet_S,RVvGV,0.9851973684210527,0.6983082706766917,0.286889097744361
CORnet_S,RVvRHGV,0.8851033834586466,0.6012687969924811,0.28383458646616544
CORnet_Z,2_v_5,0.8545582706766917,0.6059680451127819,0.24859022556390975
CORnet_Z,RVvGV,0.7734962406015038,0.5,0.2734962406015038
CORnet_Z,RVvRHGV,0.6440319548872181,0.5,0.1440319548872181
VGG16,2_v_5,0.7112312030075189,0.5458176691729323,0.16541353383458657
VGG16,RVvGV,0.8230733082706766,0.6351033834586466,0.18796992481203
VGG16,RVvRHGV,0.7885338345864662,0.6278195488721804,0.1607142857142858
alexnet,2_v_5,0.5105733082706767,0.4922462406015038,0.018327067669172914
alexnet,RVvGV,0.5209116541353384,0.5296052631578948,-0.008693609022556448
alexnet,RVvRHGV,0.5242011278195489,0.5164473684210527,0.007753759398496207
