net_name,method,mode,learning_rate,net_number,stimulus,set_size,target_condition,n_correct,n_trials,accuracy,hit_rate,false_alarm_rate,d_prime
alexnet,transfer,classify,0.001,1,RVvGV,1,present,252,266,0.9473684210526315,,,
alexnet,transfer,classify,0.001,1,RVvGV,2,present,221,266,0.8308270676691729,,,
alexnet,transfer,classify,0.001,1,RVvGV,4,present,166,266,0.6240601503759399,,,
alexnet,transfer,classify,0.001,1,RVvGV,8,present,107,266,0.40225563909774437,,,
alexnet,transfer,classify,0.001,1,RVvGV,1,absent,24,266,0.09022556390977443,,,
alexnet,transfer,classify,0.001,1,RVvGV,2,absent,49,266,0.18421052631578946,,,
alexnet,transfer,classify,0.001,1,RVvGV,4,absent,124,266,0.46616541353383456,,,
alexnet,transfer,classify,0.001,1,RVvGV,8,absent,196,266,0.7368421052631579,,,
alexnet,transfer,classify,0.001,1,RVvGV,1,both,276,532,0.518796992481203,,,
alexnet,transfer,classify,0.001,1,RVvGV,2,both,270,532,0.5075187969924813,,,
alexnet,transfer,classify,0.001,1,RVvGV,4,both,290,532,0.5451127819548872,,,
alexnet,transfer,classify,0.001,1,RVvGV,8,both,303,532,0.5695488721804511,,,
alexnet,transfer,classify,0.001,1,RVvRHGV,1,present,249,266,0.9360902255639098,,,
alexnet,transfer,classify,0.001,1,RVvRHGV,2,present,209,266,0.7857142857142857,,,
alexnet,transfer,classify,0.001,1,RVvRHGV,4,present,182,266,0.6842105263157895,,,
alexnet,transfer,classify,0.001,1,RVvRHGV,8,present,120,266,0.45112781954887216,,,
alexnet,transfer,classify,0.001,1,RVvRHGV,1,absent,34,266,0.12781954887218044,,,
alexnet,transfer,classify,0.001,1,RVvRHGV,2,absent,58,266,0.21804511278195488,,,
alexnet,transfer,classify,0.001,1,RVvRHGV,4,absent,109,266,0.40977443609022557,,,
alexnet,transfer,classify,0.001,1,RVvRHGV,8,absent,156,266,0.5864661654135338,,,
alexnet,transfer,classify,0.001,1,RVvRHGV,1,both,283,532,0.5319548872180451,,,
alexnet,transfer,classify,0.001,1,RVvRHGV,2,both,267,532,0.5018796992481203,,,
alexnet,transfer,classify,0.001,1,RVvRHGV,4,both,291,532,0.5469924812030075,,,
alexnet,transfer,classify,0.001,1,RVvRHGV,8,both,276,532,0.518796992481203,,,
alexnet,transfer,classify,0.001,1,2_v_5,1,present,142,266,0.5338345864661654,,,
alexnet,transfer,classify,0.001,1,2_v_5,2,present,90,266,0.3383458646616541,,,
alexnet,transfer,classify,0.001,1,2_v_5,4,present,86,266,0.3233082706766917,,,
alexnet,transfer,classify,0.001,1,2_v_5,8,present,108,266,0.40601503759398494,,,
alexnet,transfer,classify,0.001,1,2_v_5,1,absent,143,266,0.5375939849624061,,,
alexnet,transfer,classify,0.001,1,2_v_5,2,absent,176,266,0.6616541353383458,,,
alexnet,transfer,classify,0.001,1,2_v_5,4,absent,187,266,0.7030075187969925,,,
alexnet,transfer,classify,0.001,1,2_v_5,8,absent,155,266,0.5827067669172933,,,
alexnet,transfer,classify,0.001,1,2_v_5,1,both,285,532,0.5357142857142857,,,
alexnet,transfer,classify,0.001,1,2_v_5,2,both,266,532,0.5,,,
alexnet,transfer,classify,0.001,1,2_v_5,4,both,273,532,0.5131578947368421,,,
alexnet,transfer,classify,0.001,1,2_v_5,8,both,263,532,0.4943609022556391,,,
alexnet,transfer,classify,0.001,2,RVvGV,1,present,212,266,0.7969924812030075,,,
alexnet,transfer,classify,0.001,2,RVvGV,2,present,154,266,0.5789473684210527,,,
alexnet,transfer,classify,0.001,2,RVvGV,4,present,99,266,0.37218045112781956,,,
alexnet,transfer,classify,0.001,2,RVvGV,8,present,53,266,0.19924812030075187,,,
alexnet,transfer,classify,0.001,2,RVvGV,1,absent,72,266,0.2706766917293233,,,
alexnet,transfer,classify,0.001,2,RVvGV,2,absent,128,266,0.48120300751879697,,,
alexnet,transfer,classify,0.001,2,RVvGV,4,absent,184,266,0.6917293233082706,,,
alexnet,transfer,classify,0.001,2,RVvGV,8,absent,213,266,0.8007518796992481,,,
alexnet,transfer,classify,0.001,2,RVvGV,1,both,284,532,0.5338345864661654,,,
alexnet,transfer,classify,0.001,2,RVvGV,2,both,282,532,0.5300751879699248,,,
alexnet,transfer,classify,0.001,2,RVvGV,4,both,283,532,0.5319548872180451,,,
alexnet,transfer,classify,0.001,2,RVvGV,8,both,266,532,0.5,,,
alexnet,transfer,classify,0.001,2,RVvRHGV,1,present,205,266,0.7706766917293233,,,
alexnet,transfer,classify,0.001,2,RVvRHGV,2,present,153,266,0.575187969924812,,,
alexnet,transfer,classify,0.001,2,RVvRHGV,4,present,87,266,0.32706766917293234,,,
alexnet,transfer,classify,0.001,2,RVvRHGV,8,present,51,266,0.19172932330827067,,,
alexnet,transfer,classify,0.001,2,RVvRHGV,1,absent,68,266,0.2556390977443609,,,
alexnet,transfer,classify,0.001,2,RVvRHGV,2,absent,151,266,0.5676691729323309,,,
alexnet,transfer,classify,0.001,2,RVvRHGV,4,absent,175,266,0.6578947368421053,,,
alexnet,transfer,classify,0.001,2,RVvRHGV,8,absent,224,266,0.8421052631578947,,,
alexnet,transfer,classify,0.001,2,RVvRHGV,1,both,273,532,0.5131578947368421,,,
alexnet,transfer,classify,0.001,2,RVvRHGV,2,both,304,532,0.5714285714285714,,,
alexnet,transfer,classify,0.001,2,RVvRHGV,4,both,262,532,0.4924812030075188,,,
alexnet,transfer,classify,0.001,2,RVvRHGV,8,both,275,532,0.5169172932330827,,,
alexnet,transfer,classify,0.001,2,2_v_5,1,present,108,266,0.40601503759398494,,,
alexnet,transfer,classify,0.001,2,2_v_5,2,present,88,266,0.3308270676691729,,,
alexnet,transfer,classify,0.001,2,2_v_5,4,present,42,266,0.15789473684210525,,,
alexnet,transfer,classify,0.001,2,2_v_5,8,present,28,266,0.10526315789473684,,,
alexnet,transfer,classify,0.001,2,2_v_5,1,absent,149,266,0.5601503759398496,,,
alexnet,transfer,classify,0.001,2,2_v_5,2,absent,187,266,0.7030075187969925,,,
alexnet,transfer,classify,0.001,2,2_v_5,4,absent,220,266,0.8270676691729323,,,
alexnet,transfer,classify,0.001,2,2_v_5,8,absent,234,266,0.8796992481203008,,,
alexnet,transfer,classify,0.001,2,2_v_5,1,both,257,532,0.4830827067669173,,,
alexnet,transfer,classify,0.001,2,2_v_5,2,both,275,532,0.5169172932330827,,,
alexnet,transfer,classify,0.001,2,2_v_5,4,both,262,532,0.4924812030075188,,,
alexnet,transfer,classify,0.001,2,2_v_5,8,both,262,532,0.4924812030075188,,,
alexnet,transfer,classify,0.001,3,RVvGV,1,present,214,266,0.8045112781954887,,,
alexnet,transfer,classify,0.001,3,RVvGV,2,present,173,266,0.650375939849624,,,
alexnet,transfer,classify,0.001,3,RVvGV,4,present,106,266,0.39849624060150374,,,
alexnet,transfer,classify,0.001,3,RVvGV,8,present,65,266,0.24436090225563908,,,
alexnet,transfer,classify,0.001,3,RVvGV,1,absent,63,266,0.23684210526315788,,,
alexnet,transfer,classify,0.001,3,RVvGV,2,absent,112,266,0.42105263157894735,,,
alexnet,transfer,classify,0.001,3,RVvGV,4,absent,172,266,0.6466165413533834,,,
alexnet,transfer,classify,0.001,3,RVvGV,8,absent,231,266,0.868421052631579,,,
alexnet,transfer,classify,0.001,3,RVvGV,1,both,277,532,0.5206766917293233,,,
alexnet,transfer,classify,0.001,3,RVvGV,2,both,285,532,0.5357142857142857,,,
alexnet,transfer,classify,0.001,3,RVvGV,4,both,278,532,0.5225563909774437,,,
alexnet,transfer,classify,0.001,3,RVvGV,8,both,296,532,0.556390977443609,,,
alexnet,transfer,classify,0.001,3,RVvRHGV,1,present,210,266,0.7894736842105263,,,
alexnet,transfer,classify,0.001,3,RVvRHGV,2,present,156,266,0.5864661654135338,,,
