net_name,net_number,stimulus,set_size_1_acc,set_size_8_acc,set_size_1_err,set_size_effect,set_size_1_err_plus_effect
alexnet,1,RVvGV,51.8796992481203,56.954887218045116,48.1203007518797,-5.075187969924812,43.045112781954884
alexnet,1,RVvRHGV,53.19548872180451,51.8796992481203,46.80451127819549,1.3157894736842053,48.1203007518797
alexnet,1,2_v_5,53.57142857142857,49.43609022556391,46.42857142857143,4.13533834586466,50.56390977443609
alexnet,2,RVvGV,53.383458646616546,50.0,46.616541353383454,3.383458646616546,50.0
alexnet,2,RVvRHGV,51.31578947368421,51.691729323308266,48.68421052631579,-0.3759398496240536,48.308270676691734
alexnet,2,2_v_5,48.30827067669173,49.24812030075188,51.69172932330827,-0.9398496240601517,50.75187969924812
alexnet,3,RVvGV,52.06766917293233,55.639097744360896,47.93233082706767,-3.5714285714285694,44.360902255639104
alexnet,3,RVvRHGV,52.819548872180455,51.8796992481203,47.180451127819545,0.9398496240601517,48.1203007518797
alexnet,3,2_v_5,48.87218045112782,49.43609022556391,51.12781954887218,-0.563909774436091,50.56390977443609
alexnet,4,RVvGV,52.63157894736842,54.699248120300744,47.36842105263158,-2.0676691729323267,45.300751879699256
alexnet,4,RVvRHGV,52.443609022556394,53.19548872180451,47.556390977443606,-0.7518796992481143,46.80451127819549
alexnet,4,2_v_5,47.93233082706767,48.68421052631579,52.06766917293233,-0.7518796992481143,51.31578947368421
alexnet,5,RVvGV,52.819548872180455,51.50375939849624,47.180451127819545,1.3157894736842124,48.49624060150376
alexnet,5,RVvRHGV,55.82706766917293,49.62406015037594,44.17293233082707,6.203007518796994,50.37593984962406
alexnet,5,2_v_5,52.63157894736842,51.127819548872175,47.36842105263158,1.5037593984962427,48.872180451127825
alexnet,6,RVvGV,52.443609022556394,51.31578947368421,47.556390977443606,1.127819548872182,48.68421052631579
alexnet,6,RVvRHGV,50.75187969924813,51.691729323308266,49.24812030075187,-0.9398496240601375,48.308270676691734
alexnet,6,2_v_5,52.443609022556394,49.24812030075188,47.556390977443606,3.195488721804516,50.75187969924812
alexnet,7,RVvGV,52.63157894736842,53.00751879699248,47.36842105263158,-0.3759398496240607,46.99248120300752
alexnet,7,RVvRHGV,52.819548872180455,52.443609022556394,47.180451127819545,0.3759398496240607,47.556390977443606
alexnet,7,2_v_5,54.51127819548872,48.87218045112782,45.48872180451128,5.639097744360903,51.12781954887218
alexnet,8,RVvGV,48.87218045112782,50.56390977443609,51.12781954887218,-1.691729323308273,49.43609022556391
alexnet,8,RVvRHGV,50.18796992481202,50.75187969924813,49.81203007518798,-0.5639097744361052,49.24812030075187
alexnet,8,2_v_5,50.18796992481202,47.744360902255636,49.81203007518798,2.4436090225563873,52.255639097744364
VGG16,1,RVvGV,100.0,84.9624060150376,0.0,15.037593984962399,15.037593984962399
VGG16,1,RVvRHGV,100.0,78.19548872180451,0.0,21.80451127819549,21.80451127819549
VGG16,1,2_v_5,99.62406015037594,64.47368421052632,0.3759398496240607,35.150375939849624,35.526315789473685
VGG16,2,RVvGV,78.57142857142857,50.37593984962406,21.42857142857143,28.19548872180451,49.62406015037594
VGG16,2,RVvRHGV,69.92481203007519,52.443609022556394,30.075187969924812,17.481203007518793,47.556390977443606
VGG16,2,2_v_5,54.88721804511278,50.37593984962406,45.11278195488722,4.511278195488721,49.62406015037594
