net_name,method,mode,learning_rate,net_number,stimulus,set_size,target_condition,n_correct,n_trials,accuracy,hit_rate,false_alarm_rate,d_prime
alexnet,transfer,classify,0.001,1,RVvGV,1,present,35,266,0.13157894736842105,,,
alexnet,transfer,classify,0.001,1,RVvGV,2,present,81,266,0.30451127819548873,,,
alexnet,transfer,classify,0.001,1,RVvGV,4,present,208,266,0.7819548872180451,,,
alexnet,transfer,classify,0.001,1,RVvGV,8,present,265,266,0.9962406015037594,,,
alexnet,transfer,classify,0.001,1,RVvGV,1,absent,266,266,1.0,,,
alexnet,transfer,classify,0.001,1,RVvGV,2,absent,266,266,1.0,,,
alexnet,transfer,classify,0.001,1,RVvGV,4,absent,226,266,0.849624060150376,,,
alexnet,transfer,classify,0.001,1,RVvGV,8,absent,16,266,0.06015037593984962,,,
alexnet,transfer,classify,0.001,1,RVvGV,1,both,301,532,0.5657894736842105,,,
alexnet,transfer,classify,0.001,1,RVvGV,2,both,347,532,0.6522556390977443,,,
alexnet,transfer,classify,0.001,1,RVvGV,4,both,434,532,0.8157894736842105,,,
alexnet,transfer,classify,0.001,1,RVvGV,8,both,281,532,0.5281954887218046,,,
alexnet,transfer,classify,0.001,1,RVvRHGV,1,present,33,266,0.12406015037593984,,,
alexnet,transfer,classify,0.001,1,RVvRHGV,2,present,137,266,0.5150375939849624,,,
alexnet,transfer,classify,0.001,1,RVvRHGV,4,present,261,266,0.981203007518797,,,
alexnet,transfer,classify,0.001,1,RVvRHGV,8,present,266,266,1.0,,,
alexnet,transfer,classify,0.001,1,RVvRHGV,1,absent,261,266,0.981203007518797,,,
alexnet,transfer,classify,0.001,1,RVvRHGV,2,absent,210,266,0.7894736842105263,,,
alexnet,transfer,classify,0.001,1,RVvRHGV,4,absent,22,266,0.08270676691729323,,,
alexnet,transfer,classify,0.001,1,RVvRHGV,8,absent,0,266,0.0,,,
alexnet,transfer,classify,0.001,1,RVvRHGV,1,both,294,532,0.5526315789473685,,,
alexnet,transfer,classify,0.001,1,RVvRHGV,2,both,347,532,0.6522556390977443,,,
alexnet,transfer,classify,0.001,1,RVvRHGV,4,both,283,532,0.5319548872180451,,,
alexnet,transfer,classify,0.001,1,RVvRHGV,8,both,266,532,0.5,,,
alexnet,transfer,classify,0.001,1,2_v_5,1,present,143,266,0.5375939849624061,,,
alexnet,transfer,classify,0.001,1,2_v_5,2,present,263,266,0.9887218045112782,,,
alexnet,transfer,classify,0.001,1,2_v_5,4,present,266,266,1.0,,,
alexnet,transfer,classify,0.001,1,2_v_5,8,present,266,266,1.0,,,
alexnet,transfer,classify,0.001,1,2_v_5,1,absent,102,266,0.38345864661654133,,,
alexnet,transfer,classify,0.001,1,2_v_5,2,absent,4,266,0.015037593984962405,,,
alexnet,transfer,classify,0.001,1,2_v_5,4,absent,0,266,0.0,,,
alexnet,transfer,classify,0.001,1,2_v_5,8,absent,0,266,0.0,,,
alexnet,transfer,classify,0.001,1,2_v_5,1,both,245,532,0.4605263157894737,,,
alexnet,transfer,classify,0.001,1,2_v_5,2,both,267,532,0.5018796992481203,,,
alexnet,transfer,classify,0.001,1,2_v_5,4,both,266,532,0.5,,,
alexnet,transfer,classify,0.001,1,2_v_5,8,both,266,532,0.5,,,
alexnet,transfer,classify,0.001,2,RVvGV,1,present,200,266,0.7518796992481203,,,
alexnet,transfer,classify,0.001,2,RVvGV,2,present,217,266,0.8157894736842105,,,
alexnet,transfer,classify,0.001,2,RVvGV,4,present,216,266,0.8120300751879699,,,
alexnet,transfer,classify,0.001,2,RVvGV,8,present,232,266,0.8721804511278195,,,
alexnet,transfer,classify,0.001,2,RVvGV,1,absent,248,266,0.9323308270676691,,,
alexnet,transfer,classify,0.001,2,RVvGV,2,absent,231,266,0.868421052631579,,,
alexnet,transfer,classify,0.001,2,RVvGV,4,absent,207,266,0.7781954887218046,,,
alexnet,transfer,classify,0.001,2,RVvGV,8,absent,200,266,0.7518796992481203,,,
alexnet,transfer,classify,0.001,2,RVvGV,1,both,448,532,0.8421052631578947,,,
alexnet,transfer,classify,0.001,2,RVvGV,2,both,448,532,0.8421052631578947,,,
alexnet,transfer,classify,0.001,2,RVvGV,4,both,423,532,0.7951127819548872,,,
alexnet,transfer,classify,0.001,2,RVvGV,8,both,432,532,0.8120300751879699,,,
alexnet,transfer,classify,0.001,2,RVvRHGV,1,present,217,266,0.8157894736842105,,,
alexnet,transfer,classify,0.001,2,RVvRHGV,2,present,240,266,0.9022556390977443,,,
alexnet,transfer,classify,0.001,2,RVvRHGV,4,present,265,266,0.9962406015037594,,,
alexnet,transfer,classify,0.001,2,RVvRHGV,8,present,266,266,1.0,,,
alexnet,transfer,classify,0.001,2,RVvRHGV,1,absent,187,266,0.7030075187969925,,,
alexnet,transfer,classify,0.001,2,RVvRHGV,2,absent,88,266,0.3308270676691729,,,
alexnet,transfer,classify,0.001,2,RVvRHGV,4,absent,13,266,0.04887218045112782,,,
alexnet,transfer,classify,0.001,2,RVvRHGV,8,absent,0,266,0.0,,,
alexnet,transfer,classify,0.001,2,RVvRHGV,1,both,404,532,0.7593984962406015,,,
alexnet,transfer,classify,0.001,2,RVvRHGV,2,both,328,532,0.6165413533834586,,,
alexnet,transfer,classify,0.001,2,RVvRHGV,4,both,278,532,0.5225563909774437,,,
alexnet,transfer,classify,0.001,2,RVvRHGV,8,both,266,532,0.5,,,
alexnet,transfer,classify,0.001,2,2_v_5,1,present,249,266,0.9360902255639098,,,
alexnet,transfer,classify,0.001,2,2_v_5,2,present,266,266,1.0,,,
alexnet,transfer,classify,0.001,2,2_v_5,4,present,266,266,1.0,,,
alexnet,transfer,classify,0.001,2,2_v_5,8,present,266,266,1.0,,,
alexnet,transfer,classify,0.001,2,2_v_5,1,absent,16,266,0.06015037593984962,,,
alexnet,transfer,classify,0.001,2,2_v_5,2,absent,1,266,0.0037593984962406013,,,
alexnet,transfer,classify,0.001,2,2_v_5,4,absent,0,266,0.0,,,
alexnet,transfer,classify,0.001,2,2_v_5,8,absent,0,266,0.0,,,
alexnet,transfer,classify,0.001,2,2_v_5,1,both,265,532,0.4981203007518797,,,
alexnet,transfer,classify,0.001,2,2_v_5,2,both,267,532,0.5018796992481203,,,
alexnet,transfer,classify,0.001,2,2_v_5,4,both,266,532,0.5,,,
