net_name,method,mode,learning_rate,net_number,stimulus,set_size,target_condition,accuracy,hit_rate,false_alarm_rate,d_prime
alexnet,initialize,classify,0.001,1,RVvGV,1,present,1.0,,,
alexnet,initialize,classify,0.001,1,RVvGV,2,present,1.0,,,
alexnet,initialize,classify,0.001,1,RVvGV,4,present,1.0,,,
alexnet,initialize,classify,0.001,1,RVvGV,8,present,1.0,,,
alexnet,initialize,classify,0.001,1,RVvGV,1,absent,1.0,,,
alexnet,initialize,classify,0.001,1,RVvGV,2,absent,1.0,,,
alexnet,initialize,classify,0.001,1,RVvGV,4,absent,1.0,,,
alexnet,initialize,classify,0.001,1,RVvGV,8,absent,1.0,,,
alexnet,initialize,classify,0.001,1,RVvGV,1,both,1.0,,,
alexnet,initialize,classify,0.001,1,RVvGV,2,both,1.0,,,
alexnet,initialize,classify,0.001,1,RVvGV,4,both,1.0,,,
alexnet,initialize,classify,0.001,1,RVvGV,8,both,1.0,,,
alexnet,initialize,classify,0.001,1,RVvRHGV,1,present,1.0,,,
alexnet,initialize,classify,0.001,1,RVvRHGV,2,present,1.0,,,
alexnet,initialize,classify,0.001,1,RVvRHGV,4,present,1.0,,,
alexnet,initialize,classify,0.001,1,RVvRHGV,8,present,1.0,,,
alexnet,initialize,classify,0.001,1,RVvRHGV,1,absent,1.0,,,
alexnet,initialize,classify,0.001,1,RVvRHGV,2,absent,1.0,,,
alexnet,initialize,classify,0.001,1,RVvRHGV,4,absent,1.0,,,
alexnet,initialize,classify,0.001,1,RVvRHGV,8,absent,1.0,,,
alexnet,initialize,classify,0.001,1,RVvRHGV,1,both,1.0,,,
alexnet,initialize,classify,0.001,1,RVvRHGV,2,both,1.0,,,
alexnet,initialize,classify,0.001,1,RVvRHGV,4,both,1.0,,,
alexnet,initialize,classify,0.001,1,RVvRHGV,8,both,1.0,,,
alexnet,initialize,classify,0.001,1,2_v_5,1,present,1.0,,,
alexnet,initialize,classify,0.001,1,2_v_5,2,present,1.0,,,
alexnet,initialize,classify,0.001,1,2_v_5,4,present,1.0,,,
alexnet,initialize,classify,0.001,1,2_v_5,8,present,0.9887218045112782,,,
alexnet,initialize,classify,0.001,1,2_v_5,1,absent,1.0,,,
alexnet,initialize,classify,0.001,1,2_v_5,2,absent,1.0,,,
alexnet,initialize,classify,0.001,1,2_v_5,4,absent,1.0,,,
alexnet,initialize,classify,0.001,1,2_v_5,8,absent,1.0,,,
alexnet,initialize,classify,0.001,1,2_v_5,1,both,1.0,,,
alexnet,initialize,classify,0.001,1,2_v_5,2,both,1.0,,,
alexnet,initialize,classify,0.001,1,2_v_5,4,both,1.0,,,
alexnet,initialize,classify,0.001,1,2_v_5,8,both,0.9943609022556391,,,
alexnet,initialize,classify,0.001,2,RVvGV,1,present,1.0,,,
alexnet,initialize,classify,0.001,2,RVvGV,2,present,1.0,,,
alexnet,initialize,classify,0.001,2,RVvGV,4,present,1.0,,,
alexnet,initialize,classify,0.001,2,RVvGV,8,present,1.0,,,
alexnet,initialize,classify,0.001,2,RVvGV,1,absent,1.0,,,
alexnet,initialize,classify,0.001,2,RVvGV,2,absent,1.0,,,
alexnet,initialize,classify,0.001,2,RVvGV,4,absent,1.0,,,
alexnet,initialize,classify,0.001,2,RVvGV,8,absent,1.0,,,
alexnet,initialize,classify,0.001,2,RVvGV,1,both,1.0,,,
alexnet,initialize,classify,0.001,2,RVvGV,2,both,1.0,,,
alexnet,initialize,classify,0.001,2,RVvGV,4,both,1.0,,,
alexnet,initialize,classify,0.001,2,RVvGV,8,both,1.0,,,
alexnet,initialize,classify,0.001,2,RVvRHGV,1,present,1.0,,,
alexnet,initialize,classify,0.001,2,RVvRHGV,2,present,1.0,,,
alexnet,initialize,classify,0.001,2,RVvRHGV,4,present,1.0,,,
alexnet,initialize,classify,0.001,2,RVvRHGV,8,present,1.0,,,
alexnet,initialize,classify,0.001,2,RVvRHGV,1,absent,1.0,,,
alexnet,initialize,classify,0.001,2,RVvRHGV,2,absent,1.0,,,
alexnet,initialize,classify,0.001,2,RVvRHGV,4,absent,1.0,,,
alexnet,initialize,classify,0.001,2,RVvRHGV,8,absent,1.0,,,
alexnet,initialize,classify,0.001,2,RVvRHGV,1,both,1.0,,,
alexnet,initialize,classify,0.001,2,RVvRHGV,2,both,1.0,,,
alexnet,initialize,classify,0.001,2,RVvRHGV,4,both,1.0,,,
alexnet,initialize,classify,0.001,2,RVvRHGV,8,both,1.0,,,
alexnet,initialize,classify,0.001,2,2_v_5,1,present,1.0,,,
alexnet,initialize,classify,0.001,2,2_v_5,2,present,1.0,,,
alexnet,initialize,classify,0.001,2,2_v_5,4,present,1.0,,,
alexnet,initialize,classify,0.001,2,2_v_5,8,present,0.9962406015037594,,,
alexnet,initialize,classify,0.001,2,2_v_5,1,absent,1.0,,,
alexnet,initialize,classify,0.001,2,2_v_5,2,absent,1.0,,,
alexnet,initialize,classify,0.001,2,2_v_5,4,absent,1.0,,,
alexnet,initialize,classify,0.001,2,2_v_5,8,absent,1.0,,,
alexnet,initialize,classify,0.001,2,2_v_5,1,both,1.0,,,
alexnet,initialize,classify,0.001,2,2_v_5,2,both,1.0,,,
alexnet,initialize,classify,0.001,2,2_v_5,4,both,1.0,,,
alexnet,initialize,classify,0.001,2,2_v_5,8,both,0.9981203007518797,,,
alexnet,initialize,classify,0.001,3,RVvGV,1,present,1.0,,,
alexnet,initialize,classify,0.001,3,RVvGV,2,present,1.0,,,
alexnet,initialize,classify,0.001,3,RVvGV,4,present,1.0,,,
alexnet,initialize,classify,0.001,3,RVvGV,8,present,1.0,,,
alexnet,initialize,classify,0.001,3,RVvGV,1,absent,1.0,,,
alexnet,initialize,classify,0.001,3,RVvGV,2,absent,1.0,,,
alexnet,initialize,classify,0.001,3,RVvGV,4,absent,1.0,,,
alexnet,initialize,classify,0.001,3,RVvGV,8,absent,1.0,,,
alexnet,initialize,classify,0.001,3,RVvGV,1,both,1.0,,,
alexnet,initialize,classify,0.001,3,RVvGV,2,both,1.0,,,
alexnet,initialize,classify,0.001,3,RVvGV,4,both,1.0,,,
alexnet,initialize,classify,0.001,3,RVvGV,8,both,1.0,,,
alexnet,initialize,classify,0.001,3,RVvRHGV,1,present,1.0,,,
alexnet,initialize,classify,0.001,3,RVvRHGV,2,present,1.0,,,
alexnet,initialize,classify,0.001,3,RVvRHGV,4,present,1.0,,,
alexnet,initialize,classify,0.001,3,RVvRHGV,8,present,1.0,,,
alexnet,initialize,classify,0.001,3,RVvRHGV,1,absent,1.0,,,
alexnet,initialize,classify,0.001,3,RVvRHGV,2,absent,1.0,,,
alexnet,initialize,classify,0.001,3,RVvRHGV,4,absent,1.0,,,
alexnet,initialize,classify,0.001,3,RVvRHGV,8,absent,1.0,,,
