,net_name,source_dataset,slope,intercept
2,VGG16,None,0.0,-0.08649697546986829
4,VGG16,search stimuli (classify),0.16832883026411996,-0.33278999594125613
1,VGG16,ImageNet,0.22123153925968683,-0.274548489488612
0,VGG16,"DomainNet, Clipart domain",0.28940903169493726,-0.3245691758426385
3,VGG16,Stylized ImageNet,0.36713404726569154,-0.3777620825824596
9,alexnet,search stimuli (classify),-0.10422800137685555,-0.31140323767382344
7,alexnet,None,-0.002408989374341438,-0.16251529032959086
5,alexnet,"DomainNet, Clipart domain",0.023266777169565104,-0.11416530658830415
8,alexnet,Stylized ImageNet,0.13991518138566952,-0.2993033674053526
6,alexnet,ImageNet,0.256027884878481,-0.38254404057364744
