,net_name,method,source_dataset,net_number,intercept,intercept_stderr,pvalue,rvalue,slope,stderr
0,alexnet,initialize,None,1,-0.15570521952902472,0.0006841269055807801,0.016349952209525287,-0.9836500477904747,-0.009383345751507576,0.0012147666946473695
1,alexnet,initialize,None,5,-0.13815014056172162,0.0005370238344310766,0.281636765617003,-0.718363234382997,-0.001392536866147943,0.0009535638241634192
2,alexnet,initialize,None,6,-0.21764345937558194,0.010348851799592008,0.7418011102528389,0.2581988897471611,0.0069454334313053465,0.01837588960678796
3,alexnet,initialize,None,7,-0.13856234185203514,0.0009265863782178038,0.0717763812345169,-0.9282236187654831,-0.005805508311015579,0.0016452887070964822
4,alexnet,transfer,search stimuli (classify),1,-0.312899637802188,0.040631142577368384,0.2812888849058196,-0.7187111150941803,-0.10546463923305287,0.07214649557826489
5,alexnet,transfer,search stimuli (classify),2,-0.30516007728608807,0.04190080951426807,0.2481279042781185,-0.7518720957218814,-0.11999097511407472,0.0744009736519365
6,alexnet,transfer,search stimuli (classify),3,-0.3044865524234926,0.04548801276006596,0.2898859357238837,-0.7101140642761162,-0.11520469265734609,0.0807705740789609
7,alexnet,transfer,search stimuli (classify),4,-0.3211820555948671,0.03990100020206321,0.2679859795079271,-0.7320140204920729,-0.10765709252156933,0.07085002173308191
8,alexnet,transfer,search stimuli (classify),5,-0.3246912007623288,0.040851521165200425,0.34036719825538486,-0.6596328017446151,-0.09003302145507625,0.07253780977235365
9,alexnet,transfer,search stimuli (classify),6,-0.30751868767732393,0.04683414918024922,0.4150340310394971,-0.5849659689605029,-0.08482280194159429,0.08316083482788181
10,alexnet,transfer,search stimuli (classify),7,-0.3101577996936362,0.03854932495196624,0.2776262928099614,-0.7223737071900385,-0.10112439128367094,0.0684499259870989
11,alexnet,transfer,search stimuli (classify),8,-0.3051298901506626,0.04186827412164338,0.27858577588398054,-0.7214142241160192,-0.1095263968084599,0.07434320233635844
12,alexnet,transfer,ImageNet,1,-0.41771881408892175,0.02667241426444703,0.0406186286088056,0.9593813713911944,0.227773238638501,0.04736074586451396
13,alexnet,transfer,ImageNet,2,-0.40345736285755024,0.022613850856562534,0.015538311880232355,0.9844616881197676,0.3183620333849773,0.04015417700164022
14,alexnet,transfer,ImageNet,3,-0.2664632332648783,0.08972732611452695,0.16181146921931797,0.838188530780682,0.3462884181641574,0.15932390098173138
15,alexnet,transfer,ImageNet,4,-0.38994063174728255,0.023036993547806073,0.04040407762202479,0.9595959223779752,0.19728294206461697,0.04090552831411307
16,alexnet,transfer,ImageNet,5,-0.4341660555316707,0.028764881735682132,0.02519706921807951,0.9748029307819205,0.31565576558078007,0.051076225803914285
17,alexnet,transfer,ImageNet,6,-0.39406183066957184,0.03750229678235434,0.1277215820014238,0.8722784179985762,0.1679835816307083,0.06659077538444517
18,alexnet,transfer,ImageNet,7,-0.3769257478371981,0.017503837362916802,0.011264910862780806,0.9887350891372192,0.29035684703001646,0.031080605781678143
19,alexnet,transfer,ImageNet,8,-0.3776186485921062,0.04529807866157873,0.1487516443975696,0.8512483556024303,0.1845202525340904,0.08043331849795976
20,alexnet,transfer,Stylized ImageNet,1,-0.2945216333509628,0.019243818504147726,0.05363405703717349,0.9463659429628265,0.14154319197844922,0.03417019504127242
21,alexnet,transfer,Stylized ImageNet,2,-0.3071740425214198,0.01927799705149562,0.05120888929920742,0.9487911107007926,0.14539464011591174,0.03423088401674021
22,alexnet,transfer,Stylized ImageNet,3,-0.29711884734740357,0.017189524265381444,0.05071082016545946,0.9492891798345405,0.13033022291628385,0.030522497221025548
23,alexnet,transfer,Stylized ImageNet,4,-0.2881214763688804,0.014313298794783224,0.03583173208406065,0.9641682679159393,0.13062927861664006,0.02541534110791662
24,alexnet,transfer,Stylized ImageNet,5,-0.28901242301250585,0.01786445406667759,0.06869223661000896,0.931307763389991,0.11470295426880454,0.03172093312107759
25,alexnet,transfer,Stylized ImageNet,6,-0.31082407698995873,0.019245071983967816,0.05330978611283799,0.946690213887162,0.14201909409507207,0.034172420776768915
