,net_name,method,mode,learning_rate,net_number,stimulus,set_size,target_condition,n_correct,n_trials,accuracy,hit_rate,false_alarm_rate,d_prime,source_dataset,method_source_dataset,greenness,discrim_pct
2312,alexnet,transfer,classify,0.001,1,RVvGV_0,1,both,512,512,1.0,,,,search stimuli (classify),0,0,1.0
2313,alexnet,transfer,classify,0.001,1,RVvGV_0,2,both,512,512,1.0,,,,search stimuli (classify),0,0,1.0
2314,alexnet,transfer,classify,0.001,1,RVvGV_0,4,both,512,512,1.0,,,,search stimuli (classify),0,0,1.0
2315,alexnet,transfer,classify,0.001,1,RVvGV_0,8,both,512,512,1.0,,,,search stimuli (classify),0,0,1.0
2324,alexnet,transfer,classify,0.001,1,RVvGV_23,1,both,512,512,1.0,,,,search stimuli (classify),0,23,0.9098039215686274
2325,alexnet,transfer,classify,0.001,1,RVvGV_23,2,both,512,512,1.0,,,,search stimuli (classify),0,23,0.9098039215686274
2326,alexnet,transfer,classify,0.001,1,RVvGV_23,4,both,512,512,1.0,,,,search stimuli (classify),0,23,0.9098039215686274
2327,alexnet,transfer,classify,0.001,1,RVvGV_23,8,both,512,512,1.0,,,,search stimuli (classify),0,23,0.9098039215686274
2336,alexnet,transfer,classify,0.001,1,RVvGV_46,1,both,512,512,1.0,,,,search stimuli (classify),0,46,0.8196078431372549
2337,alexnet,transfer,classify,0.001,1,RVvGV_46,2,both,512,512,1.0,,,,search stimuli (classify),0,46,0.8196078431372549
2338,alexnet,transfer,classify,0.001,1,RVvGV_46,4,both,512,512,1.0,,,,search stimuli (classify),0,46,0.8196078431372549
2339,alexnet,transfer,classify,0.001,1,RVvGV_46,8,both,512,512,1.0,,,,search stimuli (classify),0,46,0.8196078431372549
2348,alexnet,transfer,classify,0.001,1,RVvGV_70,1,both,512,512,1.0,,,,search stimuli (classify),0,70,0.7254901960784313
2349,alexnet,transfer,classify,0.001,1,RVvGV_70,2,both,512,512,1.0,,,,search stimuli (classify),0,70,0.7254901960784313
2350,alexnet,transfer,classify,0.001,1,RVvGV_70,4,both,512,512,1.0,,,,search stimuli (classify),0,70,0.7254901960784313
2351,alexnet,transfer,classify,0.001,1,RVvGV_70,8,both,512,512,1.0,,,,search stimuli (classify),0,70,0.7254901960784313
2360,alexnet,transfer,classify,0.001,1,RVvGV_93,1,both,490,512,0.95703125,,,,search stimuli (classify),0,93,0.6352941176470588
2361,alexnet,transfer,classify,0.001,1,RVvGV_93,2,both,512,512,1.0,,,,search stimuli (classify),0,93,0.6352941176470588
2362,alexnet,transfer,classify,0.001,1,RVvGV_93,4,both,512,512,1.0,,,,search stimuli (classify),0,93,0.6352941176470588
2363,alexnet,transfer,classify,0.001,1,RVvGV_93,8,both,512,512,1.0,,,,search stimuli (classify),0,93,0.6352941176470588
2372,alexnet,transfer,classify,0.001,1,RVvGV_116,1,both,382,512,0.74609375,,,,search stimuli (classify),0,116,0.5450980392156863
2373,alexnet,transfer,classify,0.001,1,RVvGV_116,2,both,510,512,0.99609375,,,,search stimuli (classify),0,116,0.5450980392156863
2374,alexnet,transfer,classify,0.001,1,RVvGV_116,4,both,506,512,0.98828125,,,,search stimuli (classify),0,116,0.5450980392156863
2375,alexnet,transfer,classify,0.001,1,RVvGV_116,8,both,506,512,0.98828125,,,,search stimuli (classify),0,116,0.5450980392156863
2384,alexnet,transfer,classify,0.001,1,RVvGV_139,1,both,320,512,0.625,,,,search stimuli (classify),0,139,0.4549019607843138
2385,alexnet,transfer,classify,0.001,1,RVvGV_139,2,both,454,512,0.88671875,,,,search stimuli (classify),0,139,0.4549019607843138
2386,alexnet,transfer,classify,0.001,1,RVvGV_139,4,both,443,512,0.865234375,,,,search stimuli (classify),0,139,0.4549019607843138
2387,alexnet,transfer,classify,0.001,1,RVvGV_139,8,both,443,512,0.865234375,,,,search stimuli (classify),0,139,0.4549019607843138
