,net_name,method,mode,learning_rate,net_number,stimulus,set_size,target_condition,n_correct,n_trials,accuracy,hit_rate,false_alarm_rate,d_prime,source_dataset,method_source_dataset,rotation,discrim_pct
152,alexnet,initialize,classify,0.001,1,TvT_4,1,both,256,512,0.5,,,,None,0,4,0.044444444444444446
153,alexnet,initialize,classify,0.001,1,TvT_4,2,both,256,512,0.5,,,,None,0,4,0.044444444444444446
154,alexnet,initialize,classify,0.001,1,TvT_4,4,both,256,512,0.5,,,,None,0,4,0.044444444444444446
155,alexnet,initialize,classify,0.001,1,TvT_4,8,both,256,512,0.5,,,,None,0,4,0.044444444444444446
164,alexnet,initialize,classify,0.001,1,TvT_8,1,both,256,512,0.5,,,,None,0,8,0.08888888888888889
165,alexnet,initialize,classify,0.001,1,TvT_8,2,both,256,512,0.5,,,,None,0,8,0.08888888888888889
166,alexnet,initialize,classify,0.001,1,TvT_8,4,both,256,512,0.5,,,,None,0,8,0.08888888888888889
167,alexnet,initialize,classify,0.001,1,TvT_8,8,both,256,512,0.5,,,,None,0,8,0.08888888888888889
176,alexnet,initialize,classify,0.001,1,TvT_16,1,both,256,512,0.5,,,,None,0,16,0.17777777777777778
177,alexnet,initialize,classify,0.001,1,TvT_16,2,both,256,512,0.5,,,,None,0,16,0.17777777777777778
178,alexnet,initialize,classify,0.001,1,TvT_16,4,both,256,512,0.5,,,,None,0,16,0.17777777777777778
179,alexnet,initialize,classify,0.001,1,TvT_16,8,both,256,512,0.5,,,,None,0,16,0.17777777777777778
188,alexnet,initialize,classify,0.001,1,TvT_25,1,both,256,512,0.5,,,,None,0,25,0.2777777777777778
189,alexnet,initialize,classify,0.001,1,TvT_25,2,both,256,512,0.5,,,,None,0,25,0.2777777777777778
190,alexnet,initialize,classify,0.001,1,TvT_25,4,both,256,512,0.5,,,,None,0,25,0.2777777777777778
191,alexnet,initialize,classify,0.001,1,TvT_25,8,both,256,512,0.5,,,,None,0,25,0.2777777777777778
200,alexnet,initialize,classify,0.001,1,TvT_33,1,both,342,512,0.66796875,,,,None,0,33,0.36666666666666664
201,alexnet,initialize,classify,0.001,1,TvT_33,2,both,344,512,0.671875,,,,None,0,33,0.36666666666666664
202,alexnet,initialize,classify,0.001,1,TvT_33,4,both,330,512,0.64453125,,,,None,0,33,0.36666666666666664
